id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
16ceb862,Olivier Giroud,18,FRA,FW,34-066,78,1,0,0,0,6,1,0,0,41,1,2,0,1.3,1.3,1.0,4,0,22,28,78.6,1,23,0,0,0,Chelsea,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
f586779e,Tammy Abraham,9,ENG,FW,23-064,12,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,0,0,5,5,100.0,1,6,0,1,0,Chelsea,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
49fe9070,Timo Werner,11,GER,"RW,LW",24-274,90,0,1,0,0,5,4,0,0,42,4,0,0,1.4,1.4,0.8,8,1,22,28,78.6,4,29,6,3,0,Chelsea,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
6622454d,Hakim Ziyech,22,MAR,RW,27-261,29,0,0,0,0,1,1,0,0,18,2,1,0,0.0,0.0,0.0,2,1,8,12,66.7,4,10,1,1,1,Chelsea,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
1bf33a9a,Christian Pulisic,10,USA,LW,22-078,61,1,0,0,0,4,1,0,0,36,1,0,0,0.8,0.8,0.0,4,0,19,24,79.2,4,27,2,7,5,Chelsea,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
9674002f,Mason Mount,19,ENG,LM,21-330,90,0,1,0,0,2,1,0,0,60,3,2,1,0.2,0.2,0.7,10,2,33,47,70.2,7,32,4,4,2,Chelsea,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
b9fbae28,N'Golo Kanté,7,FRA,CM,29-251,90,0,0,0,0,0,0,0,0,53,4,1,1,0.0,0.0,0.0,1,0,36,43,83.7,3,23,1,2,1,Chelsea,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
fed7cb61,Kai Havertz,29,GER,RM,21-177,66,0,0,0,0,1,0,0,0,43,0,1,0,0.4,0.4,0.0,2,0,29,35,82.9,3,28,2,1,1,Chelsea,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
79c0821a,Mateo Kovačić,17,CRO,RM,26-213,24,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,3,1,4,5,80.0,2,6,1,1,1,Chelsea,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
d2424d1b,Ben Chilwell,21,ENG,LB,23-350,90,0,0,0,0,1,1,0,0,68,3,2,2,0.0,0.0,0.1,2,0,34,53,64.2,4,31,1,1,0,Chelsea,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
86e7deaf,Thiago Silva,6,BRA,CB,36-074,90,0,0,0,0,0,0,0,0,64,0,1,2,0.0,0.0,0.0,1,0,51,55,92.7,10,39,2,1,1,Chelsea,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
ce4246f5,Kurt Zouma,15,FRA,CB,26-039,90,1,0,0,0,1,1,0,0,53,0,1,0,0.1,0.1,0.0,0,0,37,41,90.2,4,31,1,0,0,Chelsea,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
1265a93a,Reece James,24,ENG,RB,20-363,90,0,1,0,0,1,0,0,0,58,2,2,0,0.0,0.0,0.8,2,1,32,46,69.6,0,25,1,1,0,Chelsea,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
33887998,Edouard Mendy,16,SEN,GK,28-279,90,0,0,0,0,0,0,0,0,29,0,1,0,0.0,0.0,0.0,0,0,18,29,62.1,0,19,0,0,0,Chelsea,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
93feac6e,Patrick Bamford,9,ENG,FW,27-091,90,1,0,0,0,3,2,0,0,21,2,0,0,0.5,0.5,0.0,1,1,9,11,81.8,0,4,1,1,1,Leeds United,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
282679b4,Mateusz Klich,43,POL,"FW,CM",30-175,90,0,0,0,0,0,0,0,0,57,2,0,0,0.0,0.0,0.2,3,0,40,46,87.0,6,27,4,2,0,Leeds United,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
aa849a12,Jack Harrison,22,ENG,LM,24-015,56,0,0,0,0,1,0,0,0,34,3,0,1,0.1,0.1,0.0,2,0,18,23,78.3,3,20,3,2,2,Leeds United,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
55b4f1d6,Ian Poveda,7,ENG,RM,20-300,34,0,0,0,0,1,1,0,0,15,0,0,1,0.0,0.0,0.0,1,0,4,7,57.1,0,10,1,1,1,Leeds United,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
4f565d77,Kalvin Phillips,23,ENG,CM,25-003,90,0,1,0,0,0,0,0,0,68,6,0,4,0.0,0.0,0.4,1,1,44,54,81.5,5,31,0,1,1,Leeds United,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
67ca8566,Stuart Dallas,15,NIR,"CM,LB",29-230,90,0,0,0,0,1,0,0,0,54,4,0,0,0.0,0.0,0.0,2,0,33,42,78.6,5,25,2,1,1,Leeds United,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
3423f250,Raphinha,18,BRA,"RM,LM",23-357,90,0,0,0,0,2,0,1,0,38,1,0,2,0.1,0.1,0.2,4,0,17,26,65.4,1,23,3,7,6,Leeds United,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
1a7fcf39,Ezgjan Alioski,10,MKD,LB,28-297,68,0,0,0,0,0,0,0,0,45,2,1,2,0.0,0.0,0.0,0,0,26,37,70.3,1,22,1,0,0,Leeds United,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
1fb1c435,Rodrigo,20,ESP,FW,29-274,22,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,11,15,73.3,1,10,1,1,1,Leeds United,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
dc64b8b3,Liam Cooper,6,SCO,CB,29-097,90,0,0,0,0,0,0,0,0,100,3,4,2,0.0,0.0,0.0,0,0,72,85,84.7,2,60,1,0,0,Leeds United,2020-12-05 Chelsea-Leeds United,ENG-EPL,20-21,419abbc0
