id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
c43e5e7e,Júnior Moraes,10,UKR,FW,33-123,90,2,0,0,0,8,4,0,0,29,1,0,0,1.7,1.7,0.0,4,2,15,17,88.2,0,26,1,2,1,Shakhtar Donetsk,2020-08-05 Shakhtar-Wolfsburg,UEL,19-20,42466cbe
7272a72a,Taison,7,BRA,"LW,LM",32-205,85,0,0,0,0,2,1,0,0,45,0,1,0,0.3,0.3,0.1,6,0,35,39,89.7,7,37,7,4,3,Shakhtar Donetsk,2020-08-05 Shakhtar-Wolfsburg,UEL,19-20,42466cbe
d9a5d930,Yevhen Konoplyanka,15,UKR,LM,30-311,5,0,1,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.1,1,1,4,5,80.0,2,5,2,1,0,Shakhtar Donetsk,2020-08-05 Shakhtar-Wolfsburg,UEL,19-20,42466cbe
9139bb12,Marlos,11,UKR,"RW,RM",32-059,76,0,0,0,0,3,1,0,0,60,0,1,1,0.2,0.2,0.7,8,0,43,48,89.6,5,42,7,8,7,Shakhtar Donetsk,2020-08-05 Shakhtar-Wolfsburg,UEL,19-20,42466cbe
886f9aac,Manor Solomon,19,ISR,RM,21-012,14,1,0,0,0,1,1,0,0,11,0,0,0,0.1,0.1,0.0,1,1,7,10,70.0,0,8,2,1,1,Shakhtar Donetsk,2020-08-05 Shakhtar-Wolfsburg,UEL,19-20,42466cbe
00672021,Alan Patrick,21,BRA,"AM,CM",29-084,90,0,0,0,0,1,1,0,0,74,1,0,0,0.0,0.0,0.4,8,1,59,65,90.8,10,52,3,8,6,Shakhtar Donetsk,2020-08-05 Shakhtar-Wolfsburg,UEL,19-20,42466cbe
ee3519f5,Taras Stepanenko,6,UKR,"DM,CB",30-363,90,0,0,0,0,0,0,0,0,42,1,0,0,0.0,0.0,0.0,0,0,31,38,81.6,3,24,0,0,0,Shakhtar Donetsk,2020-08-05 Shakhtar-Wolfsburg,UEL,19-20,42466cbe
108fe016,Marcos Antônio,8,BRA,"DM,CM",20-053,73,0,0,0,0,1,0,0,0,45,1,1,0,0.1,0.1,0.2,1,0,33,36,91.7,2,35,0,1,0,Shakhtar Donetsk,2020-08-05 Shakhtar-Wolfsburg,UEL,19-20,42466cbe
9d60028d,Viktor Kovalenko,20,UKR,CM,24-173,17,0,0,0,0,0,0,0,0,10,1,0,1,0.0,0.0,0.0,0,0,8,8,100.0,0,7,0,0,0,Shakhtar Donetsk,2020-08-05 Shakhtar-Wolfsburg,UEL,19-20,42466cbe
1adcf39e,Mykola Matviyenko,22,UKR,LB,24-095,90,0,0,0,0,2,1,0,0,64,1,2,0,0.1,0.1,0.2,2,0,44,58,75.9,4,37,1,2,2,Shakhtar Donetsk,2020-08-05 Shakhtar-Wolfsburg,UEL,19-20,42466cbe
