id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8d78e732,Robert Lewandowski,9,POL,FW,29-153,76,2,0,0,0,5,3,0,0,23,0,0,0,0.5,0.5,0.0,2,0,11,14,78.6,1,13,0,2,0,Bayern Munich,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
61b0b44d,Sandro Wagner,2,GER,FW,30-053,14,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,6,0,0,0,Bayern Munich,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
f61c7c4e,Franck Ribéry,7,FRA,LM,34-289,90,0,0,0,0,2,1,0,0,80,0,0,0,0.1,0.1,0.1,5,0,57,70,81.4,6,51,6,7,4,Bayern Munich,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
715bf047,James Rodríguez,11,COL,CM,26-193,90,0,2,0,0,1,0,0,0,111,2,2,0,0.1,0.1,0.7,5,3,91,102,89.2,13,70,1,4,1,Bayern Munich,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
3c6089ab,Thomas Müller,25,GER,CM,28-130,90,2,1,0,0,3,2,0,0,53,2,0,1,1.0,1.0,0.2,3,1,35,45,77.8,3,31,3,0,0,Bayern Munich,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
09586899,Arjen Robben,10,NED,RM,33-363,57,0,0,0,0,1,0,0,0,23,0,0,0,0.1,0.1,0.0,2,0,18,20,90.0,3,17,0,0,0,Bayern Munich,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
042e8a49,Kingsley Coman,29,FRA,RM,21-222,33,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.0,2,0,17,21,81.0,4,17,2,1,1,Bayern Munich,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
7f97771d,Javi Martínez,8,ESP,DM,29-141,57,0,0,0,0,0,0,0,0,56,1,3,0,0.0,0.0,0.0,1,1,40,49,81.6,3,23,0,1,1,Bayern Munich,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
67cdbc0e,Arturo Vidal,23,CHI,DM,30-244,33,0,0,0,0,1,1,0,0,40,0,1,0,0.1,0.1,0.0,2,1,33,38,86.8,3,25,1,0,0,Bayern Munich,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
433dc9a2,Juan Bernat,14,ESP,LB,24-326,90,0,0,0,0,0,0,0,0,71,2,3,1,0.0,0.0,0.1,1,0,54,59,91.5,3,48,1,5,0,Bayern Munich,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
e33c06cf,Niklas Süle,4,GER,CB,22-140,90,0,0,0,0,1,0,0,0,90,1,1,3,0.0,0.0,0.0,0,0,77,82,93.9,4,61,3,1,1,Bayern Munich,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
2db2fd7b,Jérôme Boateng,17,GER,CB,29-140,90,0,1,0,0,1,0,0,0,91,1,0,0,0.0,0.0,0.5,4,1,75,85,88.2,8,70,0,0,0,Bayern Munich,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
49296448,Joshua Kimmich,32,GER,RB,22-347,90,0,0,0,0,0,0,0,0,103,1,3,0,0.0,0.0,0.0,1,1,81,93,87.1,5,61,2,4,3,Bayern Munich,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
7d3e7da6,Sven Ulreich,26,GER,GK,29-171,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,27,39,69.2,0,25,0,0,0,Bayern Munich,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
f9446dcd,Max Kruse,10,GER,FW,29-308,90,0,1,0,0,2,1,0,0,62,0,0,0,0.1,0.1,0.6,5,1,42,51,82.4,6,30,1,6,3,Werder Bremen,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
49ffe0f2,Jérôme Gondorf,8,GER,LW,29-209,72,1,0,0,0,3,1,0,0,32,0,1,0,0.6,0.6,0.0,0,0,18,23,78.3,1,16,1,2,0,Werder Bremen,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
94c18565,Florian Kainz,7,AUT,LW,25-089,18,0,0,0,0,0,0,0,0,10,1,1,0,0.0,0.0,0.1,1,0,5,8,62.5,0,4,1,0,0,Werder Bremen,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
dba67bc4,Zlatko Junuzović,16,AUT,RW,30-117,90,0,0,0,0,3,1,0,0,44,2,2,2,0.1,0.1,0.1,3,0,16,31,51.6,5,15,0,1,0,Werder Bremen,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
fe641c1a,Thomas Delaney,6,DEN,AM,26-140,90,0,0,0,0,1,1,0,0,48,1,0,1,0.0,0.0,0.0,4,0,29,40,72.5,8,20,1,0,0,Werder Bremen,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
3f7cd8f1,Philipp Bargfrede,44,GER,DM,28-324,79,0,0,0,0,0,0,1,0,50,3,2,3,0.0,0.0,0.0,0,0,23,33,69.7,4,21,0,1,0,Werder Bremen,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
ff182fdc,Ishak Belfodil,29,ALG,DM,26-009,11,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Werder Bremen,2018-01-21 Bayern Munich-Werder Bremen,GER-BL1,17-18,42f65c02
