id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
0d7b6576,Elye Wahi,21,FRA,FW,20-097,90,1,0,0,0,3,3,0,0,28,0,0,0,0.8,0.8,0.2,3,0,9,17,52.9,1,17,2,1,0,Montpellier,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
2677a1de,Wahbi Khazri,99,TUN,"LW,RW",32-060,90,0,0,0,0,1,1,0,0,25,1,0,3,0.2,0.2,0.2,2,0,12,15,80.0,1,14,4,1,1,Montpellier,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
7b9a9e25,Arnaud Nordin,7,FRA,RW,24-296,70,0,0,0,0,1,1,0,0,30,0,0,0,0.0,0.0,0.3,3,0,20,24,83.3,2,29,4,5,1,Montpellier,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
30144daa,Stephy Mavididi,10,ENG,"LW,RW",24-313,20,0,0,0,0,0,0,0,0,16,1,0,1,0.0,0.0,0.0,0,0,7,11,63.6,1,11,0,1,0,Montpellier,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
6bde367b,Téji Savanier,11,FRA,AM,31-108,90,0,0,0,0,6,3,0,0,80,1,0,1,0.6,0.6,0.0,4,0,38,58,65.5,10,53,2,15,7,Montpellier,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
7909ffa4,Joris Chotard,13,FRA,DM,21-197,90,0,0,0,0,0,0,0,0,32,1,3,1,0.0,0.0,0.0,0,0,21,27,77.8,3,22,0,0,0,Montpellier,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
375622c5,Jordan Ferri,12,FRA,DM,31-028,70,0,0,0,0,1,0,0,0,68,1,1,0,0.1,0.1,0.6,6,0,51,58,87.9,11,52,0,4,2,Montpellier,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
fcc84a07,Léo Leroy,18,FRA,DM,23-054,20,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,3,8,1,1,1,Montpellier,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
b99bec05,Issiaga Sylla,3,GUI,LB,29-098,90,0,0,0,0,3,0,0,0,54,0,0,0,0.2,0.2,0.0,0,0,35,44,79.5,3,33,0,4,1,Montpellier,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
87935cf3,Mamadou Sakho,75,FRA,CB,33-055,77,0,0,0,0,0,0,0,0,59,1,0,1,0.0,0.0,0.2,1,0,48,54,88.9,7,44,0,0,0,Montpellier,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
6690ef25,Pedro Mendes,5,POR,CB,32-190,13,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,0,0,0,Montpellier,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
f323d995,Christopher Jullien,6,FRA,CB,30-018,90,0,0,0,0,0,0,0,0,62,0,0,2,0.0,0.0,0.0,0,0,45,57,78.9,6,48,0,0,0,Montpellier,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
6388e356,Falaye Sacko,77,MLI,RB,27-343,90,0,0,0,0,0,0,0,0,57,0,1,1,0.0,0.0,0.0,3,0,43,50,86.0,6,39,1,1,1,Montpellier,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
2fa2a875,Benjamin Lecomte,40,FRA,GK,31-348,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,26,38,68.4,0,24,0,1,1,Montpellier,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
ff4df82e,Ado Onaiwu,7,JPN,FW,27-152,68,0,0,0,0,1,0,0,0,32,2,0,1,0.0,0.0,0.0,0,0,19,24,79.2,3,22,0,1,0,Toulouse,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
c2a6033c,Zakaria Aboukhlal,6,MAR,FW,23-050,22,0,0,0,0,2,2,0,0,13,1,1,0,0.3,0.3,0.0,2,1,3,3,100.0,1,9,2,2,0,Toulouse,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
357103bd,Fares Chaïbi,28,ALG,LW,20-132,85,1,0,0,0,5,3,0,0,45,2,0,1,1.2,1.2,0.0,2,0,24,31,77.4,3,29,2,1,0,Toulouse,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
39b326ed,Gabriel Suazo,15,CHI,LW,25-243,5,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Toulouse,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
4ca4f601,Brecht Dejaegere,10,BEL,RW,31-315,8,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,0,0,0,Toulouse,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
b70afb45,Thijs Dallinga,27,NED,RW,22-249,82,1,0,0,0,3,2,0,0,30,0,0,0,0.4,0.4,0.2,3,0,8,23,34.8,2,24,1,0,0,Toulouse,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
badcdcae,Denis Genreau,5,AUS,AM,23-323,68,0,1,0,0,1,0,1,0,35,0,0,0,0.1,0.1,0.4,2,1,24,30,80.0,2,25,1,1,0,Toulouse,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
a08985b8,Stijn Spierings,17,NED,AM,27-028,22,0,0,0,0,0,0,0,0,12,0,1,0,0.0,0.0,0.0,0,0,8,9,88.9,1,9,0,0,0,Toulouse,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
99d660b2,Branco van den Boomen,8,NED,DM,27-262,90,0,0,0,0,2,1,1,0,82,5,0,1,0.1,0.1,0.2,5,1,55,71,77.5,8,56,2,0,0,Toulouse,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
92ffb8f9,Vincent Sierro,13,SUI,DM,27-183,90,0,0,0,0,0,0,0,0,48,4,0,0,0.0,0.0,0.1,1,0,34,38,89.5,6,34,0,0,0,Toulouse,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
a426a912,Waren Kamanzi,26,NOR,LB,22-149,90,0,0,0,0,0,0,0,0,59,4,1,1,0.0,0.0,0.1,2,0,38,47,80.9,1,40,1,2,1,Toulouse,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
3f319bb9,Rasmus Nicolaisen,2,DEN,CB,26-024,90,0,0,0,0,0,0,0,0,50,0,0,2,0.0,0.0,0.0,0,0,30,41,73.2,0,35,0,0,0,Toulouse,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
9b545925,Anthony Rouault,4,FRA,CB,21-315,90,0,0,0,0,0,0,0,0,60,2,5,0,0.0,0.0,0.0,1,0,39,44,88.6,2,35,0,0,0,Toulouse,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
1d5c96f8,Mikkel Desler,3,DEN,RB,28-049,90,0,0,0,0,1,0,0,0,56,1,0,2,0.0,0.0,0.0,0,0,39,47,83.0,4,30,2,3,2,Toulouse,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
0e12089d,Maxime Dupé,30,FRA,GK,30-036,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,1,0,19,37,51.4,0,24,0,0,0,Toulouse,2023-04-09 Montpellier-Toulouse,FRA-L1,22-23,444918ba
