id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
343c0d52,Giovanni Simeone,18,ARG,FW,28-192,90,0,0,0,0,3,1,0,0,34,3,0,0,0.4,0.4,0.0,2,1,14,19,73.7,1,18,1,0,0,Napoli,2024-01-13 Napoli-Salernitana,ITA-SERIA_A,23-24,4481a44c
dea88efd,Khvicha Kvaratskhelia,77,GEO,LW,22-335,90,0,0,0,0,4,2,1,0,75,1,0,2,0.5,0.5,0.1,7,0,49,58,84.5,6,46,3,9,5,Napoli,2024-01-13 Napoli-Salernitana,ITA-SERIA_A,23-24,4481a44c
5e861944,Matteo Politano,21,ITA,RW,30-163,65,1,0,1,1,3,0,0,0,50,0,0,0,0.9,0.1,0.0,3,1,30,38,78.9,3,21,0,3,1,Napoli,2024-01-13 Napoli-Salernitana,ITA-SERIA_A,23-24,4481a44c
d19ef4ef,Alessio Zerbin,23,ITA,RW,24-316,25,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.5,3,1,19,22,86.4,2,11,1,1,0,Napoli,2024-01-13 Napoli-Salernitana,ITA-SERIA_A,23-24,4481a44c
3b387cc7,Gianluca Gaetano,70,ITA,LM,23-253,55,0,0,0,0,2,0,0,0,42,1,0,3,0.1,0.1,0.0,2,0,24,28,85.7,1,16,3,2,0,Napoli,2024-01-13 Napoli-Salernitana,ITA-SERIA_A,23-24,4481a44c
6e058f06,Giacomo Raspadori,81,ITA,LM,23-329,35,0,0,0,0,1,1,0,0,35,1,0,0,0.0,0.0,0.0,2,0,18,29,62.1,0,19,1,2,1,Napoli,2024-01-13 Napoli-Salernitana,ITA-SERIA_A,23-24,4481a44c
e1cbb531,Stanislav Lobotka,68,SVK,CM,29-049,90,0,0,0,0,1,1,0,0,80,0,0,1,0.0,0.0,0.0,3,1,65,73,89.0,9,30,1,2,1,Napoli,2024-01-13 Napoli-Salernitana,ITA-SERIA_A,23-24,4481a44c
928a4a61,Jens Cajuste,24,SWE,RM,24-156,76,0,0,0,0,2,0,1,0,48,3,1,1,0.1,0.1,0.0,5,0,33,36,91.7,3,20,2,3,2,Napoli,2024-01-13 Napoli-Salernitana,ITA-SERIA_A,23-24,4481a44c
dc3fa3b5,Diego Demme,4,GER,RM,32-053,14,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,24,30,80.0,5,16,2,1,0,Napoli,2024-01-13 Napoli-Salernitana,ITA-SERIA_A,23-24,4481a44c
0b5a292a,Mário Rui,6,POR,LB,32-231,90,0,0,0,0,0,0,0,0,106,2,1,1,0.0,0.0,0.0,1,0,75,97,77.3,10,47,2,0,0,Napoli,2024-01-13 Napoli-Salernitana,ITA-SERIA_A,23-24,4481a44c
