id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
17f3620a,Krzysztof Piątek,9,POL,FW,24-122,90,0,0,0,0,3,1,0,0,32,0,0,1,0.2,0.2,0.9,4,1,14,19,73.7,1,22,0,1,1,Milan,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
cd0fa27b,Hakan Çalhanoğlu,10,TUR,"LW,LM",25-265,90,0,0,0,0,2,1,1,0,51,2,0,3,0.1,0.1,0.6,3,0,19,35,54.3,3,30,3,2,1,Milan,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
130a7a3f,Samu Castillejo,7,ESP,RW,24-286,56,0,0,0,0,1,0,0,0,29,0,1,2,0.8,0.8,0.0,1,0,14,24,58.3,2,19,3,0,0,Milan,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
4e219ad2,Suso,8,ESP,RW,25-346,34,1,0,0,0,1,1,0,0,17,1,1,0,0.1,0.1,0.0,0,0,8,13,61.5,2,12,0,0,0,Milan,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
05e19d6a,Franck Kessié,79,CIV,"LM,RM",22-316,90,0,0,0,0,1,0,0,0,50,4,0,0,0.0,0.0,0.1,5,0,37,44,84.1,5,36,1,1,1,Milan,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
db092d3b,Ismaël Bennacer,4,ALG,CM,21-334,90,0,0,0,0,0,0,1,0,62,3,1,0,0.0,0.0,0.0,2,0,46,55,83.6,7,30,4,6,6,Milan,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
9b6f7fd5,Lucas Paquetá,39,BRA,RM,22-065,87,0,0,0,0,6,1,0,0,60,1,0,2,0.8,0.8,0.0,5,0,26,44,59.1,7,38,5,8,7,Milan,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
d995ed27,Giacomo Bonaventura,5,ITA,LW,30-070,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,4,0,0,0,Milan,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
d4c9725f,Theo Hernández,19,FRA,LB,22-025,90,0,0,0,0,0,0,0,0,61,2,1,2,0.0,0.0,0.2,2,0,37,48,77.1,3,36,2,3,1,Milan,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
3ead85f9,Alessio Romagnoli,13,ITA,CB,24-292,90,0,0,0,0,0,0,0,0,68,0,2,2,0.0,0.0,0.0,0,0,51,60,85.0,3,40,0,1,0,Milan,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
91899ca8,Mateo Musacchio,22,ARG,CB,29-066,45,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,30,36,83.3,1,23,0,0,0,Milan,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
2146785a,Davide Calabria,2,ITA,RB,22-329,45,0,0,0,0,0,0,0,0,37,0,0,2,0.0,0.0,0.0,1,1,25,31,80.6,3,18,2,1,1,Milan,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
73ddc40c,Léo Duarte,43,BRA,"CB,RB",23-106,90,0,0,0,0,2,0,1,0,68,1,3,3,0.2,0.2,0.0,1,0,46,55,83.6,6,42,1,1,1,Milan,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
08f5afaa,Gianluigi Donnarumma,99,ITA,GK,20-248,90,0,0,0,0,0,0,1,0,27,0,0,0,0.0,0.0,0.0,1,0,17,27,63.0,0,19,0,0,0,Milan,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
df301450,Sergio Floccari,10,ITA,FW,37-353,90,0,0,0,0,2,1,1,0,31,1,0,1,0.2,0.2,0.0,1,0,21,25,84.0,1,19,1,4,4,SPAL,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
03f946ed,Andrea Petagna,37,ITA,FW,24-123,90,0,0,0,0,2,1,0,0,40,2,0,0,0.1,0.1,0.0,2,0,13,26,50.0,3,27,2,3,3,SPAL,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
144607cc,Jasmin Kurtić,19,SVN,CM,30-294,90,0,0,0,0,5,0,1,0,44,1,1,2,0.2,0.2,0.0,4,0,17,29,58.6,3,24,1,0,0,SPAL,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
331c0a43,Simone Missiroli,7,ITA,CM,33-161,70,0,0,0,0,0,0,0,0,45,0,0,1,0.0,0.0,0.0,0,0,29,36,80.6,2,19,0,2,2,SPAL,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
c414df9d,Mattia Valoti,8,ITA,CM,26-055,20,0,0,0,0,0,0,0,0,13,0,1,1,0.0,0.0,0.0,0,0,7,10,70.0,0,1,0,0,0,SPAL,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
fb2c533b,Alessandro Murgia,11,ITA,CM,23-083,90,0,0,0,0,0,0,0,0,51,1,0,1,0.0,0.0,0.1,4,0,29,42,69.0,3,14,0,1,0,SPAL,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
6213fd82,Arkadiusz Reca,13,POL,WB,24-136,81,0,0,0,0,0,0,0,0,43,0,6,0,0.0,0.0,0.0,4,0,18,33,54.5,1,26,4,1,1,SPAL,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
da5a981b,Jacopo Sala,26,ITA,WB,27-330,9,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,9,11,81.8,3,6,0,1,1,SPAL,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
ac4a4508,Gabriel Strefezza,21,BRA,WB,22-196,81,0,0,0,0,1,0,0,0,40,5,1,2,0.0,0.0,0.0,1,0,19,26,73.1,4,20,2,2,1,SPAL,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
b5cae4e6,Alberto Paloschi,43,ITA,WB,29-300,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,SPAL,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
6aafdc27,Nenad Tomović,40,SRB,CB,32-062,90,0,0,0,0,0,0,0,0,49,2,3,4,0.0,0.0,0.0,0,0,28,35,80.0,2,24,0,0,0,SPAL,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
de045b15,Francesco Vicari,23,ITA,CB,25-089,90,0,0,0,0,0,0,1,0,39,2,1,0,0.0,0.0,0.0,0,0,30,32,93.8,4,11,0,0,0,SPAL,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
46f5c54d,Thiago Cionek,4,POL,CB,33-193,90,0,0,0,0,0,0,1,0,66,4,3,2,0.0,0.0,0.0,0,0,34,51,66.7,2,24,0,1,1,SPAL,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
ee833569,Etrit Berisha,99,ALB,GK,30-235,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,1,0,13,34,38.2,0,15,0,0,0,SPAL,2019-10-31 Milan-SPAL,ITA-SERIA_A,19-20,45a928c4
