id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
2677a1de,Wahbi Khazri,10,TUN,"FW,LW",27-295,85,1,0,0,0,3,1,0,0,54,1,0,1,0.6,0.6,0.5,2,0,25,39,64.1,9,32,2,4,3,Saint-Étienne,2018-11-30 Saint-Étienne-Nantes,FRA-L1,18-19,45bd320f
4a57580c,Kévin Monnet-Paquet,22,FRA,LW,30-103,5,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Saint-Étienne,2018-11-30 Saint-Étienne-Nantes,FRA-L1,18-19,45bd320f
4be0b467,Lois Diony,9,FRA,LW,25-345,62,0,0,0,0,0,0,0,0,16,0,0,2,0.0,0.0,0.0,2,0,8,12,66.7,0,12,2,4,2,Saint-Étienne,2018-11-30 Saint-Étienne-Nantes,FRA-L1,18-19,45bd320f
9001138b,Robert Berić,27,SVN,FW,27-166,28,1,0,0,0,1,1,0,0,15,0,0,0,0.4,0.4,0.0,0,0,6,11,54.5,1,9,0,0,0,Saint-Étienne,2018-11-30 Saint-Étienne-Nantes,FRA-L1,18-19,45bd320f
0b4d8274,Romain Hamouma,21,FRA,RW,31-246,39,0,0,0,0,2,0,0,0,26,1,0,1,0.1,0.1,0.0,1,0,14,22,63.6,2,14,1,1,1,Saint-Étienne,2018-11-30 Saint-Étienne-Nantes,FRA-L1,18-19,45bd320f
bb4a42be,Yannis Salibur,19,FRA,RW,27-310,51,0,2,0,0,1,0,0,0,32,0,1,0,0.0,0.0,0.5,5,3,19,24,79.2,2,20,3,2,1,Saint-Étienne,2018-11-30 Saint-Étienne-Nantes,FRA-L1,18-19,45bd320f
148e136f,Rémy Cabella,7,FRA,AM,28-267,90,0,0,0,0,2,0,1,0,72,2,0,0,0.1,0.1,0.6,7,1,51,57,89.5,10,34,6,6,3,Saint-Étienne,2018-11-30 Saint-Étienne-Nantes,FRA-L1,18-19,45bd320f
d4133fa1,Yann M'Vila,6,FRA,DM,28-154,90,0,0,0,0,1,0,0,0,78,1,3,0,0.0,0.0,0.1,2,0,61,70,87.1,9,34,0,0,0,Saint-Étienne,2018-11-30 Saint-Étienne-Nantes,FRA-L1,18-19,45bd320f
4db2157a,Ole Selnæs,17,NOR,DM,24-146,90,0,0,0,0,0,0,0,0,90,5,1,2,0.0,0.0,0.0,3,0,57,77,74.0,4,34,0,1,1,Saint-Étienne,2018-11-30 Saint-Étienne-Nantes,FRA-L1,18-19,45bd320f
4914ed4a,Gabriel Silva,11,BRA,LB,27-201,90,0,0,0,0,0,0,0,0,44,2,4,2,0.0,0.0,0.1,2,1,25,34,73.5,2,15,1,2,1,Saint-Étienne,2018-11-30 Saint-Étienne-Nantes,FRA-L1,18-19,45bd320f
ab096c6f,Timothée Kolodziejczak,5,FRA,CB,27-060,90,1,0,0,0,1,1,0,0,96,1,0,0,0.1,0.1,0.0,1,0,80,87,92.0,12,57,3,0,0,Saint-Étienne,2018-11-30 Saint-Étienne-Nantes,FRA-L1,18-19,45bd320f
821233cc,Neven Subotić,28,SRB,CB,29-355,90,0,0,0,0,2,0,0,0,96,4,1,0,0.2,0.2,0.0,1,0,73,86,84.9,8,60,1,1,1,Saint-Étienne,2018-11-30 Saint-Étienne-Nantes,FRA-L1,18-19,45bd320f
92232aad,Mathieu Debuchy,26,FRA,RB,33-125,90,0,0,0,0,3,1,0,0,59,3,2,2,0.8,0.8,0.0,3,1,29,39,74.4,0,22,0,3,1,Saint-Étienne,2018-11-30 Saint-Étienne-Nantes,FRA-L1,18-19,45bd320f
cac76a72,Stéphane Ruffier,16,FRA,GK,32-064,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,22,24,91.7,0,11,0,0,0,Saint-Étienne,2018-11-30 Saint-Étienne-Nantes,FRA-L1,18-19,45bd320f
5d59e0df,Emiliano Sala,9,ARG,FW,28-030,90,0,0,0,0,1,0,0,0,25,0,0,1,0.0,0.0,0.0,0,0,9,16,56.3,0,9,1,1,0,Nantes,2018-11-30 Saint-Étienne-Nantes,FRA-L1,18-19,45bd320f
