id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
84399660,Juanmi,9,ESP,FW,30-294,67,2,0,0,0,2,2,1,0,30,4,1,1,0.9,0.9,0.0,1,0,15,19,78.9,0,18,1,4,1,Cádiz,2024-03-09 Cádiz-Atlético Madrid,ESP-LALIGA,23-24,4626c60c
aa677a35,Álex Fernández,8,ESP,"RM,LM",31-146,23,0,0,0,0,1,0,0,0,14,0,0,0,0.0,0.0,0.0,1,0,6,12,50.0,0,9,0,0,0,Cádiz,2024-03-09 Cádiz-Atlético Madrid,ESP-LALIGA,23-24,4626c60c
4c2e9442,Maxi Gómez,25,URU,FW,27-208,67,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,0,0,5,12,41.7,1,11,0,1,0,Cádiz,2024-03-09 Cádiz-Atlético Madrid,ESP-LALIGA,23-24,4626c60c
44e07fac,Chris Ramos,16,ESP,FW,27-053,23,0,0,0,0,1,0,0,0,16,2,0,0,0.0,0.0,0.0,0,0,7,7,100.0,0,9,1,0,0,Cádiz,2024-03-09 Cádiz-Atlético Madrid,ESP-LALIGA,23-24,4626c60c
19b776e9,Rubén Sobrino,7,ESP,LM,31-282,86,0,1,0,0,1,0,1,0,51,4,1,4,0.1,0.1,0.7,2,1,24,35,68.6,3,28,2,1,0,Cádiz,2024-03-09 Cádiz-Atlético Madrid,ESP-LALIGA,23-24,4626c60c
3d7e48ce,Iván Alejo,11,ESP,RM,29-028,4,0,0,0,0,0,0,1,0,6,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,4,0,1,1,Cádiz,2024-03-09 Cádiz-Atlético Madrid,ESP-LALIGA,23-24,4626c60c
86a2ba20,Rominigue Kouamé,12,MLI,CM,27-083,67,0,0,0,0,0,0,0,0,44,1,1,2,0.0,0.0,0.0,0,0,32,36,88.9,2,25,0,0,0,Cádiz,2024-03-09 Cádiz-Atlético Madrid,ESP-LALIGA,23-24,4626c60c
08593525,Diadie Samassékou,6,MLI,CM,28-058,23,0,0,0,0,0,0,0,0,10,2,0,0,0.0,0.0,0.0,0,0,8,8,100.0,1,4,0,0,0,Cádiz,2024-03-09 Cádiz-Atlético Madrid,ESP-LALIGA,23-24,4626c60c
036bba5f,Rubén Alcaraz,4,ESP,CM,32-313,90,0,0,0,0,2,1,1,0,58,3,1,1,0.0,0.0,0.0,2,0,41,47,87.2,5,32,0,1,1,Cádiz,2024-03-09 Cádiz-Atlético Madrid,ESP-LALIGA,23-24,4626c60c
c997b942,Roberto Navarro,27,ESP,"RM,FW",21-332,77,0,0,0,0,0,0,0,0,37,0,0,1,0.0,0.0,0.1,3,1,14,23,60.9,4,27,5,6,3,Cádiz,2024-03-09 Cádiz-Atlético Madrid,ESP-LALIGA,23-24,4626c60c
5d68f5b2,Lucas,33,BRA,LB,22-351,13,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,5,7,71.4,1,7,0,0,0,Cádiz,2024-03-09 Cádiz-Atlético Madrid,ESP-LALIGA,23-24,4626c60c
