id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
5bd72174,Francesco Caputo,9,ITA,FW,34-023,67,0,0,0,0,2,0,1,0,17,0,0,0,0.7,0.7,0.0,1,0,9,11,81.8,1,17,1,1,0,Sassuolo,2021-08-29 Sassuolo-Sampdoria,ITA-SERIA_A,21-22,4637a73f
854ee61a,Grégoire Defrel,92,MTQ,FW,30-073,23,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,11,12,91.7,0,13,2,0,0,Sassuolo,2021-08-29 Sassuolo-Sampdoria,ITA-SERIA_A,21-22,4637a73f
fe012aca,Jeremie Boga,7,CIV,LW,24-238,85,0,0,0,0,3,1,0,0,48,0,1,1,0.1,0.1,0.0,4,0,26,37,70.3,2,36,5,3,2,Sassuolo,2021-08-29 Sassuolo-Sampdoria,ITA-SERIA_A,21-22,4637a73f
570bb4b9,Hamed Junior Traorè,23,CIV,LW,21-194,5,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,1,2,1,0,0,Sassuolo,2021-08-29 Sassuolo-Sampdoria,ITA-SERIA_A,21-22,4637a73f
eccbe56a,Filip Đuričić,10,SRB,RW,29-211,90,0,0,0,0,4,2,0,0,40,1,1,3,0.2,0.2,0.1,7,0,23,29,79.3,5,28,6,10,7,Sassuolo,2021-08-29 Sassuolo-Sampdoria,ITA-SERIA_A,21-22,4637a73f
6e058f06,Giacomo Raspadori,18,ITA,AM,21-192,77,0,0,0,0,2,1,0,0,45,0,0,0,0.1,0.1,0.2,6,0,26,36,72.2,1,33,5,2,2,Sassuolo,2021-08-29 Sassuolo-Sampdoria,ITA-SERIA_A,21-22,4637a73f
8790f988,Gianluca Scamacca,91,ITA,AM,22-240,13,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,4,5,80.0,0,6,0,0,0,Sassuolo,2021-08-29 Sassuolo-Sampdoria,ITA-SERIA_A,21-22,4637a73f
20094685,Maxime Lopez,8,FRA,DM,23-268,90,0,0,0,0,2,0,0,0,116,5,1,2,0.1,0.1,0.0,1,0,93,104,89.4,8,90,2,0,0,Sassuolo,2021-08-29 Sassuolo-Sampdoria,ITA-SERIA_A,21-22,4637a73f
2a7d27c1,Davide Frattesi,16,ITA,DM,21-311,85,0,0,0,0,3,0,0,0,59,2,2,2,0.2,0.2,0.0,2,0,39,45,86.7,4,39,0,2,2,Sassuolo,2021-08-29 Sassuolo-Sampdoria,ITA-SERIA_A,21-22,4637a73f
