id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
cc83b74d,Kasper Dolberg,9,DEN,"FW,RW",23-215,90,0,0,0,0,2,0,0,0,31,0,0,1,0.2,0.2,0.1,2,0,17,20,85.0,1,21,0,4,1,Nice,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
7c2965bb,Rony Lopes,22,POR,LM,25-132,65,1,0,0,0,1,1,0,0,46,0,0,0,0.4,0.4,0.8,5,1,34,41,82.9,4,33,2,2,1,Nice,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
aad56ca3,Amine Gouiri,11,ALG,"LM,LW",21-082,25,0,0,0,0,1,0,0,0,19,0,0,0,0.1,0.1,0.0,1,0,13,17,76.5,0,15,1,1,0,Nice,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
f5044e54,Pierre Lees-Melou,8,FRA,CM,27-349,51,0,0,0,0,2,1,0,1,37,0,0,2,0.9,0.9,0.0,5,1,29,31,93.5,4,27,1,2,1,Nice,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
741418c3,Alexis Claude-Maurice,10,FRA,CM,22-337,90,0,3,0,0,4,1,0,0,51,2,2,0,0.7,0.7,0.9,6,4,32,39,82.1,3,39,2,5,5,Nice,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
6a827d8e,Youcef Atal,20,ALG,RM,24-357,55,0,0,0,0,0,0,0,0,41,1,0,0,0.0,0.0,0.2,2,0,21,33,63.6,4,35,1,2,1,Nice,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
7d9397f8,Khéphren Thuram,19,FRA,"RM,CM",20-044,35,0,0,0,0,0,0,0,0,20,1,0,1,0.0,0.0,0.0,0,0,14,17,82.4,2,15,1,0,0,Nice,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
f9d5908e,Hicham Boudaoui,28,ALG,DM,21-228,78,1,0,0,0,1,1,0,0,46,3,0,0,0.1,0.1,0.0,1,0,39,43,90.7,6,42,1,0,0,Nice,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
8e697a8f,Dan Ndoye,14,SUI,"RM,DM",20-196,12,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.0,0,0,5,8,62.5,0,7,1,1,1,Nice,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
19a12bed,Hassane Kamara,13,CIV,"LB,LM",27-065,90,1,0,0,0,1,1,0,0,78,1,1,0,0.3,0.3,0.1,3,0,63,73,86.3,6,63,3,0,0,Nice,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
972aeb2a,William Saliba,18,FRA,CB,20-046,90,0,0,0,0,0,0,0,0,113,1,1,0,0.0,0.0,0.0,0,0,105,109,96.3,3,97,5,0,0,Nice,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
88f130ed,Jean-Clair Todibo,25,FRA,CB,21-130,90,0,0,0,0,1,0,1,0,121,1,1,0,0.1,0.1,0.0,1,0,106,115,92.2,15,96,2,0,0,Nice,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
7ef972c3,Flavius Daniliuc,5,AUT,RB,20-012,79,0,0,0,0,1,0,0,0,81,2,0,2,0.1,0.1,0.0,1,0,67,74,90.5,9,48,1,0,0,Nice,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
f18d7ab2,Andy Pelmard,24,FRA,"CB,RB",21-058,11,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,14,15,93.3,2,12,1,0,0,Nice,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
8a2248b4,Walter Benítez,40,ARG,GK,28-110,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,25,29,86.2,0,18,0,0,0,Nice,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
19ba6c6d,Steve Mounié,15,BEN,FW,26-222,79,2,0,0,0,2,2,0,0,30,1,0,1,0.5,0.5,0.0,0,0,10,23,43.5,1,15,0,2,1,Brest,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
5e080f73,Irvin Cardona,14,FRA,FW,23-274,11,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,1,1,0,0,0,Brest,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
18ebca4b,Gaëtan Charbonnier,10,FRA,FW,32-133,84,0,0,0,0,1,0,0,0,44,1,1,1,0.0,0.0,0.1,4,0,24,28,85.7,5,25,0,5,2,Brest,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
88c4d190,Jérémy Le Douaron,26,FRA,RM,23-018,6,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.1,1,0,1,3,33.3,1,2,0,0,0,Brest,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
745ca0a3,Romain Faivre,21,FRA,"LM,FW,RM",22-299,90,0,1,0,0,1,0,0,0,44,1,4,1,0.1,0.1,0.3,2,1,27,30,90.0,3,32,1,3,1,Brest,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
a99138af,Jean Lucas,6,BRA,CM,22-321,66,0,0,0,0,0,0,1,0,30,0,1,0,0.0,0.0,0.0,0,0,24,27,88.9,1,18,0,0,0,Brest,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
d4d35152,Hugo Magnetti,27,FRA,CM,22-344,24,0,0,0,0,0,0,0,0,21,4,2,0,0.0,0.0,0.1,1,0,11,15,73.3,0,8,0,1,0,Brest,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
2b1bed19,Haris Belkebla,7,ALG,CM,27-101,90,0,0,0,0,1,0,0,0,36,1,0,0,0.0,0.0,0.0,0,0,21,29,72.4,1,24,0,0,0,Brest,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
db7849ca,Franck Honorat,9,FRA,"RM,LM",24-271,90,0,0,0,0,1,0,0,0,39,1,0,1,0.1,0.1,0.1,1,0,20,33,60.6,2,23,2,3,2,Brest,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
6dfd8f05,Romain Perraud,18,FRA,LB,23-229,90,0,1,0,0,2,0,0,0,70,0,0,1,0.1,0.1,0.3,2,1,56,63,88.9,4,38,3,2,2,Brest,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
0cbc8baa,Jean-Kevin Duverne,2,HAI,CB,23-301,90,0,0,0,0,0,0,0,0,52,2,2,1,0.0,0.0,0.0,1,1,39,46,84.8,1,40,1,2,1,Brest,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
16aa7d4c,Brendan Chardonnet,5,FRA,CB,26-138,90,0,0,0,0,1,0,0,0,55,0,2,0,0.0,0.0,0.0,1,1,38,44,86.4,2,33,0,0,0,Brest,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
64ba07c0,Ronaël Pierre-Gabriel,20,FRA,RB,22-330,90,0,0,0,0,0,0,0,0,40,2,0,2,0.0,0.0,0.0,0,0,27,31,87.1,6,25,3,2,1,Brest,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
b49729cb,Gautier Larsonneur,1,FRA,GK,24-075,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,19,24,79.2,0,13,0,0,0,Brest,2021-05-09 Nice-Brest,FRA-L1,20-21,4938a1bf
