id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
da052c14,Jordan Ayew,18,GHA,FW,26-173,90,1,0,1,1,1,1,0,0,55,4,1,4,0.8,0.0,0.0,1,0,27,32,84.4,2,37,3,9,5,Swansea City,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
987718f5,Sam Clucas,17,ENG,LM,27-159,89,0,0,0,0,0,0,0,0,37,2,0,1,0.0,0.0,0.2,2,0,18,30,60.0,2,21,0,2,1,Swansea City,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
f586779e,Tammy Abraham,10,ENG,CM,20-152,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,5,0,1,1,Swansea City,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
1d8c99b0,Ki Sung-yueng,4,KOR,CM,29-038,90,1,1,0,0,2,1,0,0,53,2,0,0,0.1,0.1,0.1,1,1,42,50,84.0,4,42,3,1,1,Swansea City,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
d790907f,Andy King,24,WAL,CM,29-125,80,1,0,0,0,1,1,0,0,53,3,0,1,0.5,0.5,0.0,1,0,44,50,88.0,4,33,1,0,0,Swansea City,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
5a1900a4,Tom Carroll,14,ENG,RM,25-279,10,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Swansea City,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
5dbefa9d,André Ayew,19,GHA,RM,28-076,77,0,1,0,0,2,2,0,0,52,2,1,0,0.2,0.2,0.1,6,3,28,41,68.3,0,37,2,2,1,Swansea City,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
6dfd5af0,Nathan Dyer,12,ENG,CM,30-094,13,0,0,0,0,0,0,0,0,7,2,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,4,0,0,0,Swansea City,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
2f72f79e,Martin Olsson,16,SWE,LB,29-290,90,0,0,0,0,0,0,0,0,53,0,1,0,0.0,0.0,0.0,1,1,31,47,66.0,2,31,5,0,0,Swansea City,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
d368feb8,Alfie Mawson,6,ENG,CB,24-043,90,0,0,0,0,0,0,0,0,50,0,2,1,0.0,0.0,0.0,0,0,25,39,64.1,0,22,1,1,0,Swansea City,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
f25b010f,Federico Fernández,33,ARG,CB,29-010,90,0,0,0,0,1,0,0,0,46,0,0,1,0.1,0.1,0.0,0,0,31,37,83.8,1,29,1,0,0,Swansea City,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
25f50295,Mike van der Hoorn,5,NED,CB,25-139,90,1,0,0,0,1,1,0,0,47,2,3,0,0.1,0.1,0.1,0,0,31,39,79.5,0,30,0,0,0,Swansea City,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
e860c42f,Kyle Naughton,26,ENG,RB,29-106,90,0,0,0,0,0,0,0,0,88,1,3,3,0.0,0.0,0.0,2,1,57,74,77.0,5,52,1,4,1,Swansea City,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
9328b835,Łukasz Fabiański,1,POL,GK,32-319,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,15,31,48.4,0,21,0,0,0,Swansea City,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
189cee7b,Javier Hernández,17,MEX,FW,29-275,90,0,0,0,0,0,0,0,0,31,1,0,1,0.0,0.0,0.0,2,0,19,26,73.1,2,21,0,0,0,West Ham United,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
00459419,Marko Arnautović,7,AUT,"RW,LW",28-318,90,0,0,0,0,1,1,1,0,33,0,1,2,0.2,0.2,0.0,2,0,14,22,63.6,2,20,2,3,2,West Ham United,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
26f6dca8,Manuel Lanzini,10,ARG,"LW,RW",25-016,90,0,0,0,0,1,0,0,0,79,2,1,1,0.0,0.0,0.2,2,0,57,69,82.6,8,44,1,3,1,West Ham United,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
51a3caf1,Patrice Evra,27,FRA,LM,36-292,45,0,0,0,0,0,0,0,0,33,3,2,1,0.0,0.0,0.0,0,0,20,27,74.1,0,11,0,0,0,West Ham United,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
ac05f970,Michail Antonio,30,JAM,LM,27-340,45,1,0,0,0,2,1,0,0,39,3,2,0,0.1,0.1,0.0,1,1,15,29,51.7,0,24,2,2,0,West Ham United,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
ff527768,Mark Noble,16,ENG,CM,30-299,90,0,0,0,0,0,0,1,0,73,0,2,0,0.0,0.0,0.0,2,0,59,69,85.5,7,46,2,1,1,West Ham United,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
8d3c902d,Cheikhou Kouyaté,8,SEN,CM,28-072,90,0,0,0,0,1,0,1,0,43,3,0,0,0.0,0.0,0.0,0,0,30,33,90.9,2,23,1,0,0,West Ham United,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
6813ac34,Pablo Zabaleta,5,ARG,"CB,RM",33-046,90,0,0,0,0,0,0,0,0,68,2,3,2,0.0,0.0,0.0,1,0,52,61,85.2,9,31,0,0,0,West Ham United,2018-03-03 Swansea City-West Ham,ENG-EPL,17-18,4d3b05af
