id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
3ef68782,Moussa Koné,28,SEN,FW,24-095,82,0,0,0,0,3,1,0,0,25,1,1,0,0.3,0.3,0.0,2,0,7,10,70.0,1,13,1,2,2,Nîmes,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
08534272,Karim Aribi,13,ALG,FW,26-284,8,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,0,1,0.0,0,3,0,2,1,Nîmes,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
005c0807,Zinedine Ferhat,10,ALG,LM,28-034,90,0,0,0,0,3,1,0,0,48,1,0,2,0.2,0.2,0.0,3,0,19,32,59.4,5,29,3,4,2,Nîmes,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
beae3a73,Renaud Ripart,20,FRA,CM,28-021,90,0,0,0,1,3,0,1,0,47,1,1,1,1.0,0.2,0.1,2,0,20,31,64.5,4,26,0,0,0,Nîmes,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
44f8c299,Lucas Deaux,8,FRA,CM,32-099,72,0,0,0,0,1,0,0,0,37,2,1,3,0.1,0.1,0.0,4,0,21,26,80.8,3,21,1,0,0,Nîmes,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
9b6556d2,Haris Duljević,17,BIH,CM,27-139,18,0,0,0,0,0,0,1,0,11,2,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,6,0,1,0,Nîmes,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
0033fb1b,Niclas Eliasson,7,SWE,RM,25-118,58,0,0,0,0,0,0,0,0,21,1,0,1,0.0,0.0,0.2,1,0,5,12,41.7,1,11,0,0,0,Nîmes,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
fbf76716,Yassine Benrahou,22,FRA,RM,22-070,32,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.1,2,0,5,8,62.5,2,7,0,0,0,Nîmes,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
9b40a6ea,Andrés Cubas,18,PAR,DM,24-317,90,0,0,0,0,0,0,1,0,57,5,0,2,0.0,0.0,0.0,1,0,37,43,86.0,2,37,1,2,1,Nîmes,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
70c52749,Birger Meling,3,NOR,LB,26-108,90,0,0,0,0,0,0,0,0,70,5,1,2,0.0,0.0,0.0,1,0,44,56,78.6,6,30,2,1,1,Nîmes,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
fe296c72,Kelyan Guessoum,2,FRA,CB,22-058,72,0,0,0,0,1,0,0,0,65,1,2,1,0.1,0.1,0.2,1,0,52,57,91.2,6,45,1,0,0,Nîmes,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
16324e1d,Anthony Briançon,23,FRA,CB,26-127,18,0,0,0,0,1,0,1,0,24,0,1,1,0.1,0.1,0.0,0,0,19,21,90.5,5,18,0,0,0,Nîmes,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
539b4f25,Naomichi Ueda,27,JPN,CB,26-162,90,0,0,0,0,0,0,0,0,83,1,0,0,0.0,0.0,0.1,2,0,65,80,81.3,4,64,3,0,0,Nîmes,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
5314e067,Sofiane Alakouch,29,MAR,RB,22-249,58,0,0,0,0,0,0,1,0,41,2,1,1,0.0,0.0,0.0,0,0,26,34,76.5,4,20,2,4,3,Nîmes,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
8746d5d0,Patrick Burner,21,MTQ,RB,24-358,32,0,0,0,0,0,0,0,0,26,0,0,1,0.0,0.0,0.0,1,0,20,24,83.3,0,12,1,1,1,Nîmes,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
bcf1b2e9,Baptiste Reynet,30,FRA,GK,30-158,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,32,42,76.2,0,35,0,0,0,Nîmes,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
2677a1de,Wahbi Khazri,10,TUN,FW,30-055,58,1,0,0,0,1,1,1,0,27,2,0,0,0.0,0.0,0.2,3,0,12,14,85.7,5,14,3,7,2,Saint-Étienne,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
0b4d8274,Romain Hamouma,21,FRA,FW,34-006,32,0,0,0,0,1,0,0,0,14,0,0,0,0.4,0.4,0.0,0,0,5,5,100.0,0,7,0,0,0,Saint-Étienne,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
0b0cbe5b,Denis Bouanga,20,GAB,LM,26-144,82,1,0,0,0,5,2,1,0,36,4,1,2,0.2,0.2,0.0,2,0,14,15,93.3,0,16,1,3,1,Saint-Étienne,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
4a57580c,Kévin Monnet-Paquet,22,FRA,LM,32-228,8,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,4,0,0,0,Saint-Étienne,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
b94b8be1,Adil Aouchiche,17,FRA,CM,18-263,82,0,0,0,0,1,1,0,0,42,2,1,1,0.0,0.0,0.6,8,1,23,31,74.2,3,23,2,2,0,Saint-Étienne,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
3cd7820a,Lucas Gourna-Douath,33,FRA,CM,17-242,8,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,1,0,0,Saint-Étienne,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
8577e60a,Mahdi Camara,8,FRA,CM,22-278,90,0,1,0,0,3,1,0,0,57,0,3,1,0.4,0.4,0.0,4,1,37,44,84.1,4,32,2,0,0,Saint-Étienne,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
469d3d84,Charles Abi,9,FRA,RM,20-357,59,0,1,0,0,1,0,0,0,26,0,0,0,0.2,0.2,0.0,1,1,11,19,57.9,0,14,0,1,0,Saint-Étienne,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
e2f9bb5f,Zaydou Youssouf,28,FRA,RM,21-267,31,0,0,0,0,0,0,0,0,17,3,1,0,0.0,0.0,0.0,1,0,5,9,55.6,1,9,1,3,2,Saint-Étienne,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
0ad37003,Yvan Neyou,19,CMR,DM,24-091,63,0,0,0,0,1,0,0,0,42,2,1,3,0.0,0.0,0.1,2,0,32,36,88.9,0,21,1,0,0,Saint-Étienne,2021-04-04 Nîmes-Saint-Étienne,FRA-L1,20-21,4f5cf422
