id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
9ef42479,Thomas Henry,14,FRA,FW,27-181,85,0,0,0,0,2,0,2,1,29,1,0,0,0.1,0.1,0.1,1,0,7,18,38.9,1,10,1,0,0,Venezia,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
15e9c7e6,Nani,20,POR,"LW,LM",35-123,67,0,0,0,0,1,0,0,0,41,0,0,0,0.0,0.0,0.0,3,0,22,30,73.3,5,23,0,2,2,Venezia,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
ce1806be,Sofian Kiyine,23,MAR,LM,24-169,23,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.3,2,0,9,13,69.2,1,6,2,0,0,Venezia,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
0847b5a5,Mattia Aramu,10,ITA,"RW,RM",26-310,90,0,0,0,0,3,0,0,0,37,0,0,1,0.3,0.3,0.2,5,0,21,27,77.8,5,22,6,0,0,Venezia,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
d125f22f,David Okereke,77,NGA,AM,24-203,54,0,0,0,0,0,0,1,0,22,0,1,1,0.0,0.0,0.0,2,0,9,16,56.3,2,15,2,1,1,Venezia,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
4a0b7f07,Gianluca Busio,27,USA,CM,19-296,36,0,0,0,0,0,0,1,0,18,2,0,1,0.0,0.0,0.0,3,0,11,12,91.7,3,11,1,0,0,Venezia,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
9bb1ad91,Luca Fiordilino,16,ITA,DM,25-238,54,0,0,0,0,0,0,0,0,30,4,0,0,0.0,0.0,0.0,1,0,22,25,88.0,1,18,0,1,1,Venezia,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
12e6d21a,Jean-Pierre Nsame,9,CMR,FW,28-323,36,0,0,0,0,3,0,0,0,13,0,0,0,0.5,0.5,0.0,1,0,3,9,33.3,0,6,0,0,0,Venezia,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
10b9fa99,Ethan Ampadu,44,WAL,"DM,CM",21-187,90,0,0,0,0,1,0,0,0,56,3,3,2,0.0,0.0,0.0,1,0,37,44,84.1,7,27,2,0,0,Venezia,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
c8d7131c,Ridgeciano Haps,55,SUR,LB,28-281,90,0,0,0,0,1,0,1,0,56,0,2,1,0.1,0.1,0.0,1,0,34,47,72.3,5,36,3,1,1,Venezia,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
4d1efb48,Pietro Ceccaroni,32,ITA,CB,26-089,90,0,0,0,0,2,1,0,0,61,2,0,2,0.3,0.3,0.0,1,0,35,50,70.0,2,35,0,0,0,Venezia,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
ac7e640b,Mattia Caldara,31,ITA,CB,27-319,90,0,0,0,0,0,0,0,0,49,0,2,0,0.0,0.0,0.0,1,0,33,44,75.0,2,29,0,1,1,Venezia,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
6af30900,Tyronne Ebuehi,22,NGA,RB,26-094,79,0,0,0,0,0,0,0,0,42,0,1,1,0.0,0.0,0.1,1,0,30,36,83.3,3,20,1,0,0,Venezia,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
22cd43d2,Domen Črnigoj,33,SVN,RB,26-122,11,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,1,2,0,0,0,Venezia,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
14a96e1c,Niki Mäenpää,1,FIN,GK,37-056,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,15,25,60.0,0,12,0,0,0,Venezia,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
5bd72174,Francesco Caputo,10,ITA,FW,34-226,90,2,0,0,0,3,2,0,0,25,0,0,0,1.2,1.2,0.0,2,0,14,16,87.5,0,13,1,2,1,Sampdoria,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
4830e0af,Abdelhamid Sabiri,11,MAR,"FW,AM",25-112,90,0,1,0,0,0,0,1,0,45,4,0,2,0.0,0.0,0.8,3,1,19,29,65.5,2,21,1,5,3,Sampdoria,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
b70bde8f,Stefano Sensi,5,ITA,AM,26-227,70,0,0,0,0,2,2,0,0,34,0,0,0,0.1,0.1,0.0,2,1,21,26,80.8,0,16,1,2,0,Sampdoria,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
f1cfc209,Tomás Rincón,88,VEN,"RM,AM",34-066,20,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,7,0,0,0,Sampdoria,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
d1b49282,Morten Thorsby,2,NOR,LM,25-319,90,0,0,0,0,0,0,0,0,50,0,1,0,0.0,0.0,0.0,2,0,29,37,78.4,5,19,0,1,0,Sampdoria,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
f503ea63,Albin Ekdal,6,SWE,CM,32-235,82,0,0,0,0,0,0,0,0,53,0,0,1,0.0,0.0,0.0,1,0,39,46,84.8,2,22,0,2,1,Sampdoria,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
3cd3b384,Tommaso Augello,3,ITA,LB,27-202,8,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,3,0,1,1,Sampdoria,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
356c9002,Antonio Candreva,87,ITA,RM,35-020,70,0,0,0,0,2,0,0,0,42,0,0,0,0.1,0.1,0.0,1,0,24,35,68.6,4,26,1,1,0,Sampdoria,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
ee4f2f3b,Fabio Quagliarella,27,ITA,"FW,RM",39-048,20,0,0,0,0,1,0,0,0,12,1,0,1,0.0,0.0,0.0,2,0,5,9,55.6,1,7,2,1,1,Sampdoria,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
d183e9d6,Nicola Murru,29,ITA,LB,27-094,82,0,0,0,0,0,0,0,0,44,0,0,1,0.0,0.0,0.0,0,0,19,37,51.4,2,20,1,1,0,Sampdoria,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
75e60d75,Ronaldo Vieira,14,ENG,CM,23-244,8,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.0,0,0,11,12,91.7,0,9,0,0,0,Sampdoria,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
8b95acda,Omar Colley,15,GAM,CB,29-147,89,0,0,0,0,0,0,0,0,53,0,0,1,0.0,0.0,0.0,0,0,34,44,77.3,3,31,0,0,0,Sampdoria,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
caffaf5a,Maya Yoshida,22,JPN,CB,33-208,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,1,0,0,0,Sampdoria,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
d0dbca9f,Alex Ferrari,25,ITA,CB,27-262,90,0,0,0,0,0,0,0,0,73,0,3,1,0.0,0.0,0.0,0,0,49,62,79.0,3,42,0,1,0,Sampdoria,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
61b3978f,Bartosz Bereszyński,24,POL,RB,29-251,90,0,0,0,0,0,0,0,0,66,1,1,0,0.0,0.0,0.0,0,0,48,56,85.7,5,27,1,0,0,Sampdoria,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
649b01d8,Emil Audero,1,ITA,GK,25-061,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,26,38,68.4,0,17,0,0,0,Sampdoria,2022-03-20 Venezia-Sampdoria,ITA-SERIA_A,21-22,4fecf501
