id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
64e8ed6d,Borja Mayoral,21,ESP,FW,23-242,59,1,0,0,0,2,2,0,0,29,0,1,0,0.7,0.7,0.2,4,0,19,24,79.2,2,16,1,2,2,Roma,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
3bb7f478,Edin Džeko,9,BIH,FW,34-261,31,1,0,0,0,1,1,0,0,14,0,0,0,0.1,0.1,0.0,1,0,7,9,77.8,3,8,0,2,2,Roma,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
3ca7254a,Pedro,11,ESP,AM,33-128,45,0,1,0,0,3,3,0,0,28,0,0,0,0.8,0.8,0.1,3,1,19,23,82.6,2,16,1,0,0,Roma,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
dd0daf32,Henrikh Mkhitaryan,77,ARM,AM,31-317,45,0,0,0,0,2,1,1,0,38,1,0,0,0.1,0.1,0.0,5,1,26,32,81.3,2,24,3,2,2,Roma,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
a8f21b9f,Carles Pérez,31,ESP,AM,22-291,90,0,0,0,0,3,1,0,0,73,1,0,2,0.1,0.1,0.8,7,1,45,60,75.0,8,40,7,5,3,Roma,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
bf309d24,Amadou Diawara,42,GUI,CM,23-139,90,0,0,0,0,1,0,0,0,81,2,2,0,0.0,0.0,0.1,1,0,63,70,90.0,6,48,0,3,2,Roma,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
bdc74a8f,Gonzalo Villar,14,ESP,CM,22-255,59,0,0,0,0,0,0,0,0,51,2,1,0,0.0,0.0,0.0,7,1,43,46,93.5,8,35,2,2,2,Roma,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
4a5a45c7,Lorenzo Pellegrini,7,ITA,CM,24-167,31,0,0,0,0,1,0,0,0,31,1,0,0,0.0,0.0,0.1,4,0,23,27,85.2,3,16,1,1,0,Roma,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
aded8e6f,Riccardo Calafiori,61,ITA,WB,18-198,90,1,0,0,0,5,2,1,0,70,4,3,0,0.2,0.2,0.0,1,0,42,54,77.8,1,26,3,4,4,Roma,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
852351df,Bruno Peres,33,BRA,WB,30-277,90,0,0,0,0,1,1,0,0,69,2,2,0,0.1,0.1,0.0,2,1,51,58,87.9,5,36,6,1,0,Roma,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
79083382,Juan Jesus,5,BRA,CB,29-176,90,0,0,0,0,0,0,0,0,86,3,4,4,0.0,0.0,0.0,0,0,66,73,90.4,5,48,0,0,0,Roma,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
16657b95,Bryan Cristante,4,ITA,CB,25-275,64,0,0,0,0,0,0,0,0,60,2,3,0,0.0,0.0,0.0,0,0,47,56,83.9,0,38,0,1,1,Roma,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
4e358a2d,Federico Fazio,20,ARG,CB,33-261,26,0,0,0,0,0,0,0,0,24,0,2,1,0.0,0.0,0.0,0,0,19,22,86.4,1,12,1,0,0,Roma,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
82efe6fa,Roger Ibanez,3,BRA,CB,22-010,45,0,0,0,0,0,0,0,0,45,0,3,0,0.0,0.0,0.0,0,0,32,41,78.0,3,24,2,4,3,Roma,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
3626daea,Leonardo Spinazzola,37,ITA,CB,27-253,45,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,24,25,96.0,1,11,0,0,0,Roma,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
20b9f052,Pau López,13,ESP,GK,25-356,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,25,28,89.3,0,13,0,0,0,Roma,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
12e6d21a,Jean-Pierre Nsame,18,CMR,FW,27-216,75,1,0,0,0,1,1,0,1,27,0,0,0,0.6,0.6,0.0,2,1,16,21,76.2,2,20,2,4,4,Young Boys,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
b684a484,Jordan Pefok,17,USA,FW,24-221,15,0,0,0,0,1,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,5,0,0,0,Young Boys,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
0aeeed3f,Christian Fassnacht,16,SUI,FW,27-022,90,0,0,0,0,1,0,0,0,51,4,1,3,0.0,0.0,0.2,3,0,28,35,80.0,5,36,1,2,0,Young Boys,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
0193a8bf,Moumi Ngamaleu,13,CMR,CM,26-147,75,0,0,0,0,1,0,0,0,38,1,0,2,0.0,0.0,0.0,1,0,18,26,69.2,2,26,4,4,2,Young Boys,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
1b81794d,Felix Mambimbi,19,SUI,CM,19-320,15,0,0,0,0,2,0,0,0,14,0,0,0,0.1,0.1,0.0,2,0,9,9,100.0,1,9,1,3,3,Young Boys,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
c2bd8585,Fabian Rieder,60,SUI,CM,18-291,56,0,0,0,0,0,0,0,0,24,2,2,2,0.0,0.0,0.0,0,0,11,16,68.8,1,14,0,0,0,Young Boys,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
92ffb8f9,Vincent Sierro,8,SUI,CM,25-056,34,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,14,18,77.8,2,11,0,0,0,Young Boys,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
f9c927de,Michel Aebischer,20,SUI,CM,23-332,66,0,0,0,0,0,0,0,0,44,2,2,1,0.0,0.0,0.0,0,0,29,36,80.6,3,28,0,3,1,Young Boys,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
0d72fbca,Gianluca Gaudino,11,GER,CM,24-022,24,0,0,0,0,0,0,0,0,18,1,0,1,0.0,0.0,0.0,1,0,11,15,73.3,2,11,0,0,0,Young Boys,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
c952f633,Ulisses Garcia,21,SUI,LB,24-327,66,0,0,0,0,0,0,0,0,29,6,1,1,0.0,0.0,0.0,0,0,16,20,80.0,0,13,0,2,1,Young Boys,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
5d51b074,Meschak Elia,15,COD,LB,23-119,24,0,0,0,0,1,0,1,0,8,0,1,0,0.1,0.1,0.0,1,0,4,6,66.7,0,6,1,1,1,Young Boys,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
c3e4ecbb,Jordan Lefort,25,FRA,CB,27-116,90,0,1,0,0,0,0,0,0,67,1,0,1,0.0,0.0,0.7,3,1,46,59,78.0,3,48,1,2,1,Young Boys,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
2bab583c,Cedric Zesiger,5,SUI,CB,22-162,90,0,0,0,0,0,0,0,0,49,0,2,5,0.0,0.0,0.0,0,0,28,35,80.0,1,25,0,0,0,Young Boys,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
24fc70d3,Mohamed Aly Camara,4,GUI,CB,23-097,81,0,0,0,0,0,0,0,1,42,0,1,2,0.0,0.0,0.0,0,0,27,32,84.4,2,22,0,0,0,Young Boys,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
f8342731,Silvan Hefti,36,SUI,RB,23-039,90,0,0,0,0,0,0,0,0,37,1,0,2,0.0,0.0,0.0,1,0,24,32,75.0,4,25,3,0,0,Young Boys,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
f7b10c66,David von Ballmoos,26,SUI,GK,25-339,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,18,32,56.3,0,19,0,0,0,Young Boys,2020-12-03 Roma-Young Boys,UEL,20-21,50058f21
