id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
4be0b467,Lois Diony,9,FRA,FW,26-343,72,0,0,0,0,3,1,0,0,13,0,0,0,0.8,0.8,0.0,2,0,4,8,50.0,0,8,2,0,0,Saint-Étienne,2019-11-28 Saint-Étienne-Gent,UEL,19-20,5115c3eb
e2f9bb5f,Zaydou Youssouf,28,FRA,"CM,WB,FW",20-140,18,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,2,0,15,19,78.9,1,17,1,1,1,Saint-Étienne,2019-11-28 Saint-Étienne-Gent,UEL,19-20,5115c3eb
48b28bfd,Jean-Eudes Aholou,17,CIV,AM,25-253,63,0,0,0,0,0,0,0,0,25,2,0,0,0.0,0.0,0.0,1,0,12,17,70.6,3,10,1,0,0,Saint-Étienne,2019-11-28 Saint-Étienne-Gent,UEL,19-20,5115c3eb
7b9a9e25,Arnaud Nordin,18,FRA,"AM,WB",21-164,27,0,0,0,0,3,1,0,0,17,0,0,0,0.1,0.1,0.0,1,0,6,10,60.0,1,11,2,0,0,Saint-Étienne,2019-11-28 Saint-Étienne-Gent,UEL,19-20,5115c3eb
1001ae82,Ryad Boudebouz,7,ALG,"AM,CM",29-282,90,0,0,0,0,2,0,0,0,75,2,1,2,0.1,0.1,0.2,8,0,56,67,83.6,6,34,5,4,4,Saint-Étienne,2019-11-28 Saint-Étienne-Gent,UEL,19-20,5115c3eb
d4133fa1,Yann M'Vila,6,FRA,CM,29-152,79,0,0,0,0,0,0,0,0,44,2,0,1,0.0,0.0,0.0,0,0,31,38,81.6,3,15,0,0,0,Saint-Étienne,2019-11-28 Saint-Étienne-Gent,UEL,19-20,5115c3eb
9001138b,Robert Berić,27,SVN,FW,28-164,11,0,0,0,0,1,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,1,3,33.3,0,2,0,0,0,Saint-Étienne,2019-11-28 Saint-Étienne-Gent,UEL,19-20,5115c3eb
8577e60a,Mahdi Camara,8,FRA,CM,21-151,90,0,0,0,0,4,0,1,0,67,2,1,3,0.2,0.2,0.0,1,0,41,53,77.4,6,53,6,1,1,Saint-Étienne,2019-11-28 Saint-Étienne-Gent,UEL,19-20,5115c3eb
0b0cbe5b,Denis Bouanga,20,GAB,"WB,FW",25-017,90,0,0,0,0,3,0,0,0,65,2,1,0,0.1,0.1,0.4,4,0,26,46,56.5,4,34,5,5,3,Saint-Étienne,2019-11-28 Saint-Étienne-Gent,UEL,19-20,5115c3eb
db7849ca,Franck Honorat,14,FRA,WB,23-109,90,0,0,0,0,1,0,0,0,69,1,0,0,0.0,0.0,0.1,3,0,42,55,76.4,5,36,6,3,1,Saint-Étienne,2019-11-28 Saint-Étienne-Gent,UEL,19-20,5115c3eb
ab096c6f,Timothée Kolodziejczak,5,FRA,CB,28-058,90,0,0,0,0,0,0,0,0,57,0,1,0,0.0,0.0,0.0,5,0,45,52,86.5,8,34,0,2,0,Saint-Étienne,2019-11-28 Saint-Étienne-Gent,UEL,19-20,5115c3eb
6b200d45,Loïc Perrin,24,FRA,CB,34-113,90,0,0,0,0,1,0,0,0,55,0,3,0,0.1,0.1,0.0,2,0,43,49,87.8,1,31,0,0,0,Saint-Étienne,2019-11-28 Saint-Étienne-Gent,UEL,19-20,5115c3eb
132a82f1,Wesley Fofana,32,FRA,CB,18-346,90,0,0,0,0,0,0,0,0,52,2,2,0,0.0,0.0,0.0,3,0,33,45,73.3,3,35,3,1,1,Saint-Étienne,2019-11-28 Saint-Étienne-Gent,UEL,19-20,5115c3eb
cac76a72,Stéphane Ruffier,16,FRA,GK,33-062,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,20,25,80.0,0,8,0,0,0,Saint-Étienne,2019-11-28 Saint-Étienne-Gent,UEL,19-20,5115c3eb
cb641b9d,Roman Yaremchuk,7,UKR,FW,24-001,70,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.1,1,0,16,19,84.2,2,12,0,0,0,Gent,2019-11-28 Saint-Étienne-Gent,UEL,19-20,5115c3eb
c758cdaf,Giorgi Kvilitaia,13,GEO,FW,26-058,20,0,0,0,0,0,0,0,0,15,1,0,1,0.0,0.0,0.0,1,0,4,8,50.0,0,7,0,2,1,Gent,2019-11-28 Saint-Étienne-Gent,UEL,19-20,5115c3eb
aa5859cb,Laurent Depoitre,29,BEL,FW,30-356,77,0,0,0,0,0,0,0,0,22,1,0,1,0.0,0.0,0.0,0,0,5,13,38.5,0,11,0,0,0,Gent,2019-11-28 Saint-Étienne-Gent,UEL,19-20,5115c3eb
742a4995,Alessio Castro-Montes,14,BEL,RB,22-195,13,0,0,0,0,0,0,0,0,11,1,0,1,0.0,0.0,0.0,0,0,2,5,40.0,0,1,0,0,0,Gent,2019-11-28 Saint-Étienne-Gent,UEL,19-20,5115c3eb
