id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
82e34b69,Troy Deeney,9,ENG,FW,30-169,80,0,0,0,0,1,0,0,0,35,0,0,1,0.0,0.0,0.0,1,1,23,31,74.2,3,20,2,0,0,Watford,2018-12-15 Watford-Cardiff City,ENG-EPL,18-19,514e90fd
601ef102,Stefano Okaka,33,ITA,FW,29-128,10,0,0,0,0,1,0,0,0,12,0,0,0,0.0,0.0,0.1,2,0,8,9,88.9,0,8,1,1,0,Watford,2018-12-15 Watford-Cardiff City,ENG-EPL,18-19,514e90fd
39583cfd,Gerard Deulofeu,7,ESP,"FW,AM",24-277,86,1,1,0,0,3,1,0,0,61,0,2,0,0.6,0.6,0.3,10,4,42,53,79.2,5,51,7,4,4,Watford,2018-12-15 Watford-Cardiff City,ENG-EPL,18-19,514e90fd
6cdd8245,Tom Cleverley,8,ENG,AM,29-125,4,0,0,0,0,1,0,0,0,10,1,0,0,0.0,0.0,0.0,1,0,7,7,100.0,0,5,0,0,0,Watford,2018-12-15 Watford-Cardiff City,ENG-EPL,18-19,514e90fd
75f2c59f,Roberto Pereyra,37,ARG,AM,27-342,90,0,0,0,0,4,3,0,0,92,0,1,1,0.5,0.5,0.1,5,0,64,73,87.7,6,55,5,1,0,Watford,2018-12-15 Watford-Cardiff City,ENG-EPL,18-19,514e90fd
1770bd68,Ken Sema,12,SWE,AM,25-076,76,0,1,0,0,1,0,0,0,47,1,0,1,0.0,0.0,0.1,3,1,32,36,88.9,3,31,4,6,2,Watford,2018-12-15 Watford-Cardiff City,ENG-EPL,18-19,514e90fd
f573a8bf,Isaac Success,10,NGA,FW,22-342,14,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.1,2,0,7,10,70.0,2,6,1,0,0,Watford,2018-12-15 Watford-Cardiff City,ENG-EPL,18-19,514e90fd
41fb0f4e,Domingos Quina,20,POR,DM,19-027,90,1,0,0,0,3,1,0,0,99,1,1,1,0.1,0.1,0.0,2,0,78,88,88.6,9,70,2,5,4,Watford,2018-12-15 Watford-Cardiff City,ENG-EPL,18-19,514e90fd
02b29014,Abdoulaye Doucouré,16,MLI,DM,25-348,90,0,1,0,0,1,1,0,0,119,3,0,2,0.1,0.1,0.5,2,0,90,107,84.1,13,85,4,4,3,Watford,2018-12-15 Watford-Cardiff City,ENG-EPL,18-19,514e90fd
12aa7661,José Holebas,25,GRE,LB,34-171,90,1,0,0,0,2,2,0,0,70,2,0,0,0.1,0.1,0.0,2,0,36,60,60.0,2,20,1,1,1,Watford,2018-12-15 Watford-Cardiff City,ENG-EPL,18-19,514e90fd
89e4b358,Craig Cathcart,15,NIR,CB,29-312,90,0,0,0,0,0,0,0,0,72,1,1,2,0.0,0.0,0.0,0,0,54,61,88.5,3,41,1,0,0,Watford,2018-12-15 Watford-Cardiff City,ENG-EPL,18-19,514e90fd
914ab9a1,Christian Kabasele,27,BEL,CB,27-294,90,0,0,0,0,0,0,0,0,65,1,0,1,0.0,0.0,0.0,0,0,48,61,78.7,6,43,0,0,0,Watford,2018-12-15 Watford-Cardiff City,ENG-EPL,18-19,514e90fd
e5d01ecf,Kiko Femenía,21,ESP,RB,27-316,90,0,0,0,0,0,0,0,0,81,3,1,0,0.0,0.0,0.0,0,0,60,73,82.2,3,44,1,1,1,Watford,2018-12-15 Watford-Cardiff City,ENG-EPL,18-19,514e90fd
d0b3ceb9,Ben Foster,26,ENG,GK,35-256,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,21,32,65.6,0,16,0,0,0,Watford,2018-12-15 Watford-Cardiff City,ENG-EPL,18-19,514e90fd
d2583bce,Callum Paterson,13,SCO,FW,24-063,90,0,0,0,0,2,0,0,0,32,0,0,1,0.1,0.1,0.1,1,0,10,23,43.5,3,8,0,1,0,Cardiff City,2018-12-15 Watford-Cardiff City,ENG-EPL,18-19,514e90fd
b30c7426,Josh Murphy,11,ENG,LM,23-294,45,0,0,0,0,1,0,0,0,19,0,1,1,0.0,0.0,0.0,0,0,1,6,16.7,0,12,1,2,1,Cardiff City,2018-12-15 Watford-Cardiff City,ENG-EPL,18-19,514e90fd
