id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
f631c17f,Oliver Burke,14,SCO,FW,23-173,73,0,0,0,0,2,0,0,0,24,0,0,2,0.1,0.1,0.1,4,0,10,16,62.5,3,15,2,3,1,Sheffield United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
e8c9f4e9,Billy Sharp,10,ENG,FW,34-235,17,0,0,0,0,1,1,0,0,9,0,0,0,0.1,0.1,0.0,0,0,3,4,75.0,0,5,1,1,0,Sheffield United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
dbe56a33,David McGoldrick,17,IRL,FW,32-303,73,0,0,0,0,1,0,0,0,32,1,0,0,0.0,0.0,0.3,3,0,13,19,68.4,2,18,1,1,1,Sheffield United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
78b8ac63,Oliver McBurnie,9,SCO,FW,24-115,17,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,7,9,77.8,0,4,1,0,0,Sheffield United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
79bc4c45,Ben Osborn,23,ENG,CM,26-053,90,0,0,0,0,1,0,0,0,49,4,0,2,0.0,0.0,0.5,3,0,27,37,73.0,4,28,5,1,1,Sheffield United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
d0b6129f,Sander Berge,8,NOR,CM,22-226,90,0,0,0,0,0,0,0,0,47,2,0,0,0.0,0.0,0.1,4,0,28,41,68.3,3,28,7,2,2,Sheffield United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
0df2b165,John Lundstram,7,ENG,CM,26-222,63,0,0,0,0,3,1,1,0,39,2,0,1,0.4,0.4,0.2,5,0,27,32,84.4,2,25,1,1,1,Sheffield United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
43439614,Oliver Norwood,16,NIR,CM,29-168,27,0,0,0,0,0,0,0,0,15,0,0,2,0.0,0.0,0.0,0,0,10,13,76.9,0,6,0,0,0,Sheffield United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
17d4507a,Enda Stevens,3,IRL,WB,30-080,90,0,0,0,0,1,1,0,0,49,6,0,1,0.0,0.0,0.0,2,0,24,33,72.7,4,20,2,2,2,Sheffield United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
394854c4,George Baldock,2,GRE,WB,27-202,90,0,0,0,0,2,1,1,0,47,0,0,1,0.1,0.1,0.0,1,0,28,33,84.8,5,18,1,4,4,Sheffield United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
7399c7a8,Jack Robinson,19,ENG,CB,27-026,90,0,0,0,0,3,0,0,0,48,3,2,2,0.6,0.6,0.0,1,0,24,30,80.0,3,17,0,0,0,Sheffield United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
10b9fa99,Ethan Ampadu,22,WAL,CB,20-013,90,0,0,0,0,0,0,0,0,51,1,2,1,0.0,0.0,0.0,0,0,21,36,58.3,1,27,1,0,0,Sheffield United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
1aa84968,Chris Basham,6,ENG,CB,32-069,90,0,0,0,0,0,0,0,0,44,4,3,1,0.0,0.0,0.0,0,0,21,31,67.7,1,20,3,0,0,Sheffield United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
466fb2c5,Aaron Ramsdale,1,ENG,GK,22-136,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.1,2,0,18,35,51.4,0,20,0,0,0,Sheffield United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
6c17e046,Tyler Roberts,11,WAL,FW,21-259,45,0,0,0,0,0,0,0,0,22,0,0,1,0.0,0.0,0.0,1,0,12,18,66.7,0,15,0,0,0,Leeds United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
1fb1c435,Rodrigo,20,ESP,FW,29-205,44,0,0,0,0,3,1,0,0,39,0,0,2,0.1,0.1,0.0,4,0,23,30,76.7,2,20,3,0,0,Leeds United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
1a7fcf39,Ezgjan Alioski,10,MKD,FW,28-228,1,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,3,3,100.0,0,1,0,0,0,Leeds United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
93feac6e,Patrick Bamford,9,ENG,FW,27-022,90,1,0,0,0,4,2,0,0,28,0,0,2,0.5,0.5,0.1,2,0,12,15,80.0,2,10,1,2,0,Leeds United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
aa849a12,Jack Harrison,22,ENG,"LW,LM",23-312,90,0,1,0,0,0,0,0,0,65,2,1,0,0.0,0.0,0.5,6,1,38,53,71.7,0,45,6,3,2,Leeds United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
f13d02a6,Hélder Costa,17,ANG,RW,26-259,65,0,0,0,0,1,1,0,0,29,0,0,0,0.0,0.0,0.0,1,0,16,21,76.2,0,15,1,2,0,Leeds United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
55b4f1d6,Ian Poveda,7,ENG,RM,20-231,25,0,0,0,0,2,1,0,0,10,0,0,0,0.1,0.1,0.0,0,0,3,6,50.0,0,7,2,0,0,Leeds United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
67ca8566,Stuart Dallas,15,NIR,"CM,LB",29-161,90,0,0,0,0,3,2,0,0,86,0,1,4,0.2,0.2,0.0,3,0,62,75,82.7,11,50,4,1,0,Leeds United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
282679b4,Mateusz Klich,43,POL,CM,30-106,90,0,0,0,0,1,0,0,0,64,1,2,1,0.0,0.0,0.1,5,1,44,55,80.0,7,30,3,1,0,Leeds United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
4f565d77,Kalvin Phillips,23,ENG,"DM,CM",24-300,90,0,0,0,0,0,0,1,0,75,3,1,2,0.0,0.0,0.3,7,0,53,65,81.5,5,40,0,1,1,Leeds United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
dc64b8b3,Liam Cooper,6,SCO,CB,29-028,90,0,0,0,0,1,0,0,0,94,2,1,3,0.1,0.1,0.0,1,0,69,85,81.2,3,57,0,0,0,Leeds United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
ea6bc03a,Robin Koch,5,GER,CB,24-072,90,0,0,0,0,0,0,0,0,87,1,1,1,0.0,0.0,0.0,1,0,68,79,86.1,3,58,0,0,0,Leeds United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
420d7c7d,Luke Ayling,2,ENG,"CB,RB",29-033,90,0,0,0,0,2,1,0,0,109,4,0,1,0.1,0.1,0.2,2,0,75,97,77.3,15,71,5,4,4,Leeds United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
6b625ac2,Illan Meslier,1,FRA,GK,20-209,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,37,40,92.5,0,25,0,0,0,Leeds United,2020-09-27 Sheffield Utd-Leeds United,ENG-EPL,20-21,51fb894e
