id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
6c1f7328,Roberto Inglese,45,ITA,FW,26-280,69,1,0,0,0,2,1,0,0,28,0,0,2,0.1,0.1,0.1,4,0,13,19,68.4,1,15,1,0,0,Parma,2018-08-19 Parma-Udinese,ITA-SERIA_A,18-19,52018b4a
4cc93246,Fabio Ceravolo,9,ITA,FW,31-167,21,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,4,0,0,0,Parma,2018-08-19 Parma-Udinese,ITA-SERIA_A,18-19,52018b4a
434b8c73,Antonio Di Gaudio,20,ITA,LW,29-003,90,0,1,0,0,3,1,0,0,27,0,0,0,0.2,0.2,0.1,3,0,12,16,75.0,2,21,4,2,1,Parma,2018-08-19 Parma-Udinese,ITA-SERIA_A,18-19,52018b4a
1cac99dc,Luca Siligardi,26,ITA,RW,30-205,79,0,0,0,0,0,0,0,0,23,1,0,1,0.0,0.0,0.0,1,0,12,18,66.7,0,14,2,0,0,Parma,2018-08-19 Parma-Udinese,ITA-SERIA_A,18-19,52018b4a
6b99d135,Jonathan Biabiany,77,FRA,RW,30-113,11,0,0,0,0,0,0,0,0,12,2,0,0,0.0,0.0,0.0,0,0,4,7,57.1,1,4,0,1,0,Parma,2018-08-19 Parma-Udinese,ITA-SERIA_A,18-19,52018b4a
a64cbd35,Antonino Barillà,17,ITA,LM,30-140,90,1,0,0,0,1,1,0,0,43,3,1,0,0.7,0.7,0.1,2,1,26,33,78.8,10,26,0,2,2,Parma,2018-08-19 Parma-Udinese,ITA-SERIA_A,18-19,52018b4a
92948398,Leo Štulac,5,SVN,CM,23-327,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.3,2,0,39,44,88.6,3,23,0,1,0,Parma,2018-08-19 Parma-Udinese,ITA-SERIA_A,18-19,52018b4a
6cc97b6a,Alberto Grassi,88,ITA,RM,23-165,65,0,0,0,0,2,1,0,0,33,2,2,0,0.1,0.1,0.0,2,2,18,24,75.0,1,17,0,0,0,Parma,2018-08-19 Parma-Udinese,ITA-SERIA_A,18-19,52018b4a
4dba2a97,Luca Rigoni,32,ITA,RM,33-255,25,0,0,0,0,1,0,0,0,7,0,1,0,0.3,0.3,0.0,0,0,2,3,66.7,0,2,0,0,0,Parma,2018-08-19 Parma-Udinese,ITA-SERIA_A,18-19,52018b4a
635b0bae,Massimo Gobbi,18,ITA,LB,37-292,90,0,0,0,0,1,0,1,0,62,1,0,0,0.1,0.1,0.0,2,0,40,55,72.7,5,34,2,0,0,Parma,2018-08-19 Parma-Udinese,ITA-SERIA_A,18-19,52018b4a
173061c0,Riccardo Gagliolo,28,SWE,CB,28-113,90,0,0,0,0,0,0,0,0,66,2,0,2,0.0,0.0,0.0,0,0,39,48,81.3,5,30,0,0,0,Parma,2018-08-19 Parma-Udinese,ITA-SERIA_A,18-19,52018b4a
585a73a8,Bruno Alves,22,POR,CB,36-265,90,0,0,0,0,0,0,0,0,50,0,0,3,0.0,0.0,0.0,0,0,36,42,85.7,4,27,0,0,0,Parma,2018-08-19 Parma-Udinese,ITA-SERIA_A,18-19,52018b4a
