id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
23bf644d,Yun Il-lok,24,KOR,FW,28-273,62,0,0,0,0,1,0,0,0,18,0,0,0,0.0,0.0,0.0,1,0,10,16,62.5,1,6,2,1,1,Montpellier,2020-12-05 Montpellier-Paris S-G,FRA-L1,20-21,52a2e13f
ccb1c3af,Keagan Dolly,20,RSA,FW,27-318,28,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,4,7,57.1,1,3,0,0,0,Montpellier,2020-12-05 Montpellier-Paris S-G,FRA-L1,20-21,52a2e13f
30144daa,Stephy Mavididi,19,ENG,LW,22-188,73,1,0,0,0,3,2,0,0,42,1,0,2,1.5,1.5,0.2,5,1,14,18,77.8,0,18,0,4,1,Montpellier,2020-12-05 Montpellier-Paris S-G,FRA-L1,20-21,52a2e13f
d9a66c60,Petar Škuletić,32,SRB,LW,30-159,17,0,0,0,0,1,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,2,5,40.0,0,4,0,0,0,Montpellier,2020-12-05 Montpellier-Paris S-G,FRA-L1,20-21,52a2e13f
7cdda3bf,Gaëtan Laborde,10,FRA,RW,26-216,90,0,0,0,0,2,0,0,0,37,0,1,1,0.2,0.2,0.6,5,0,15,28,53.6,2,9,3,3,2,Montpellier,2020-12-05 Montpellier-Paris S-G,FRA-L1,20-21,52a2e13f
7e82a78f,Florent Mollet,25,FRA,LM,29-016,73,0,0,0,0,2,0,0,0,50,1,2,0,0.1,0.1,0.0,3,0,30,35,85.7,2,18,1,1,0,Montpellier,2020-12-05 Montpellier-Paris S-G,FRA-L1,20-21,52a2e13f
e3e05edf,Ambroise Oyongo,8,CMR,LM,29-166,17,0,0,0,0,0,0,0,0,14,0,2,0,0.0,0.0,0.0,0,0,6,11,54.5,1,5,1,0,0,Montpellier,2020-12-05 Montpellier-Paris S-G,FRA-L1,20-21,52a2e13f
375622c5,Jordan Ferri,12,FRA,CM,28-268,90,0,0,0,0,0,0,0,0,70,4,0,2,0.0,0.0,0.0,2,0,52,61,85.2,6,21,1,2,1,Montpellier,2020-12-05 Montpellier-Paris S-G,FRA-L1,20-21,52a2e13f
6bde367b,Téji Savanier,11,FRA,RM,28-349,90,0,0,0,0,5,0,1,0,61,3,2,0,0.2,0.2,0.2,5,0,32,41,78.0,9,30,3,7,4,Montpellier,2020-12-05 Montpellier-Paris S-G,FRA-L1,20-21,52a2e13f
ea0aa7e0,Mihailo Ristić,7,SRB,LB,25-035,90,0,0,0,0,1,0,0,0,60,3,1,1,0.0,0.0,0.0,1,0,40,50,80.0,5,25,1,1,1,Montpellier,2020-12-05 Montpellier-Paris S-G,FRA-L1,20-21,52a2e13f
3f5b4635,Daniel Congré,3,FRA,CB,35-244,90,0,0,0,0,0,0,0,0,47,4,1,2,0.0,0.0,0.0,1,0,29,34,85.3,0,12,0,1,1,Montpellier,2020-12-05 Montpellier-Paris S-G,FRA-L1,20-21,52a2e13f
6690ef25,Pedro Mendes,5,POR,CB,30-065,90,0,0,0,0,0,0,0,0,27,1,3,1,0.0,0.0,0.0,0,0,19,21,90.5,1,9,0,0,0,Montpellier,2020-12-05 Montpellier-Paris S-G,FRA-L1,20-21,52a2e13f
24eb7ed6,Junior Sambia,6,FRA,RB,24-089,90,0,0,0,0,1,0,0,0,43,4,1,0,0.0,0.0,0.0,1,0,26,31,83.9,0,20,4,2,0,Montpellier,2020-12-05 Montpellier-Paris S-G,FRA-L1,20-21,52a2e13f
c631f952,Jonas Omlin,1,SUI,GK,26-330,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,16,34,47.1,0,20,0,0,0,Montpellier,2020-12-05 Montpellier-Paris S-G,FRA-L1,20-21,52a2e13f
19cda00b,Ángel Di María,11,ARG,FW,32-295,90,0,1,0,0,3,1,0,0,65,0,0,2,0.1,0.1,0.7,8,2,38,53,71.7,9,45,6,3,0,Paris Saint-Germain,2020-12-05 Montpellier-Paris S-G,FRA-L1,20-21,52a2e13f
3d50bcdb,Moise Kean,18,ITA,FW,20-281,77,1,0,0,0,4,2,1,0,24,1,0,0,0.3,0.3,0.0,0,0,10,14,71.4,2,14,2,2,1,Paris Saint-Germain,2020-12-05 Montpellier-Paris S-G,FRA-L1,20-21,52a2e13f
