id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
17f3620a,Krzysztof Piątek,9,POL,FW,23-087,90,1,0,0,0,8,2,1,0,34,0,1,1,0.6,0.6,0.0,4,1,12,18,66.7,1,23,2,2,2,Genoa,2018-09-26 Genoa-Chievo,ITA-SERIA_A,18-19,539bea82
58e933d2,Christian Kouamé,11,CIV,FW,20-294,90,0,0,0,0,2,0,1,0,42,0,1,1,0.1,0.1,0.0,1,0,19,29,65.5,3,22,1,2,1,Genoa,2018-09-26 Genoa-Chievo,ITA-SERIA_A,18-19,539bea82
d711d04f,Goran Pandev,19,MKD,AM,35-061,55,1,0,0,0,2,2,1,0,28,0,0,1,0.4,0.4,0.0,2,1,14,20,70.0,2,18,1,2,1,Genoa,2018-09-26 Genoa-Chievo,ITA-SERIA_A,18-19,539bea82
88895312,Daniel Bessa,24,ITA,CM,25-255,35,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,14,17,82.4,2,7,0,0,0,Genoa,2018-09-26 Genoa-Chievo,ITA-SERIA_A,18-19,539bea82
98e958af,Oscar Hiljemark,88,SWE,CM,26-090,77,0,0,0,0,0,0,0,0,54,2,0,0,0.0,0.0,0.0,4,0,39,48,81.3,5,22,0,1,0,Genoa,2018-09-26 Genoa-Chievo,ITA-SERIA_A,18-19,539bea82
dc61b402,Luca Mazzitelli,15,ITA,CM,22-315,13,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,7,13,53.8,0,5,0,0,0,Genoa,2018-09-26 Genoa-Chievo,ITA-SERIA_A,18-19,539bea82
07abb358,Rômulo,8,ITA,CM,31-127,90,0,0,0,0,1,0,0,0,73,3,2,2,0.0,0.0,0.4,3,0,49,59,83.1,2,38,5,3,3,Genoa,2018-09-26 Genoa-Chievo,ITA-SERIA_A,18-19,539bea82
5128bde4,Darko Lazović,22,SRB,WB,28-011,73,0,1,0,0,2,0,0,0,38,1,0,0,0.1,0.1,0.1,4,2,24,33,72.7,4,20,4,3,1,Genoa,2018-09-26 Genoa-Chievo,ITA-SERIA_A,18-19,539bea82
1253a12e,Ervin Zukanović,87,BIH,WB,31-227,17,0,0,0,0,0,0,0,0,16,0,2,1,0.0,0.0,0.0,0,0,7,11,63.6,0,5,0,0,0,Genoa,2018-09-26 Genoa-Chievo,ITA-SERIA_A,18-19,539bea82
c77be0cf,Pedro Pereira,32,POR,WB,20-247,90,0,0,0,0,0,0,0,0,78,0,1,1,0.0,0.0,0.1,2,0,47,65,72.3,3,29,2,3,0,Genoa,2018-09-26 Genoa-Chievo,ITA-SERIA_A,18-19,539bea82
35dd6d80,Domenico Criscito,4,ITA,CB,31-270,90,0,0,0,0,2,0,1,0,93,3,3,1,0.0,0.0,0.1,6,0,61,74,82.4,3,38,2,0,0,Genoa,2018-09-26 Genoa-Chievo,ITA-SERIA_A,18-19,539bea82
9a560ebe,Nicolás Spolli,2,ARG,CB,35-218,90,0,0,0,0,1,0,0,0,56,1,0,1,0.1,0.1,0.3,2,0,37,41,90.2,0,18,0,0,0,Genoa,2018-09-26 Genoa-Chievo,ITA-SERIA_A,18-19,539bea82
64cd167d,Davide Biraschi,14,ITA,CB,24-086,90,0,0,0,0,0,0,0,0,68,0,2,1,0.0,0.0,0.0,2,0,52,62,83.9,3,37,1,0,0,Genoa,2018-09-26 Genoa-Chievo,ITA-SERIA_A,18-19,539bea82
67f649be,Ionuț Radu,97,ROU,GK,21-121,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,20,30,66.7,0,13,0,0,0,Genoa,2018-09-26 Genoa-Chievo,ITA-SERIA_A,18-19,539bea82
