id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
57469b2d,Eldor Shomurodov,14,UZB,FW,27-303,90,0,0,0,0,0,0,0,0,22,2,0,0,0.0,0.0,0.8,3,0,10,13,76.9,1,14,1,2,1,Spezia,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
d3298c99,Daniele Verde,10,ITA,LW,26-312,58,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.1,1,0,17,23,73.9,3,14,1,0,0,Spezia,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
039a4fb6,Tio Cipot,72,SVN,LW,20-008,32,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,2,0,9,13,69.2,1,10,1,2,0,Spezia,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
f9758dae,Emmanuel Gyasi,11,GHA,RW,29-107,79,0,0,0,0,1,0,1,0,22,1,0,0,0.1,0.1,0.0,0,0,11,13,84.6,0,12,0,1,0,Spezia,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
b4101c2e,Raimonds Krollis,19,LVA,RW,21-182,11,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,Spezia,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
9d60028d,Viktor Kovalenko,24,UKR,LM,27-073,57,0,0,0,0,3,1,0,0,32,0,1,0,0.9,0.9,0.3,2,0,22,26,84.6,3,19,2,1,1,Spezia,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
46fa7204,Kevin Agudelo,33,COL,LM,24-165,33,0,0,0,0,1,0,0,0,22,0,0,0,0.1,0.1,0.0,1,0,10,15,66.7,1,17,5,6,5,Spezia,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
5cf5c9ad,Salvatore Esposito,25,ITA,CM,22-203,90,0,0,0,0,1,0,0,0,64,1,1,1,0.1,0.1,0.1,4,0,45,55,81.8,5,24,1,1,1,Spezia,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
f503ea63,Albin Ekdal,8,SWE,RM,33-274,90,0,0,0,0,0,0,0,0,45,2,0,2,0.0,0.0,0.0,2,0,30,35,85.7,4,23,1,2,1,Spezia,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
1ac232b8,Simone Bastoni,20,ITA,LB,26-174,57,0,0,0,0,1,1,0,0,39,1,0,1,0.0,0.0,0.1,2,0,26,37,70.3,2,20,4,0,0,Spezia,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
6213fd82,Arkadiusz Reca,13,POL,LB,27-315,33,0,0,0,0,1,1,0,0,38,0,0,0,0.0,0.0,0.1,2,0,21,36,58.3,3,24,5,3,3,Spezia,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
10b9fa99,Ethan Ampadu,4,WAL,CB,22-226,86,0,0,0,0,0,0,0,0,57,2,0,0,0.0,0.0,0.0,2,0,45,50,90.0,5,29,1,1,1,Spezia,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
cf961d8d,Dimitris Nikolaou,43,GRE,CB,24-258,4,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,4,1,0,0,Spezia,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
1bfe5ac9,Przemysław Wiśniewski,55,POL,CB,24-275,90,0,0,0,0,0,0,0,0,58,2,3,3,0.0,0.0,0.0,0,0,40,47,85.1,2,28,1,0,0,Spezia,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
bcc81786,Kelvin Amian,27,FRA,RB,25-079,90,0,0,0,0,3,1,0,0,63,2,0,1,0.4,0.4,0.0,3,0,40,49,81.6,6,31,7,3,1,Spezia,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
085e71a7,Bartłomiej Drągowski,69,POL,GK,25-252,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,27,32,84.4,0,21,0,0,0,Spezia,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
efc9e31f,Dany Mota,47,POR,FW,24-361,77,0,0,0,0,2,1,0,0,36,1,1,0,0.2,0.2,0.0,2,0,15,21,71.4,1,24,2,5,2,Monza,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
b70bde8f,Stefano Sensi,12,ITA,FW,27-266,13,0,0,0,0,0,0,1,0,5,0,0,0,0.0,0.0,0.3,2,1,4,4,100.0,1,5,0,0,0,Monza,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
54e53b7e,Gianluca Caprari,17,ITA,AM,29-272,65,0,0,0,0,2,0,0,0,44,0,0,1,0.0,0.0,0.1,1,0,20,34,58.8,1,27,3,2,0,Monza,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
03f946ed,Andrea Petagna,37,ITA,FW,27-302,25,0,0,0,0,1,0,0,0,9,0,0,0,0.3,0.3,0.0,1,0,3,4,75.0,1,5,1,1,1,Monza,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
6499048c,Andrea Colpani,28,ITA,AM,23-352,61,0,1,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,2,1,26,32,81.3,4,28,2,3,1,Monza,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
7afb1573,Pepín,7,EQG,"DM,CM,AM",26-257,29,0,1,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.3,1,1,6,8,75.0,2,6,1,0,0,Monza,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
780e3631,Matteo Pessina,32,ITA,"CM,DM",26-007,90,0,0,0,0,0,0,0,0,92,3,1,0,0.0,0.0,0.0,2,1,70,82,85.4,5,53,0,1,0,Monza,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
e58cbfd5,Nicolò Rovella,6,ITA,CM,21-145,61,0,0,0,0,0,0,0,0,48,0,2,0,0.0,0.0,0.0,1,0,44,46,95.7,1,35,1,0,0,Monza,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
204ac005,Samuele Birindelli,19,ITA,"WB,CM",23-283,29,0,0,0,0,0,0,1,0,22,2,0,1,0.0,0.0,0.0,0,0,13,14,92.9,0,9,1,0,0,Monza,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
8d3cd59d,Carlos Augusto,30,BRA,WB,24-111,90,1,0,0,0,2,2,0,0,59,7,1,0,0.4,0.4,0.0,1,0,37,41,90.2,2,23,2,3,1,Monza,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
5de3866c,Patrick Ciurria,84,ITA,"WB,AM",28-078,77,1,0,0,0,1,1,0,0,53,1,1,1,0.0,0.0,0.0,0,0,34,48,70.8,3,42,2,0,0,Monza,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
c414df9d,Mattia Valoti,10,ITA,DM,29-234,13,0,0,0,0,0,0,0,0,8,2,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,3,1,1,1,Monza,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
226008f1,Luca Caldirola,5,ITA,CB,32-086,90,0,0,0,0,0,0,0,0,69,1,0,0,0.0,0.0,0.0,0,0,59,63,93.7,4,51,0,0,0,Monza,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
aa54ec6f,Pablo Marí,3,ESP,CB,29-240,90,0,0,0,0,0,0,0,0,57,2,1,2,0.0,0.0,0.0,0,0,41,46,89.1,1,34,0,0,0,Monza,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
89976232,Armando Izzo,55,ITA,CB,31-057,90,0,0,0,0,0,0,0,0,58,5,1,3,0.0,0.0,0.0,0,0,41,46,89.1,3,30,0,1,1,Monza,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
4e0c8d66,Michele Di Gregorio,16,ITA,GK,25-275,90,0,0,0,0,0,0,0,0,47,0,1,0,0.0,0.0,0.0,0,0,36,46,78.3,0,36,0,0,0,Monza,2023-04-28 Spezia-Monza,ITA-SERIA_A,22-23,545c2cd0
