id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
d3de9af0,Duván Zapata,91,COL,FW,26-316,58,0,0,0,0,3,1,0,0,25,0,1,2,0.7,0.7,0.1,1,0,8,15,53.3,0,15,1,0,0,Sampdoria,2018-02-11 Sampdoria-Hellas Verona,ITA-SERIA_A,17-18,54b5e673
be5e1c4c,Dawid Kownacki,99,POL,FW,20-334,32,0,0,0,0,1,0,0,0,19,1,0,1,0.1,0.1,0.3,2,1,10,12,83.3,3,13,2,0,0,Sampdoria,2018-02-11 Sampdoria-Hellas Verona,ITA-SERIA_A,17-18,54b5e673
ee4f2f3b,Fabio Quagliarella,27,ITA,FW,35-011,90,1,0,1,1,7,4,0,0,38,0,0,0,1.8,1.0,0.3,5,0,16,22,72.7,1,24,2,0,0,Sampdoria,2018-02-11 Sampdoria-Hellas Verona,ITA-SERIA_A,17-18,54b5e673
54e53b7e,Gianluca Caprari,17,ITA,AM,24-196,71,0,1,0,0,2,1,0,0,40,0,1,1,0.1,0.1,1.0,10,1,21,31,67.7,1,25,4,8,4,Sampdoria,2018-02-11 Sampdoria-Hellas Verona,ITA-SERIA_A,17-18,54b5e673
92a5ac34,Ricky Álvarez,11,ARG,AM,29-305,19,0,0,0,0,1,0,0,0,24,2,0,1,0.1,0.1,0.0,0,0,13,16,81.3,1,16,0,1,0,Sampdoria,2018-02-11 Sampdoria-Hellas Verona,ITA-SERIA_A,17-18,54b5e673
d023d70f,Karol Linetty,16,POL,LM,23-009,90,0,0,0,0,1,1,0,0,62,7,1,2,0.4,0.4,0.1,7,1,43,54,79.6,7,33,3,4,4,Sampdoria,2018-02-11 Sampdoria-Hellas Verona,ITA-SERIA_A,17-18,54b5e673
52611641,Lucas Torreira,34,URU,CM,22-000,90,0,0,0,0,1,0,0,0,106,6,3,3,0.0,0.0,0.2,7,1,80,92,87.0,10,61,0,2,2,Sampdoria,2018-02-11 Sampdoria-Hellas Verona,ITA-SERIA_A,17-18,54b5e673
43a1bea5,Édgar Barreto,8,PAR,RM,33-211,85,1,0,0,0,3,1,0,0,85,5,0,3,0.5,0.5,0.3,2,0,52,70,74.3,11,32,1,0,0,Sampdoria,2018-02-11 Sampdoria-Hellas Verona,ITA-SERIA_A,17-18,54b5e673
33ecf462,Valerio Verre,21,ITA,RM,24-031,5,0,0,0,0,0,0,0,0,10,1,0,2,0.0,0.0,0.0,0,0,6,7,85.7,0,5,0,0,0,Sampdoria,2018-02-11 Sampdoria-Hellas Verona,ITA-SERIA_A,17-18,54b5e673
d183e9d6,Nicola Murru,29,ITA,LB,23-057,90,0,0,0,0,1,0,0,0,78,5,3,2,0.0,0.0,0.0,2,0,50,65,76.9,9,36,3,0,0,Sampdoria,2018-02-11 Sampdoria-Hellas Verona,ITA-SERIA_A,17-18,54b5e673
