id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
ce5143da,Danny Welbeck,18,ENG,FW,32-259,77,0,0,0,0,4,1,0,0,26,0,0,1,0.3,0.3,0.0,3,0,12,14,85.7,1,16,2,1,1,Brighton & Hove Albion,2023-08-12 Brighton-Luton Town,ENG-EPL,23-24,56a137f7
4596da74,Evan Ferguson,28,IRL,FW,18-297,13,1,0,0,0,2,1,0,0,10,0,0,0,0.9,0.9,0.1,1,0,6,6,100.0,1,8,0,1,0,Brighton & Hove Albion,2023-08-12 Brighton-Luton Town,ENG-EPL,23-24,56a137f7
74618572,Kaoru Mitoma,22,JPN,LW,26-084,90,0,1,0,0,1,0,1,0,55,1,0,0,0.0,0.0,0.6,8,2,42,48,87.5,5,46,7,3,1,Brighton & Hove Albion,2023-08-12 Brighton-Luton Town,ENG-EPL,23-24,56a137f7
bb5fbd2b,Solly March,7,ENG,RW,29-023,73,1,0,0,0,3,2,0,0,44,1,0,0,0.4,0.4,0.0,4,0,24,34,70.6,3,34,1,5,2,Brighton & Hove Albion,2023-08-12 Brighton-Luton Town,ENG-EPL,23-24,56a137f7
4dcec659,Simon Adingra,24,CIV,RW,21-223,17,1,0,0,0,1,1,0,0,9,0,0,0,0.3,0.3,0.0,0,0,6,6,100.0,0,5,0,1,0,Brighton & Hove Albion,2023-08-12 Brighton-Luton Town,ENG-EPL,23-24,56a137f7
e8832875,João Pedro,9,BRA,AM,21-320,87,1,0,1,1,3,1,0,0,49,2,0,0,1.3,0.6,0.0,4,1,24,30,80.0,4,38,3,5,0,Brighton & Hove Albion,2023-08-12 Brighton-Luton Town,ENG-EPL,23-24,56a137f7
9cfbad36,Julio Enciso,10,PAR,AM,19-201,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,1,0,Brighton & Hove Albion,2023-08-12 Brighton-Luton Town,ENG-EPL,23-24,56a137f7
db4ed67b,Mahmoud Dahoud,8,GER,DM,27-223,73,0,0,0,0,2,0,0,0,53,2,0,1,0.0,0.0,0.1,3,1,41,46,89.1,4,35,0,0,0,Brighton & Hove Albion,2023-08-12 Brighton-Luton Town,ENG-EPL,23-24,56a137f7
df10e27c,Billy Gilmour,11,SCO,DM,22-062,17,0,0,0,0,1,1,0,0,18,0,0,0,0.0,0.0,0.0,0,0,17,17,100.0,1,16,0,0,0,Brighton & Hove Albion,2023-08-12 Brighton-Luton Town,ENG-EPL,23-24,56a137f7
8aec0537,Pascal Groß,13,GER,DM,32-058,90,0,0,0,0,3,1,0,0,95,2,2,2,0.5,0.5,0.6,8,0,67,79,84.8,8,59,0,1,1,Brighton & Hove Albion,2023-08-12 Brighton-Luton Town,ENG-EPL,23-24,56a137f7
d38fdf53,Pervis Estupiñán,30,ECU,LB,25-203,90,0,1,0,0,3,2,1,0,100,1,0,1,0.1,0.1,1.5,10,1,78,94,83.0,15,75,10,1,1,Brighton & Hove Albion,2023-08-12 Brighton-Luton Town,ENG-EPL,23-24,56a137f7
282f75f3,Lewis Dunk,5,ENG,CB,31-264,90,0,0,0,0,2,0,0,0,124,1,0,0,0.1,0.1,0.0,3,1,110,119,92.4,11,105,5,0,0,Brighton & Hove Albion,2023-08-12 Brighton-Luton Town,ENG-EPL,23-24,56a137f7
