id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
59e6e5bf,Dominic Calvert-Lewin,9,ENG,FW,26-340,90,0,0,0,0,3,0,0,0,42,1,0,0,0.2,0.2,0.1,3,0,20,28,71.4,2,20,1,2,1,Everton,2024-02-19 Everton-Crystal Palace,ENG-EPL,23-24,573f2f77
02b29014,Abdoulaye Doucouré,16,MLI,FW,31-049,71,0,0,0,0,3,1,0,0,33,0,0,0,0.7,0.7,0.0,1,0,16,24,66.7,5,14,0,1,1,Everton,2024-02-19 Everton-Crystal Palace,ENG-EPL,23-24,573f2f77
ed5c0319,Beto,14,GNB,FW,26-019,19,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,3,0,1,0,Everton,2024-02-19 Everton-Crystal Palace,ENG-EPL,23-24,573f2f77
fc15fb84,Dwight McNeil,7,ENG,LM,24-089,90,0,1,0,0,0,0,0,0,55,1,0,1,0.0,0.0,0.7,7,1,41,51,80.4,6,40,3,0,0,Everton,2024-02-19 Everton-Crystal Palace,ENG-EPL,23-24,573f2f77
4e015693,James Garner,37,ENG,CM,22-343,90,0,0,0,0,3,1,0,0,75,1,3,2,0.2,0.2,0.1,8,1,55,65,84.6,2,36,1,3,1,Everton,2024-02-19 Everton-Crystal Palace,ENG-EPL,23-24,573f2f77
72c812f3,Idrissa Gana Gueye,27,SEN,CM,34-146,65,0,0,0,0,3,0,0,0,48,5,1,2,0.0,0.0,0.0,4,0,30,36,83.3,1,17,1,1,1,Everton,2024-02-19 Everton-Crystal Palace,ENG-EPL,23-24,573f2f77
828657ff,Amadou Onana,8,BEL,CM,22-187,25,1,0,0,0,2,1,0,0,33,3,0,0,0.2,0.2,0.0,0,0,20,26,76.9,3,14,0,0,0,Everton,2024-02-19 Everton-Crystal Palace,ENG-EPL,23-24,573f2f77
be927d03,Ashley Young,18,ENG,RM,38-225,65,0,0,0,0,1,0,0,0,30,2,1,1,0.1,0.1,0.0,1,0,12,17,70.6,0,14,0,0,0,Everton,2024-02-19 Everton-Crystal Palace,ENG-EPL,23-24,573f2f77
aa849a12,Jack Harrison,11,ENG,RM,27-091,25,0,0,0,0,0,0,0,0,28,2,0,1,0.0,0.0,0.0,0,0,10,20,50.0,0,13,1,1,0,Everton,2024-02-19 Everton-Crystal Palace,ENG-EPL,23-24,573f2f77
