id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
b684a484,Jordan Pefok,45,USA,FW,26-102,77,1,0,0,0,4,2,0,0,28,0,0,1,0.3,0.3,0.2,3,0,8,16,50.0,1,12,0,1,0,Union Berlin,2022-08-06 Union Berlin-Hertha BSC,GER-BL1,22-23,58e704e1
30ae134d,Kevin Behrens,17,GER,FW,31-184,13,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,2,3,0,0,0,Union Berlin,2022-08-06 Union Berlin-Hertha BSC,GER-BL1,22-23,58e704e1
8eb55dbb,Sheraldo Becker,27,SUR,FW,27-178,70,1,1,0,0,3,2,0,0,31,1,0,0,0.2,0.2,0.2,7,3,16,23,69.6,3,15,3,1,0,Union Berlin,2022-08-06 Union Berlin-Hertha BSC,GER-BL1,22-23,58e704e1
13fe7b69,Jamie Leweling,40,GER,FW,21-161,20,0,0,0,0,0,0,1,0,10,1,1,0,0.0,0.0,0.0,0,0,3,4,75.0,0,7,1,2,0,Union Berlin,2022-08-06 Union Berlin-Hertha BSC,GER-BL1,22-23,58e704e1
70dcf94d,Janik Haberer,19,GER,CM,28-126,69,0,1,0,0,1,0,0,0,29,1,0,1,0.0,0.0,0.3,6,2,13,19,68.4,3,18,2,5,1,Union Berlin,2022-08-06 Union Berlin-Hertha BSC,GER-BL1,22-23,58e704e1
049751d7,András Schäfer,13,HUN,CM,23-115,21,0,0,0,0,0,0,0,0,8,2,0,0,0.0,0.0,0.0,1,0,4,5,80.0,0,5,1,0,0,Union Berlin,2022-08-06 Union Berlin-Hertha BSC,GER-BL1,22-23,58e704e1
59e4b92e,Rani Khedira,8,GER,CM,28-191,90,0,0,0,0,3,0,0,0,43,6,0,1,0.2,0.2,0.1,1,0,29,36,80.6,6,13,0,0,0,Union Berlin,2022-08-06 Union Berlin-Hertha BSC,GER-BL1,22-23,58e704e1
f24ea523,Genki Haraguchi,24,JPN,CM,31-089,77,0,0,0,0,1,0,0,0,27,2,0,2,0.1,0.1,0.1,6,0,16,19,84.2,3,12,2,1,1,Union Berlin,2022-08-06 Union Berlin-Hertha BSC,GER-BL1,22-23,58e704e1
5dc15574,Miloš Pantović,32,SRB,CM,26-030,13,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,5,9,55.6,0,6,0,0,0,Union Berlin,2022-08-06 Union Berlin-Hertha BSC,GER-BL1,22-23,58e704e1
009a4f60,Julian Ryerson,6,NOR,WB,24-262,63,0,0,0,0,4,2,0,0,46,2,0,1,0.2,0.2,0.0,4,0,29,37,78.4,4,14,0,2,2,Union Berlin,2022-08-06 Union Berlin-Hertha BSC,GER-BL1,22-23,58e704e1
7242b495,Niko Gießelmann,23,GER,WB,30-314,27,0,0,0,0,0,0,0,0,20,2,1,0,0.0,0.0,0.1,2,0,13,16,81.3,0,6,0,0,0,Union Berlin,2022-08-06 Union Berlin-Hertha BSC,GER-BL1,22-23,58e704e1
056d2d95,Christopher Trimmel,28,AUT,WB,35-163,90,0,1,0,0,1,1,0,0,61,3,3,2,0.0,0.0,0.0,2,1,22,47,46.8,2,22,2,2,0,Union Berlin,2022-08-06 Union Berlin-Hertha BSC,GER-BL1,22-23,58e704e1
c4987edc,Diogo Leite,4,POR,CB,23-195,90,0,0,0,0,1,0,0,0,64,2,3,0,0.0,0.0,0.0,2,0,48,58,82.8,4,31,0,0,0,Union Berlin,2022-08-06 Union Berlin-Hertha BSC,GER-BL1,22-23,58e704e1
6bd5cd5d,Robin Knoche,31,GER,CB,30-076,90,1,0,0,0,1,1,1,0,58,1,1,1,0.0,0.0,0.1,2,0,40,50,80.0,1,36,0,1,1,Union Berlin,2022-08-06 Union Berlin-Hertha BSC,GER-BL1,22-23,58e704e1
a93b6f4e,Paul Jaeckel,3,GER,CB,24-015,90,0,0,0,0,0,0,0,0,39,0,1,0,0.0,0.0,0.0,0,0,28,33,84.8,2,18,0,0,0,Union Berlin,2022-08-06 Union Berlin-Hertha BSC,GER-BL1,22-23,58e704e1
a70b8345,Frederik Rønnow,1,DEN,GK,30-002,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,20,30,66.7,0,19,0,0,0,Union Berlin,2022-08-06 Union Berlin-Hertha BSC,GER-BL1,22-23,58e704e1
1238a3f9,Davie Selke,7,GER,FW,27-198,55,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.0,1,0,3,7,42.9,0,5,0,0,0,Hertha BSC,2022-08-06 Union Berlin-Hertha BSC,GER-BL1,22-23,58e704e1
b4c816a9,Wilfried Kanga,18,CIV,FW,24-166,35,0,0,0,0,1,1,0,0,10,0,0,2,0.0,0.0,0.0,1,0,6,6,100.0,0,5,0,0,0,Hertha BSC,2022-08-06 Union Berlin-Hertha BSC,GER-BL1,22-23,58e704e1
706a60e1,Myziane Maolida,11,COM,LW,23-173,55,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,11,1,2,1,Hertha BSC,2022-08-06 Union Berlin-Hertha BSC,GER-BL1,22-23,58e704e1
f36c432f,Stevan Jovetić,19,MNE,AM,32-277,35,0,1,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.1,1,1,9,12,75.0,1,12,1,2,1,Hertha BSC,2022-08-06 Union Berlin-Hertha BSC,GER-BL1,22-23,58e704e1
