id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
79443529,Dušan Vlahović,9,SRB,FW,22-199,90,2,0,1,1,5,1,0,0,24,0,0,3,1.4,0.6,0.2,4,1,10,12,83.3,3,8,4,3,2,Juventus,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
19cda00b,Ángel Di María,22,ARG,"RW,FW",34-182,65,1,1,0,0,2,1,0,0,29,2,0,2,0.2,0.2,0.3,2,0,12,19,63.2,4,23,3,2,0,Juventus,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
34693494,Fabio Miretti,20,ITA,CM,19-012,25,0,0,0,0,1,0,0,0,9,1,0,0,0.1,0.1,0.1,1,0,5,7,71.4,1,5,0,0,0,Juventus,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
01c3aff5,Weston McKennie,8,USA,"CM,LM,RW",23-352,75,0,0,0,0,0,0,0,0,29,0,1,0,0.0,0.0,0.0,2,0,21,25,84.0,5,16,3,0,0,Juventus,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
c13ddd3e,Matìas Soulé,30,ARG,RW,19-122,15,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0.0,0,0,4,5,80.0,0,4,0,0,0,Juventus,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
a8a874f1,Manuel Locatelli,5,ITA,CM,24-219,75,0,0,0,0,1,0,1,0,32,0,2,0,0.0,0.0,0.0,0,0,22,27,81.5,2,15,0,1,1,Juventus,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
e58cbfd5,Nicolò Rovella,13,ITA,CM,20-254,15,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,0,0,8,8,100.0,0,8,1,1,1,Juventus,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
384d58d9,Denis Zakaria,28,SUI,CM,25-268,90,0,0,0,0,0,0,0,0,26,4,2,2,0.0,0.0,0.0,1,0,14,16,87.5,1,12,0,0,0,Juventus,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
0ab1f153,Juan Cuadrado,11,COL,"LW,RM",34-081,60,0,0,0,0,1,1,0,0,38,0,3,0,0.0,0.0,0.0,2,1,24,32,75.0,2,18,1,0,0,Juventus,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
b1cd37e6,Filip Kostić,17,SRB,LW,29-287,30,0,0,0,0,1,0,0,0,21,0,0,0,0.1,0.1,0.0,1,0,11,18,61.1,0,15,2,0,0,Juventus,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
0d82903c,Alex Sandro,12,BRA,LB,31-201,60,0,1,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,1,1,27,30,90.0,1,12,3,3,2,Juventus,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
ae4e2852,Mattia De Sciglio,2,ITA,LB,29-299,30,0,0,0,0,0,0,0,0,22,0,0,1,0.0,0.0,0.0,1,0,18,19,94.7,4,12,1,3,2,Juventus,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
5fd5ed86,Gleison Bremer,3,BRA,CB,25-150,90,0,0,0,0,0,0,0,0,89,1,2,1,0.0,0.0,0.1,2,0,69,80,86.3,2,47,0,0,0,Juventus,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
52ec54d0,Leonardo Bonucci,19,ITA,CB,35-106,90,0,0,0,0,0,0,0,0,50,1,0,3,0.0,0.0,0.1,1,0,38,42,90.5,1,25,0,0,0,Juventus,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
94b2001f,Danilo,6,BRA,RB,31-031,90,0,0,0,0,0,0,0,0,48,1,2,1,0.0,0.0,0.1,3,0,30,39,76.9,2,18,0,0,0,Juventus,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
4c62d0c8,Mattia Perin,36,ITA,GK,29-278,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,34,42,81.0,0,33,0,0,0,Juventus,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
854ee61a,Grégoire Defrel,92,MTQ,FW,31-059,45,0,0,0,0,2,2,0,0,11,0,0,0,0.2,0.2,0.1,1,0,5,6,83.3,0,8,0,0,0,Sassuolo,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
6e058f06,Giacomo Raspadori,18,ITA,"LW,FW",22-178,45,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,10,12,83.3,2,10,0,0,0,Sassuolo,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
0a483542,Giorgos Kyriakopoulos,77,GRE,LW,26-191,58,0,0,0,0,1,0,0,0,26,1,1,0,0.0,0.0,0.0,3,0,14,19,73.7,0,18,2,4,3,Sassuolo,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
08aa9cd1,Andrea Pinamonti,9,ITA,FW,23-088,32,0,0,0,0,2,1,0,0,5,0,0,0,0.1,0.1,0.0,0,0,1,3,33.3,0,2,1,0,0,Sassuolo,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
53a0e358,Domenico Berardi,10,ITA,RW,28-014,90,0,0,0,0,4,1,0,0,54,1,1,0,0.2,0.2,0.3,8,0,31,39,79.5,4,43,3,1,1,Sassuolo,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
76ff8d0d,Kristian Thorstvedt,42,NOR,LM,23-155,79,0,0,0,0,2,0,1,0,32,0,1,1,0.2,0.2,0.1,5,0,22,25,88.0,4,22,1,0,0,Sassuolo,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
65fd099c,Abdou Harroui,8,NED,LM,24-214,11,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,13,15,86.7,2,15,2,0,0,Sassuolo,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
a2d9f138,Matheus Henrique,7,BRA,CM,24-239,90,0,0,0,0,2,1,1,0,91,1,1,1,0.0,0.0,0.1,4,0,79,84,94.0,10,66,2,1,0,Sassuolo,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
2a7d27c1,Davide Frattesi,16,ITA,RM,22-297,79,0,0,0,0,4,1,0,0,44,2,0,0,0.2,0.2,0.0,3,0,29,34,85.3,6,30,4,2,2,Sassuolo,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
98a84572,Emil Ceide,15,NOR,RM,20-346,11,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,1,6,0,0,0,Sassuolo,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
10e7f486,Rogério,6,BRA,LB,24-214,90,0,0,0,0,0,0,0,0,72,1,1,0,0.0,0.0,0.1,2,0,55,67,82.1,5,42,5,1,0,Sassuolo,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
8650af85,Gian Marco Ferrari,13,ITA,CB,30-181,90,0,0,0,0,0,0,1,0,75,0,1,0,0.0,0.0,0.0,0,0,69,73,94.5,5,56,0,0,0,Sassuolo,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
2200181e,Kaan Ayhan,5,TUR,CB,27-278,90,0,0,0,0,1,1,0,0,103,1,1,1,0.0,0.0,0.0,3,0,89,96,92.7,6,71,3,0,0,Sassuolo,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
1295552e,Mert Müldür,17,TUR,RB,23-134,6,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Sassuolo,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
a96e5dc0,Jeremy Toljan,22,GER,RB,28-007,84,0,0,0,0,1,0,0,0,62,2,0,2,0.0,0.0,0.1,2,0,50,58,86.2,4,30,2,1,1,Sassuolo,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
8cabdc1e,Andrea Consigli,47,ITA,GK,35-200,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,26,31,83.9,0,14,0,0,0,Sassuolo,2022-08-15 Juventus-Sassuolo,ITA-SERIA_A,22-23,59f4c84f
