id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
45963054,Jamie Vardy,9,ENG,FW,37-233,90,0,0,0,0,0,0,1,0,19,0,0,1,0.0,0.0,0.0,2,0,9,12,75.0,1,8,1,2,0,Leicester City,2024-08-31 Leicester City-Aston Villa,ENG-EPL,24-25,5af68b76
da052c14,Jordan Ayew,18,GHA,LW,32-355,66,0,0,0,0,1,0,0,0,37,3,0,2,0.0,0.0,0.0,2,0,22,28,78.6,3,26,3,2,2,Leicester City,2024-08-31 Leicester City-Aston Villa,ENG-EPL,24-25,5af68b76
30144daa,Stephy Mavididi,10,ENG,"LM,WB",26-092,24,0,0,0,0,0,0,0,0,10,2,0,0,0.0,0.0,0.0,2,2,6,7,85.7,0,7,1,4,2,Leicester City,2024-08-31 Leicester City-Aston Villa,ENG-EPL,24-25,5af68b76
bceda5ff,Abdul Fatawu Issahaku,7,GHA,RW,20-176,67,0,0,0,0,2,1,0,0,32,3,1,0,0.0,0.0,0.0,0,0,14,18,77.8,4,23,1,6,1,Leicester City,2024-08-31 Leicester City-Aston Villa,ENG-EPL,24-25,5af68b76
468a7a91,Facundo Buonanotte,40,ARG,"RM,AM",19-252,23,1,0,0,0,2,1,0,0,24,1,0,0,0.2,0.2,0.0,1,0,17,20,85.0,0,15,1,0,0,Leicester City,2024-08-31 Leicester City-Aston Villa,ENG-EPL,24-25,5af68b76
6b47c5db,Wilfred Ndidi,6,NGA,"AM,CM",27-259,88,0,1,0,0,0,0,0,0,51,2,1,1,0.0,0.0,0.2,0,0,29,37,78.4,1,32,0,2,0,Leicester City,2024-08-31 Leicester City-Aston Villa,ENG-EPL,24-25,5af68b76
0f7533cd,Bobby Reid,14,JAM,"AM,CM",31-211,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,Leicester City,2024-08-31 Leicester City-Aston Villa,ENG-EPL,24-25,5af68b76
6250083a,Oliver Skipp,22,ENG,DM,23-350,67,0,0,0,0,1,1,1,0,50,2,1,1,0.0,0.0,0.0,1,0,38,43,88.4,5,34,1,1,1,Leicester City,2024-08-31 Leicester City-Aston Villa,ENG-EPL,24-25,5af68b76
f7042636,Bilal El Khannouss,11,MAR,CM,20-113,23,0,0,0,0,1,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,15,16,93.8,1,11,0,0,0,Leicester City,2024-08-31 Leicester City-Aston Villa,ENG-EPL,24-25,5af68b76
2f7acede,Harry Winks,8,ENG,"DM,CM",28-211,90,0,0,0,0,0,0,1,0,87,1,1,1,0.0,0.0,0.0,2,0,76,84,90.5,4,58,0,0,0,Leicester City,2024-08-31 Leicester City-Aston Villa,ENG-EPL,24-25,5af68b76
505486d6,Victor Bernth Kristiansen,16,DEN,"LB,CB",21-259,90,0,0,0,0,0,0,0,0,63,2,3,2,0.0,0.0,0.1,4,0,41,50,82.0,3,39,5,0,0,Leicester City,2024-08-31 Leicester City-Aston Villa,ENG-EPL,24-25,5af68b76
8ec109e6,Caleb Okoli,5,ITA,CB,23-049,89,0,0,0,0,1,0,1,0,81,3,1,2,0.0,0.0,0.0,0,0,62,68,91.2,2,53,1,0,0,Leicester City,2024-08-31 Leicester City-Aston Villa,ENG-EPL,24-25,5af68b76
b2c66859,Kasey McAteer,35,ENG,"WB,CB",22-283,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,Leicester City,2024-08-31 Leicester City-Aston Villa,ENG-EPL,24-25,5af68b76
