id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
4a987ffa,Adrian Grbić,27,AUT,FW,24-040,90,1,0,0,0,1,1,0,0,31,1,0,0,0.1,0.1,0.0,0,0,7,24,29.2,0,16,1,0,0,Lorient,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
2500cef9,Yoane Wissa,19,COD,LW,24-010,90,1,1,1,1,0,0,0,0,31,4,0,1,0.8,0.0,0.1,2,2,10,17,58.8,1,18,0,5,3,Lorient,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
29939a1d,Stéphane Diarra,7,FRA,RW,21-279,45,0,0,0,0,0,0,1,0,16,0,0,2,0.0,0.0,0.0,1,0,10,11,90.9,2,11,0,2,1,Lorient,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
31626657,Laurent Abergel,6,FRA,RM,27-225,45,0,0,0,0,0,0,0,0,29,2,1,0,0.0,0.0,0.0,0,0,18,22,81.8,4,18,1,1,1,Lorient,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
4ef705ab,Sylvain Marveaux,12,FRA,LM,34-151,63,0,0,0,0,1,0,0,0,27,4,0,0,0.0,0.0,0.0,2,0,14,20,70.0,5,16,1,1,1,Lorient,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
6f806d99,Enzo Le Fée,10,FRA,LM,20-223,27,0,0,0,0,0,0,1,0,16,0,0,3,0.0,0.0,0.0,0,0,9,11,81.8,1,11,2,1,0,Lorient,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
54d51e22,Fabien Lemoine,18,FRA,CM,33-181,73,0,0,0,0,1,0,0,0,48,10,0,1,0.0,0.0,0.0,0,0,29,38,76.3,3,33,0,0,0,Lorient,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
6e2c94ad,Umut Bozok,9,TUR,CM,23-360,17,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,2,0,5,6,83.3,0,7,0,2,1,Lorient,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
f6496133,Quentin Boisgard,11,FRA,"RW,RM",23-180,90,0,0,0,0,1,1,1,0,40,0,0,1,0.0,0.0,0.0,1,1,19,34,55.9,2,19,1,2,2,Lorient,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
2321ea6e,Vincent Le Goff,25,FRA,LB,30-334,90,0,0,0,0,0,0,0,0,69,1,4,0,0.0,0.0,0.0,2,0,42,58,72.4,1,32,1,0,0,Lorient,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
e97150c0,Jérémy Morel,21,MAD,CB,36-164,90,0,0,0,0,0,0,0,0,51,1,1,0,0.0,0.0,0.0,0,0,30,37,81.1,2,27,0,0,0,Lorient,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
f066022d,Julien Laporte,15,FRA,CB,26-314,90,0,0,0,0,0,0,1,0,47,0,1,0,0.0,0.0,0.0,1,1,35,46,76.1,3,34,0,0,0,Lorient,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
1545cf15,Houboulang Mendes,17,GNB,RB,22-132,81,0,0,0,0,1,0,0,0,54,1,0,0,0.0,0.0,0.0,1,0,41,49,83.7,6,33,1,1,1,Lorient,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
5515376c,Trevoh Chalobah,8,ENG,RB,21-070,9,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,5,0,0,0,Lorient,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
2d70dbe5,Paul Nardi,30,FRA,GK,26-118,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,16,27,59.3,0,16,0,0,0,Lorient,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
7a42d0df,Florian Sotoca,7,FRA,FW,29-324,90,0,2,0,0,1,1,0,0,57,2,0,1,0.0,0.0,0.6,5,3,31,47,66.0,6,44,1,2,2,Lens,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
7d9b37bf,Corentin Jean,25,FRA,FW,25-060,56,0,0,0,0,1,0,0,0,18,0,0,0,0.3,0.3,0.0,2,1,5,12,41.7,0,14,0,1,0,Lens,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
23c63b7f,Ignatius Ganago,27,CMR,FW,21-210,34,1,0,0,0,3,1,0,0,20,0,1,0,0.5,0.5,0.0,1,1,12,13,92.3,1,13,1,2,2,Lens,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
5b1bf5e3,Gaël Kakuta,10,COD,AM,29-084,70,1,0,1,1,2,0,0,0,48,3,1,1,0.9,0.1,0.1,3,1,26,37,70.3,5,35,2,4,2,Lens,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
96e5168e,Tony Mauricio,22,FRA,AM,26-175,20,0,0,0,0,1,1,0,0,18,1,0,2,0.1,0.1,0.0,2,0,7,9,77.8,0,11,0,1,1,Lens,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
ce4f40c7,Cheick Doucouré,28,MLI,CM,20-249,90,0,0,0,0,0,0,0,0,46,1,3,2,0.0,0.0,0.1,2,0,27,33,81.8,4,30,1,1,1,Lens,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
677ee102,Yannick Cahuzac,18,FRA,CM,35-239,70,0,0,0,0,0,0,1,0,21,0,1,0,0.0,0.0,0.0,0,0,19,20,95.0,4,16,0,0,0,Lens,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
88970207,Manuel Perez,6,FRA,CM,29-125,20,0,0,0,0,1,0,0,0,12,0,0,0,0.1,0.1,0.0,0,0,10,11,90.9,2,8,1,0,0,Lens,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
62e02107,Ismaëlben Boura,33,COM,WB,20-030,84,0,0,0,0,0,0,0,0,39,1,1,0,0.0,0.0,0.0,0,0,28,34,82.4,1,25,2,3,3,Lens,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
b99bec05,Issiaga Sylla,3,GUI,WB,26-256,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,1,0,0,Lens,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
5219ab4a,Jonathan Clauss,11,FRA,WB,27-354,56,0,0,0,0,0,0,0,0,38,0,0,2,0.0,0.0,0.3,2,0,28,34,82.4,6,26,3,2,1,Lens,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
cb9ec45d,Clément Michelin,13,FRA,WB,23-125,34,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.0,0,0,17,24,70.8,0,13,0,0,0,Lens,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
6f5ec8bb,Facundo Medina,14,ARG,CB,21-108,90,1,0,0,0,1,1,0,0,72,0,2,1,0.2,0.2,0.0,1,0,45,58,77.6,5,54,0,0,0,Lens,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
114bbdee,Loïc Bade,4,FRA,CB,20-155,89,0,0,0,0,1,1,2,1,63,1,0,1,0.1,0.1,0.0,1,0,42,54,77.8,2,36,0,0,0,Lens,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
06c48679,Jonathan Gradit,24,FRA,CB,27-294,90,0,0,0,0,0,0,0,0,54,4,3,1,0.0,0.0,0.0,1,0,38,43,88.4,3,39,0,3,1,Lens,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
edbe46dc,Jean-Louis Leca,16,FRA,GK,34-358,90,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.0,1,0,13,26,50.0,0,16,0,0,0,Lens,2020-09-13 Lorient-Lens,FRA-L1,20-21,5bf9af16
