id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
09538fdb,Kevin Lasagna,15,ITA,FW,28-051,90,0,0,0,0,4,1,0,0,32,1,0,0,0.6,0.6,0.1,1,0,12,20,60.0,2,23,1,1,0,Udinese,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
601ef102,Stefano Okaka,7,ITA,FW,31-052,63,0,0,0,0,3,0,0,0,20,1,0,0,0.4,0.4,0.1,2,0,11,13,84.6,1,8,0,1,0,Udinese,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
b1236c63,Ilija Nestorovski,30,MKD,FW,30-202,27,0,0,0,0,2,1,0,0,8,0,0,0,0.1,0.1,0.6,2,0,3,4,75.0,0,8,1,1,1,Udinese,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
f8d41a8c,Martin Palumbo,64,NOR,CM,18-209,55,0,0,0,0,0,0,0,0,23,0,1,5,0.0,0.0,0.0,1,0,4,11,36.4,1,10,0,0,0,Udinese,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
d60c26fc,Fernando Forestieri,45,ITA,"CM,LM",30-259,35,0,0,0,0,1,0,0,0,31,0,0,0,0.6,0.6,0.5,2,0,21,26,80.8,5,22,0,2,0,Udinese,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
162efffd,Rodrigo De Paul,10,ARG,CM,26-129,90,0,0,0,0,1,0,0,0,91,0,0,0,0.0,0.0,0.2,5,0,64,83,77.1,21,67,4,5,4,Udinese,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
c976160c,Mamadou Coulibaly,99,SEN,CM,21-240,90,0,0,0,0,0,0,0,0,52,6,0,2,0.0,0.0,0.0,1,0,33,36,91.7,7,31,0,2,2,Udinese,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
8abd0c03,Marvin Zeegelaar,90,NED,WB,30-049,63,0,0,0,0,0,0,0,0,27,1,0,1,0.0,0.0,0.0,0,0,18,24,75.0,5,17,4,1,1,Udinese,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
36d9dabe,Thomas Ouwejan,5,NED,"LB,WB",24-000,27,0,0,0,0,1,1,0,0,29,0,0,0,0.0,0.0,0.0,1,0,19,27,70.4,2,21,1,2,1,Udinese,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
18f9dbd0,Hidde ter Avest,18,NED,"WB,RB",23-133,90,0,0,0,0,0,0,0,0,65,2,0,0,0.0,0.0,0.0,1,0,44,57,77.2,5,40,2,3,2,Udinese,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
92b4758e,Samir Santos,3,BRA,CB,25-300,77,0,0,0,0,0,0,0,0,45,1,0,0,0.0,0.0,0.0,0,0,37,41,90.2,1,28,0,0,0,Udinese,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
7280b54f,Ryder Matos,77,BRA,RM,27-216,13,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,3,0,6,8,75.0,0,9,4,1,1,Udinese,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
952a03fe,Sebastien De Maio,87,FRA,CB,33-209,90,0,0,0,0,0,0,0,0,66,3,1,0,0.0,0.0,0.0,0,0,54,60,90.0,2,46,1,0,0,Udinese,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
19e4eab9,Rodrigo Becão,50,BRA,CB,24-255,90,0,0,0,0,1,0,0,0,69,3,1,1,0.1,0.1,0.0,2,0,54,62,87.1,5,47,2,0,0,Udinese,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
a111cf41,Juan Musso,1,ARG,GK,26-147,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,19,24,79.2,0,17,0,0,0,Udinese,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
0a1efd3c,Andrey Galabinov,9,BUL,FW,31-308,90,2,0,0,0,2,2,0,0,35,1,0,0,0.7,0.7,0.0,2,1,16,26,61.5,4,18,1,0,0,Spezia,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
f9758dae,Emmanuel Gyasi,11,GHA,LW,26-263,66,0,1,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.3,1,1,16,16,100.0,0,18,4,0,0,Spezia,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
0fee6bda,Martin Erlic,28,CRO,CB,22-250,24,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,3,0,0,0,Spezia,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
d3298c99,Daniele Verde,31,ITA,RW,24-102,66,0,0,0,0,1,0,0,0,33,0,0,1,0.1,0.1,0.0,0,0,19,27,70.4,0,23,1,2,0,Spezia,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
157d29b6,Diego Farias,17,BRA,FW,30-143,24,0,0,0,0,0,0,1,0,8,1,1,0,0.0,0.0,0.0,0,0,5,5,100.0,1,4,0,0,0,Spezia,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
957e4c87,Giulio Maggiore,25,ITA,LM,22-202,66,0,0,0,0,0,0,0,0,33,4,2,0,0.0,0.0,0.1,2,0,19,23,82.6,3,16,1,3,2,Spezia,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
55a1cac2,Tommaso Pobega,26,ITA,LM,21-077,24,0,0,0,0,0,0,0,0,13,1,1,0,0.0,0.0,0.0,0,0,5,9,55.6,0,5,0,0,0,Spezia,2020-09-30 Udinese-Spezia,ITA-SERIA_A,20-21,5ca8fe51
