id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
b0f7e36c,Federico Chiesa,7,ITA,FW,26-032,79,0,1,0,0,1,0,0,0,20,1,0,1,0.1,0.1,0.3,3,1,7,12,58.3,1,14,2,0,0,Juventus,2023-11-26 Juventus-Inter,ITA-SERIA_A,23-24,5d1039da
85613cf0,Arkadiusz Milik,14,POL,FW,29-271,11,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Juventus,2023-11-26 Juventus-Inter,ITA-SERIA_A,23-24,5d1039da
79443529,Dušan Vlahović,9,SRB,FW,23-302,79,1,0,0,0,1,1,0,0,30,1,0,0,0.3,0.3,0.0,1,1,14,22,63.6,2,15,1,6,4,Juventus,2023-11-26 Juventus-Inter,ITA-SERIA_A,23-24,5d1039da
3d50bcdb,Moise Kean,18,ITA,FW,23-271,11,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,3,0,0,0,Juventus,2023-11-26 Juventus-Inter,ITA-SERIA_A,23-24,5d1039da
8794e251,Adrien Rabiot,25,FRA,CM,28-237,90,0,0,0,0,0,0,0,0,41,2,0,4,0.0,0.0,0.2,2,0,26,28,92.9,2,20,2,3,1,Juventus,2023-11-26 Juventus-Inter,ITA-SERIA_A,23-24,5d1039da
b136c945,Hans Nicolussi Caviglia,41,ITA,CM,23-161,60,0,0,0,0,0,0,0,0,22,1,0,1,0.0,0.0,0.0,0,0,15,19,78.9,0,15,0,2,0,Juventus,2023-11-26 Juventus-Inter,ITA-SERIA_A,23-24,5d1039da
a8a874f1,Manuel Locatelli,5,ITA,CM,25-322,30,0,0,0,0,0,0,0,0,22,0,0,1,0.0,0.0,0.0,0,0,21,22,95.5,6,11,0,0,0,Juventus,2023-11-26 Juventus-Inter,ITA-SERIA_A,23-24,5d1039da
01c3aff5,Weston McKennie,16,USA,CM,25-090,90,0,0,0,0,0,0,0,0,45,3,1,0,0.0,0.0,0.0,0,0,25,37,67.6,0,21,2,1,0,Juventus,2023-11-26 Juventus-Inter,ITA-SERIA_A,23-24,5d1039da
b1cd37e6,Filip Kostić,11,SRB,LB,31-025,88,0,0,0,0,0,0,1,0,43,1,3,1,0.0,0.0,0.0,0,0,27,36,75.0,2,28,3,0,0,Juventus,2023-11-26 Juventus-Inter,ITA-SERIA_A,23-24,5d1039da
