id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
75645f0e,Borja Iglesias,9,ESP,FW,28-061,89,0,0,0,0,4,0,0,0,28,0,0,0,0.4,0.4,0.0,2,0,12,20,60.0,2,24,1,2,1,Real Betis,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
4c5b14d2,Joaquín,17,ESP,FW,39-241,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,3,0,0,0,Real Betis,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
a6de370d,Sergio Canales,10,ESP,LW,30-031,90,0,0,0,0,2,0,0,0,72,0,0,1,0.1,0.1,0.5,7,0,55,62,88.7,7,57,3,1,1,Real Betis,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
bf12926c,Diego Lainez,20,MEX,RW,20-283,65,0,0,0,0,1,0,0,0,38,0,0,0,0.1,0.1,0.1,1,0,20,31,64.5,1,28,2,1,1,Real Betis,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
84399660,Juanmi,7,ESP,RW,27-303,25,1,0,0,0,1,1,0,0,8,0,0,1,0.4,0.4,0.0,0,0,4,5,80.0,0,4,0,1,0,Real Betis,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
bece776f,Nabil Fekir,8,FRA,AM,27-244,90,1,0,0,0,4,3,0,0,59,3,2,1,0.8,0.8,0.1,8,1,39,45,86.7,4,43,3,3,2,Real Betis,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
ef322658,Andrés Guardado,18,MEX,DM,34-172,90,0,0,0,0,1,1,0,0,64,2,4,1,0.0,0.0,0.0,1,0,46,57,80.7,5,49,3,2,2,Real Betis,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
34e393f2,Guido Rodríguez,21,ARG,DM,26-341,65,0,0,0,0,0,0,1,0,56,3,4,2,0.0,0.0,0.0,0,0,36,41,87.8,3,32,0,2,1,Real Betis,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
dee86451,William Carvalho,14,POR,DM,28-346,25,0,0,0,0,0,0,1,0,37,1,0,0,0.0,0.0,0.0,0,0,30,35,85.7,3,32,1,1,1,Real Betis,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
16e9d0ea,Álex Moreno,15,ESP,LB,27-284,90,0,0,0,0,1,0,0,0,62,1,1,3,0.0,0.0,0.0,1,0,37,49,75.5,1,44,5,0,0,Real Betis,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
b3dc6eca,Víctor Ruiz,6,ESP,CB,32-053,90,0,0,0,0,0,0,0,0,75,0,4,2,0.0,0.0,0.0,0,0,58,65,89.2,2,45,0,0,0,Real Betis,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
fbd6378b,Aïssa Mandi,23,ALG,CB,29-148,90,0,1,0,0,1,1,0,0,73,2,3,1,0.5,0.5,0.4,2,2,52,59,88.1,1,40,0,0,0,Real Betis,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
df8b52a5,Emerson,22,BRA,RB,22-064,90,0,0,0,0,0,0,0,0,67,1,2,1,0.0,0.0,0.3,4,0,50,60,83.3,4,32,6,0,0,Real Betis,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
10072610,Claudio Bravo,25,CHI,GK,37-340,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,17,31,54.8,0,21,0,0,0,Real Betis,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
0e5ddc7c,Dani Gómez,21,ESP,FW,22-232,76,0,0,0,0,0,0,0,0,23,0,2,0,0.0,0.0,0.1,1,0,11,14,78.6,0,18,3,4,2,Levante,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
0a0cc13c,Sergio León,7,ESP,FW,32-072,14,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,1,2,0,0,0,Levante,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
0ae4e09a,Roger Martí,9,ESP,FW,30-075,90,0,0,0,0,0,0,0,0,25,1,0,2,0.0,0.0,0.0,3,0,14,18,77.8,1,21,0,0,0,Levante,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
4a478107,José Luis Morales,11,ESP,LM,33-239,76,0,0,0,0,3,1,0,0,36,0,2,0,0.2,0.2,0.1,2,0,20,28,71.4,7,27,2,1,1,Levante,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
037dbd30,Son,2,ESP,"RW,RM",26-354,14,0,0,0,0,0,0,0,0,6,2,0,1,0.0,0.0,0.0,0,0,1,3,33.3,1,4,1,0,0,Levante,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
cac2537b,Enis Bardhi,10,MKD,CM,25-260,90,0,0,0,0,3,0,0,0,63,0,0,1,0.1,0.1,0.3,1,0,40,56,71.4,6,51,2,1,1,Levante,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
4442fbcd,Nikola Vukčević,17,MNE,CM,29-096,76,0,0,0,0,0,0,0,0,35,2,0,1,0.0,0.0,0.0,0,0,25,31,80.6,4,24,0,0,0,Levante,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
bbc19252,Mickael Malsa,12,MTQ,"DM,CM",25-158,14,0,0,0,0,0,0,0,0,15,1,1,0,0.0,0.0,0.0,0,0,9,13,69.2,0,10,1,0,0,Levante,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
38ce1150,Jorge de Frutos,18,ESP,"RM,CM,LM",24-027,90,0,0,0,0,1,0,0,0,37,2,0,2,0.3,0.3,0.1,1,0,17,26,65.4,4,26,1,1,0,Levante,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
33a61a52,Carlos Clerc,19,ESP,"LB,LW",29-026,90,0,0,0,0,0,0,0,0,64,1,0,2,0.0,0.0,0.0,1,0,41,59,69.5,6,35,4,2,1,Levante,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
c67cd65c,Rúben Vezo,14,POR,CB,26-328,90,0,0,0,0,0,0,0,0,66,2,4,2,0.0,0.0,0.0,0,0,47,53,88.7,4,41,0,0,0,Levante,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
c00097d2,Rober,4,ESP,CB,26-031,90,0,0,0,0,0,0,0,0,59,0,4,0,0.0,0.0,0.0,0,0,42,51,82.4,2,35,0,0,0,Levante,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
7f4c7c9f,Jorge Miramón,20,ESP,RB,31-290,82,0,0,0,0,0,0,0,0,54,0,3,1,0.0,0.0,0.0,2,0,31,48,64.6,3,25,6,0,0,Levante,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
aa0ac32d,Óscar Duarte,6,CRC,CB,31-289,8,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,4,0,0,0,Levante,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
a01c3d54,Aitor Fernández,13,ESP,GK,29-320,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,35,41,85.4,0,30,0,0,0,Levante,2021-03-19 Betis-Levante,ESP-LALIGA,20-21,5dc3a9bc
