id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
11ced928,Yaya Sanogo,9,FRA,FW,25-070,90,0,0,0,0,5,1,0,0,28,1,0,0,0.3,0.3,0.0,3,0,8,16,50.0,1,17,1,1,1,Toulouse,2018-04-07 Toulouse-Dijon,FRA-L1,17-18,5e4e7b0e
c5a500ca,Max Gradel,7,CIV,"LM,LW",30-128,90,0,0,0,0,4,1,0,0,76,1,0,1,0.2,0.2,0.2,7,0,30,64,46.9,6,44,10,6,4,Toulouse,2018-04-07 Toulouse-Dijon,FRA-L1,17-18,5e4e7b0e
d33c706e,Andy Delort,10,ALG,"RW,FW",26-180,79,0,0,0,0,3,1,0,0,35,1,0,1,0.2,0.2,0.0,3,0,12,25,48.0,1,22,1,2,1,Toulouse,2018-04-07 Toulouse-Dijon,FRA-L1,17-18,5e4e7b0e
f09a8b75,Jimmy Durmaz,21,SWE,"CM,RM",29-016,11,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,2,7,28.6,1,4,0,0,0,Toulouse,2018-04-07 Toulouse-Dijon,FRA-L1,17-18,5e4e7b0e
c1febb46,Somália,19,BRA,"AM,RM",29-191,63,0,0,0,0,2,0,0,0,33,1,1,2,0.1,0.1,0.1,2,0,17,23,73.9,0,20,0,2,1,Toulouse,2018-04-07 Toulouse-Dijon,FRA-L1,17-18,5e4e7b0e
176674ab,Ndombe Mubele,24,COD,"RM,FW",23-355,27,0,0,0,0,1,1,0,0,18,0,0,0,0.0,0.0,0.0,1,0,8,12,66.7,1,13,2,3,1,Toulouse,2018-04-07 Toulouse-Dijon,FRA-L1,17-18,5e4e7b0e
c69ef855,Alexis Blin,27,FRA,"DM,CM",21-203,86,0,0,0,0,0,0,1,0,42,3,0,0,0.0,0.0,0.0,3,0,25,34,73.5,4,18,0,1,1,Toulouse,2018-04-07 Toulouse-Dijon,FRA-L1,17-18,5e4e7b0e
7d9b37bf,Corentin Jean,8,FRA,RM,22-266,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,2,1,1,1,Toulouse,2018-04-07 Toulouse-Dijon,FRA-L1,17-18,5e4e7b0e
bced0375,Ibrahim Sangaré,17,CIV,"CM,DM",20-126,90,0,0,0,0,1,0,0,0,70,6,2,4,0.0,0.0,0.2,6,0,34,50,68.0,11,34,3,2,2,Toulouse,2018-04-07 Toulouse-Dijon,FRA-L1,17-18,5e4e7b0e
b99bec05,Issiaga Sylla,12,GUI,LB,24-096,90,0,0,0,0,0,0,0,0,74,1,2,2,0.0,0.0,0.0,4,0,44,60,73.3,10,22,2,4,2,Toulouse,2018-04-07 Toulouse-Dijon,FRA-L1,17-18,5e4e7b0e
574aa9ec,Steven Fortes,18,CPV,CB,25-355,90,0,0,0,0,0,0,1,0,55,3,1,0,0.0,0.0,0.0,1,0,33,47,70.2,10,34,2,2,0,Toulouse,2018-04-07 Toulouse-Dijon,FRA-L1,17-18,5e4e7b0e
a712ca2b,Issa Diop,5,FRA,CB,21-088,90,0,0,0,0,0,0,0,0,46,2,1,2,0.0,0.0,0.0,0,0,26,37,70.3,2,24,2,2,2,Toulouse,2018-04-07 Toulouse-Dijon,FRA-L1,17-18,5e4e7b0e
bcc81786,Kelvin Amian,2,FRA,RB,20-058,90,0,0,0,0,3,1,0,0,54,0,1,0,0.1,0.1,0.0,1,0,35,47,74.5,4,23,0,0,0,Toulouse,2018-04-07 Toulouse-Dijon,FRA-L1,17-18,5e4e7b0e
4e7db402,Alban Lafont,40,FRA,GK,19-074,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,25,33,75.8,0,13,0,0,0,Toulouse,2018-04-07 Toulouse-Dijon,FRA-L1,17-18,5e4e7b0e
d520120b,Júlio Tavares,11,CPV,FW,29-139,54,0,0,0,0,1,0,0,0,28,1,0,1,0.0,0.0,0.0,0,0,16,21,76.2,1,8,0,0,0,Dijon,2018-04-07 Toulouse-Dijon,FRA-L1,17-18,5e4e7b0e
2e52206e,Benjamin Jeannot,29,FRA,FW,26-075,36,0,0,0,0,1,0,0,0,19,0,0,0,0.1,0.1,0.0,1,0,11,14,78.6,2,13,1,0,0,Dijon,2018-04-07 Toulouse-Dijon,FRA-L1,17-18,5e4e7b0e
90fcf472,Wesley Saïd,9,FRA,FW,22-353,72,0,0,0,0,2,1,0,0,25,0,1,0,0.2,0.2,0.0,1,1,11,18,61.1,1,13,1,0,0,Dijon,2018-04-07 Toulouse-Dijon,FRA-L1,17-18,5e4e7b0e
