id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
e7986081,Moussa Dembélé,9,FRA,FW,25-276,90,0,0,0,0,4,1,0,0,32,1,0,1,0.3,0.3,0.7,2,0,18,20,90.0,1,22,1,2,1,Lyon,2022-04-14 Lyon-West Ham,UEL,21-22,5ede2e41
5ceba7fc,Karl Toko Ekambi,7,CMR,"LW,FW",29-212,90,0,0,0,0,4,1,0,0,44,1,0,0,0.5,0.5,0.1,3,0,25,32,78.1,5,41,3,1,0,Lyon,2022-04-14 Lyon-West Ham,UEL,21-22,5ede2e41
745ca0a3,Romain Faivre,15,FRA,RW,23-274,45,0,0,0,0,0,0,0,0,27,3,0,1,0.0,0.0,0.0,1,0,15,21,71.4,2,22,1,3,1,Lyon,2022-04-14 Lyon-West Ham,UEL,21-22,5ede2e41
7120a04d,Tetê,20,BRA,"RW,LM",22-058,45,0,0,0,0,3,0,0,0,33,0,0,2,0.1,0.1,0.1,2,0,15,25,60.0,2,20,1,0,0,Lyon,2022-04-14 Lyon-West Ham,UEL,21-22,5ede2e41
a5db0bec,Houssem Aouar,8,ALG,"AM,LM",23-288,70,0,0,0,0,1,0,0,0,43,0,0,0,0.7,0.7,0.1,4,0,37,40,92.5,8,36,2,0,0,Lyon,2022-04-14 Lyon-West Ham,UEL,21-22,5ede2e41
a0d55a09,Bradley Barcola,26,FRA,RM,19-224,20,0,0,0,0,1,0,1,0,11,1,0,0,0.1,0.1,0.0,2,0,5,7,71.4,0,9,2,0,0,Lyon,2022-04-14 Lyon-West Ham,UEL,21-22,5ede2e41
5cdddffa,Tanguy Ndombele,28,FRA,DM,25-107,45,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,24,27,88.9,2,23,0,0,0,Lyon,2022-04-14 Lyon-West Ham,UEL,21-22,5ede2e41
9b6f7fd5,Lucas Paquetá,10,BRA,"RM,CM",24-230,45,0,0,0,0,0,0,0,0,47,0,1,0,0.0,0.0,0.0,3,0,35,42,83.3,5,40,3,1,1,Lyon,2022-04-14 Lyon-West Ham,UEL,21-22,5ede2e41
c6e5d20f,Thiago Mendes,23,BRA,"DM,CM,CB",30-030,90,0,0,0,0,1,0,0,0,75,3,2,2,0.0,0.0,0.0,3,0,55,67,82.1,7,63,0,1,0,Lyon,2022-04-14 Lyon-West Ham,UEL,21-22,5ede2e41
