id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
e8ed3abc,Stanislav Tecl,11,CZE,FW,28-019,90,0,0,0,0,1,0,0,0,28,2,0,0,0.0,0.0,0.0,3,0,9,14,64.3,0,22,3,2,0,Slavia Prague,2018-09-20 Slavia Prague-Bordeaux,UEL,18-19,6246bdaa
cbec1196,Jaromír Zmrhal,8,CZE,LW,25-049,82,1,0,0,0,2,2,0,0,37,1,0,0,0.4,0.4,0.1,2,0,16,27,59.3,5,24,0,1,0,Slavia Prague,2018-09-20 Slavia Prague-Bordeaux,UEL,18-19,6246bdaa
ceb30355,Michal Frydrych,25,CZE,LW,28-205,8,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,1,0,0,0,Slavia Prague,2018-09-20 Slavia Prague-Bordeaux,UEL,18-19,6246bdaa
ae0f7da7,Miroslav Stoch,17,SVK,RW,28-336,78,0,0,0,0,2,0,0,0,38,0,1,0,0.1,0.1,0.4,6,0,28,35,80.0,4,14,0,0,0,Slavia Prague,2018-09-20 Slavia Prague-Bordeaux,UEL,18-19,6246bdaa
baa82726,Alexandru Băluță,20,ROU,RW,25-007,12,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,5,6,83.3,2,6,1,1,1,Slavia Prague,2018-09-20 Slavia Prague-Bordeaux,UEL,18-19,6246bdaa
4c5e78da,Ibrahim Traoré,27,CIV,AM,30-004,89,0,0,0,0,2,1,0,0,40,1,1,2,0.2,0.2,0.1,4,0,22,33,66.7,3,21,4,0,0,Slavia Prague,2018-09-20 Slavia Prague-Bordeaux,UEL,18-19,6246bdaa
781cff03,Jan Matoušek,16,CZE,AM,20-134,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Slavia Prague,2018-09-20 Slavia Prague-Bordeaux,UEL,18-19,6246bdaa
3d68d631,Josef Hušbauer,10,CZE,DM,28-188,90,0,1,0,0,4,0,0,0,47,4,0,1,0.2,0.2,0.2,6,1,23,34,67.6,2,29,2,1,1,Slavia Prague,2018-09-20 Slavia Prague-Bordeaux,UEL,18-19,6246bdaa
6613c819,Tomáš Souček,22,CZE,DM,23-205,90,0,0,0,0,1,1,0,0,73,5,2,1,0.3,0.3,0.0,4,0,49,60,81.7,6,43,4,0,0,Slavia Prague,2018-09-20 Slavia Prague-Bordeaux,UEL,18-19,6246bdaa
