id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
38699c72,Anthony Lozano,15,HON,FW,30-362,68,1,0,0,0,5,2,0,0,18,0,0,1,0.8,0.8,0.1,2,0,6,7,85.7,1,9,0,1,0,Almería,2024-04-21 Almería-Villarreal,ESP-LALIGA,23-24,635dcbf9
cc9256ef,Largie Ramazani,7,BEL,RW,23-054,18,0,0,0,0,1,0,2,1,4,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,3,2,2,2,Almería,2024-04-21 Almería-Villarreal,ESP-LALIGA,23-24,635dcbf9
db8f0eba,Adri Embarba,10,ESP,LW,31-350,84,0,0,0,0,1,0,0,0,40,1,0,1,0.0,0.0,0.2,5,0,24,30,80.0,1,22,2,2,1,Almería,2024-04-21 Almería-Villarreal,ESP-LALIGA,23-24,635dcbf9
ca6edaa0,Luka Romero,38,ARG,LW,19-155,6,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,7,7,100.0,0,5,1,1,1,Almería,2024-04-21 Almería-Villarreal,ESP-LALIGA,23-24,635dcbf9
35f6db55,Léo Baptistão,12,BRA,"RW,FW",31-239,90,0,0,0,0,3,0,0,0,52,0,1,2,0.2,0.2,0.0,3,0,27,40,67.5,3,27,4,2,1,Almería,2024-04-21 Almería-Villarreal,ESP-LALIGA,23-24,635dcbf9
efa708aa,Jonathan Viera,8,ESP,AM,34-183,75,0,0,0,0,4,1,1,0,60,1,1,1,0.4,0.4,0.6,11,1,46,52,88.5,11,44,4,2,2,Almería,2024-04-21 Almería-Villarreal,ESP-LALIGA,23-24,635dcbf9
1e465e70,Sergio Arribas,19,ESP,AM,22-204,15,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,1,8,0,1,1,Almería,2024-04-21 Almería-Villarreal,ESP-LALIGA,23-24,635dcbf9
64c14d49,Dion Lopy,6,SEN,DM,22-079,67,0,0,0,0,3,1,0,0,44,0,0,0,0.1,0.1,0.0,3,1,36,37,97.3,4,29,0,2,1,Almería,2024-04-21 Almería-Villarreal,ESP-LALIGA,23-24,635dcbf9
736c14ec,Marcos Peña,26,ESP,DM,19-090,23,0,0,0,0,1,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,2,5,0,0,0,Almería,2024-04-21 Almería-Villarreal,ESP-LALIGA,23-24,635dcbf9
