id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
b70afb45,Thijs Dallinga,27,NED,FW,22-193,77,1,0,0,0,2,1,0,0,21,1,0,0,0.3,0.3,0.0,0,0,5,14,35.7,0,8,0,0,0,Toulouse,2023-02-12 Toulouse-Rennes,FRA-L1,22-23,65d07eec
ff4df82e,Ado Onaiwu,7,JPN,FW,27-096,13,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,5,0,1,1,Toulouse,2023-02-12 Toulouse-Rennes,FRA-L1,22-23,65d07eec
40ef7347,Rafael Ratão,21,BRA,LW,27-074,82,1,0,0,0,1,1,0,0,34,4,1,3,0.2,0.2,0.3,2,0,15,20,75.0,3,25,3,4,3,Toulouse,2023-02-12 Toulouse-Rennes,FRA-L1,22-23,65d07eec
636247ca,Veljko Birmančević,19,SRB,LW,24-344,8,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,Toulouse,2023-02-12 Toulouse-Rennes,FRA-L1,22-23,65d07eec
c2a6033c,Zakaria Aboukhlal,6,MAR,RW,22-359,90,1,1,0,0,4,1,0,0,49,1,2,2,1.2,1.2,0.4,6,1,22,29,75.9,6,40,4,6,2,Toulouse,2023-02-12 Toulouse-Rennes,FRA-L1,22-23,65d07eec
357103bd,Fares Chaïbi,28,ALG,LM,20-076,62,0,0,0,0,3,3,0,0,29,0,0,0,0.2,0.2,0.0,2,2,13,19,68.4,1,18,2,1,0,Toulouse,2023-02-12 Toulouse-Rennes,FRA-L1,22-23,65d07eec
badcdcae,Denis Genreau,5,AUS,"RM,LM",23-267,28,0,0,0,0,2,1,0,0,17,4,1,1,0.3,0.3,0.0,1,0,7,8,87.5,0,12,0,4,2,Toulouse,2023-02-12 Toulouse-Rennes,FRA-L1,22-23,65d07eec
a08985b8,Stijn Spierings,17,NED,CM,26-337,90,0,0,0,0,0,0,0,0,42,2,2,2,0.0,0.0,0.0,1,0,27,32,84.4,5,28,0,1,0,Toulouse,2023-02-12 Toulouse-Rennes,FRA-L1,22-23,65d07eec
4ca4f601,Brecht Dejaegere,10,BEL,RM,31-259,77,0,0,0,0,1,0,0,0,39,5,0,2,0.1,0.1,0.1,4,0,15,19,78.9,4,23,0,6,4,Toulouse,2023-02-12 Toulouse-Rennes,FRA-L1,22-23,65d07eec
698f11e3,Moussa Diarra,23,MLI,LM,22-094,13,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.1,1,0,1,2,50.0,1,1,0,0,0,Toulouse,2023-02-12 Toulouse-Rennes,FRA-L1,22-23,65d07eec
39b326ed,Gabriel Suazo,15,CHI,LB,25-187,90,0,0,0,0,0,0,0,0,50,7,2,0,0.0,0.0,0.0,1,0,24,32,75.0,0,25,0,5,4,Toulouse,2023-02-12 Toulouse-Rennes,FRA-L1,22-23,65d07eec
3f319bb9,Rasmus Nicolaisen,2,DEN,CB,25-333,90,0,0,0,0,0,0,0,0,40,3,1,0,0.0,0.0,0.0,0,0,23,26,88.5,1,22,0,0,0,Toulouse,2023-02-12 Toulouse-Rennes,FRA-L1,22-23,65d07eec
