id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
b561db50,Raúl Jiménez,9,MEX,FW,29-093,90,1,0,1,1,2,0,1,0,52,1,0,1,0.9,0.1,0.1,2,0,29,39,74.4,3,42,1,5,3,Wolverhampton Wanderers,2020-08-06 Wolves-Olympiacos,UEL,19-20,6681ecf6
7fcc71d8,Daniel Podence,10,POR,LW,24-290,70,0,0,0,0,1,1,1,0,27,3,1,1,0.1,0.1,0.1,3,1,14,20,70.0,3,22,3,0,0,Wolverhampton Wanderers,2020-08-06 Wolves-Olympiacos,UEL,19-20,6681ecf6
5a7301ae,Leander Dendoncker,32,BEL,RW,25-113,20,0,0,0,0,0,0,0,0,16,3,1,2,0.0,0.0,0.0,1,0,5,10,50.0,0,7,0,0,0,Wolverhampton Wanderers,2020-08-06 Wolves-Olympiacos,UEL,19-20,6681ecf6
9a28eba4,Adama Traoré,37,ESP,RW,24-194,56,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.0,2,0,9,14,64.3,0,20,2,3,1,Wolverhampton Wanderers,2020-08-06 Wolves-Olympiacos,UEL,19-20,6681ecf6
178ae8f8,Diogo Jota,18,POR,"LW,RW",23-246,34,0,0,0,0,2,1,0,0,11,0,1,0,0.4,0.4,0.0,1,0,3,6,50.0,0,9,1,0,0,Wolverhampton Wanderers,2020-08-06 Wolves-Olympiacos,UEL,19-20,6681ecf6
e28868f3,Jonny Castro,19,ESP,LM,26-156,16,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,5,6,83.3,0,2,0,0,0,Wolverhampton Wanderers,2020-08-06 Wolves-Olympiacos,UEL,19-20,6681ecf6
b937e490,Rúben Vinagre,29,POR,LM,21-119,74,0,0,0,0,0,0,0,0,28,1,1,0,0.0,0.0,0.0,0,0,13,17,76.5,0,8,1,1,0,Wolverhampton Wanderers,2020-08-06 Wolves-Olympiacos,UEL,19-20,6681ecf6
f5a00fa4,João Moutinho,28,POR,CM,33-333,90,0,0,0,0,1,0,1,0,38,1,1,1,0.0,0.0,0.0,2,0,20,33,60.6,4,18,1,0,0,Wolverhampton Wanderers,2020-08-06 Wolves-Olympiacos,UEL,19-20,6681ecf6
44bfb6c5,Rúben Neves,8,POR,CM,23-146,90,0,0,0,0,4,1,0,0,43,0,2,2,0.2,0.2,0.1,3,0,29,34,85.3,5,25,1,0,0,Wolverhampton Wanderers,2020-08-06 Wolves-Olympiacos,UEL,19-20,6681ecf6
d557d734,Matt Doherty,2,IRL,RM,28-203,90,0,0,0,0,0,0,0,0,67,4,0,1,0.0,0.0,0.0,1,0,40,54,74.1,4,29,1,1,0,Wolverhampton Wanderers,2020-08-06 Wolves-Olympiacos,UEL,19-20,6681ecf6
9fbbcf39,Romain Saïss,27,MAR,CB,30-133,90,0,0,0,0,0,0,0,0,31,0,2,1,0.0,0.0,0.0,1,0,18,25,72.0,1,12,0,0,0,Wolverhampton Wanderers,2020-08-06 Wolves-Olympiacos,UEL,19-20,6681ecf6
2928dca2,Conor Coady,16,ENG,CB,27-163,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,18,24,75.0,1,16,0,0,0,Wolverhampton Wanderers,2020-08-06 Wolves-Olympiacos,UEL,19-20,6681ecf6
a4ac4b8f,Willy Boly,15,CIV,CB,29-185,90,0,0,0,0,1,0,0,0,37,1,1,0,0.6,0.6,0.0,1,0,20,27,74.1,2,17,0,0,0,Wolverhampton Wanderers,2020-08-06 Wolves-Olympiacos,UEL,19-20,6681ecf6
79b0d6a0,Rui Patrício,11,POR,GK,32-173,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,16,30,53.3,0,13,0,0,0,Wolverhampton Wanderers,2020-08-06 Wolves-Olympiacos,UEL,19-20,6681ecf6
c63f6e46,Youssef El-Arabi,11,MAR,FW,33-185,90,0,0,0,0,4,1,0,0,23,0,0,0,0.3,0.3,0.0,0,0,10,15,66.7,0,11,0,0,0,Olympiacos,2020-08-06 Wolves-Olympiacos,UEL,19-20,6681ecf6
