id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
31822f8c,Folarin Balogun,29,USA,FW,22-089,82,1,1,0,0,2,2,0,0,27,1,1,0,0.5,0.5,0.3,5,1,15,17,88.2,2,22,2,2,2,Monaco,2023-09-30 Monaco-Marseille,FRA-L1,23-24,680c833b
5b479568,Myron Boadu,9,NED,FW,22-259,8,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,3,7,42.9,1,6,1,0,0,Monaco,2023-09-30 Monaco-Marseille,FRA-L1,23-24,680c833b
942b4f90,Wissam Ben Yedder,10,FRA,FW,33-049,90,0,0,0,0,1,1,0,0,33,0,0,0,0.1,0.1,0.0,2,1,21,30,70.0,4,31,1,1,0,Monaco,2023-09-30 Monaco-Marseille,FRA-L1,23-24,680c833b
b625b241,Maghnes Akliouche,21,FRA,AM,21-217,74,2,1,0,0,3,3,0,0,26,1,1,0,0.3,0.3,0.1,2,1,16,18,88.9,3,22,0,1,1,Monaco,2023-09-30 Monaco-Marseille,FRA-L1,23-24,680c833b
15944afd,Eliot Matazo,8,BEL,AM,21-227,16,0,0,0,0,0,0,1,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,3,0,0,0,Monaco,2023-09-30 Monaco-Marseille,FRA-L1,23-24,680c833b
384d58d9,Denis Zakaria,6,SUI,CM,26-314,89,0,0,0,0,0,0,1,0,44,3,2,1,0.0,0.0,0.0,2,0,31,32,96.9,5,29,1,1,0,Monaco,2023-09-30 Monaco-Marseille,FRA-L1,23-24,680c833b
489e80e3,Mohamed Camara,4,MLI,CM,23-267,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Monaco,2023-09-30 Monaco-Marseille,FRA-L1,23-24,680c833b
822d51d7,Youssouf Fofana,19,FRA,CM,24-263,90,0,0,0,0,1,0,1,0,60,4,3,2,0.0,0.0,0.0,1,0,38,48,79.2,3,44,0,3,2,Monaco,2023-09-30 Monaco-Marseille,FRA-L1,23-24,680c833b
a0415710,Ismail Jakobs,14,SEN,WB,24-044,74,0,0,0,0,1,0,0,0,50,0,2,1,0.0,0.0,0.0,2,2,20,40,50.0,0,29,1,0,0,Monaco,2023-09-30 Monaco-Marseille,FRA-L1,23-24,680c833b
8104e41e,Krépin Diatta,27,SEN,WB,24-217,16,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.0,0,0,14,19,73.7,2,14,0,0,0,Monaco,2023-09-30 Monaco-Marseille,FRA-L1,23-24,680c833b
ee45fd85,Vanderson,2,BRA,WB,22-101,90,0,0,0,0,1,1,0,0,59,3,1,1,0.1,0.1,0.3,4,0,36,48,75.0,6,32,1,2,1,Monaco,2023-09-30 Monaco-Marseille,FRA-L1,23-24,680c833b
dfc5d4fa,Soungoutou Magassa,88,FRA,CB,19-357,90,0,0,0,0,0,0,1,0,57,3,0,2,0.0,0.0,0.0,1,1,34,43,79.1,4,37,0,1,1,Monaco,2023-09-30 Monaco-Marseille,FRA-L1,23-24,680c833b
d9764034,Guillermo Maripán,3,CHI,CB,29-147,90,0,0,0,0,1,0,0,0,75,1,4,3,0.1,0.1,0.0,0,0,50,61,82.0,5,49,0,0,0,Monaco,2023-09-30 Monaco-Marseille,FRA-L1,23-24,680c833b
8b609c34,Wilfried Singo,99,CIV,CB,22-279,90,0,0,0,0,0,0,0,0,55,1,3,1,0.0,0.0,0.0,0,0,31,45,68.9,2,38,1,3,3,Monaco,2023-09-30 Monaco-Marseille,FRA-L1,23-24,680c833b
ff74841d,Philipp Köhn,16,SUI,GK,25-181,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,23,33,69.7,0,22,0,0,0,Monaco,2023-09-30 Monaco-Marseille,FRA-L1,23-24,680c833b
d5dd5f1f,Pierre-Emerick Aubameyang,10,GAB,FW,34-104,90,0,1,0,0,1,1,0,0,36,1,0,2,0.0,0.0,0.6,1,1,18,29,62.1,1,26,1,2,0,Marseille,2023-09-30 Monaco-Marseille,FRA-L1,23-24,680c833b
45b9b619,Joaquín Correa,20,ARG,LW,29-048,74,0,0,0,0,0,0,1,0,32,0,0,0,0.0,0.0,0.0,0,0,23,28,82.1,4,27,0,1,0,Marseille,2023-09-30 Monaco-Marseille,FRA-L1,23-24,680c833b
