id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
91cd37b7,Haji Wright,40,USA,FW,20-267,53,1,0,0,0,1,1,0,0,9,0,0,0,0.4,0.4,0.0,0,0,4,6,66.7,0,6,1,3,2,Schalke 04,2018-12-19 Schalke 04-Leverkusen,GER-BL1,18-19,68be633d
58ce23e5,Steven Skrzybski,22,GER,FW,26-031,37,0,0,0,0,2,0,0,0,11,0,0,0,0.4,0.4,0.3,1,0,4,6,66.7,1,11,1,2,2,Schalke 04,2018-12-19 Schalke 04-Leverkusen,GER-BL1,18-19,68be633d
01c3aff5,Weston McKennie,2,USA,FW,20-113,90,0,1,0,0,4,1,1,0,43,2,0,0,0.3,0.3,0.4,4,1,18,31,58.1,3,17,3,3,3,Schalke 04,2018-12-19 Schalke 04-Leverkusen,GER-BL1,18-19,68be633d
e7d59f4f,Amine Harit,25,MAR,"LM,RM",21-184,90,0,0,0,0,0,0,1,0,38,2,1,0,0.0,0.0,0.0,4,0,26,33,78.8,2,26,5,1,0,Schalke 04,2018-12-19 Schalke 04-Leverkusen,GER-BL1,18-19,68be633d
3189f61a,Nabil Bentaleb,10,ALG,CM,24-025,53,0,0,0,0,1,0,0,0,49,2,3,0,0.0,0.0,0.0,0,0,33,42,78.6,3,27,2,2,2,Schalke 04,2018-12-19 Schalke 04-Leverkusen,GER-BL1,18-19,68be633d
b3325a30,Suat Serdar,8,GER,CM,21-252,37,0,0,0,0,1,0,1,0,30,4,1,2,0.0,0.0,0.0,1,0,12,15,80.0,3,18,2,3,1,Schalke 04,2018-12-19 Schalke 04-Leverkusen,GER-BL1,18-19,68be633d
5939baa2,Benjamin Stambouli,17,FRA,CM,28-128,90,0,0,0,0,1,0,1,0,83,4,3,4,0.0,0.0,0.0,2,0,52,68,76.5,14,54,3,4,3,Schalke 04,2018-12-19 Schalke 04-Leverkusen,GER-BL1,18-19,68be633d
106bca06,Alessandro Schöpf,28,AUT,RM,24-315,70,0,0,0,0,2,1,0,0,51,1,0,1,0.1,0.1,0.4,5,0,37,41,90.2,5,36,3,1,1,Schalke 04,2018-12-19 Schalke 04-Leverkusen,GER-BL1,18-19,68be633d
d9a5d930,Yevhen Konoplyanka,11,UKR,LM,29-081,20,0,0,0,0,2,0,0,0,13,0,0,0,0.4,0.4,0.1,2,0,8,10,80.0,1,7,2,1,1,Schalke 04,2018-12-19 Schalke 04-Leverkusen,GER-BL1,18-19,68be633d
d1661819,Bastian Oczipka,24,GER,LB,29-341,90,0,0,0,0,0,0,0,0,82,2,3,0,0.0,0.0,0.1,4,0,53,74,71.6,4,37,4,4,2,Schalke 04,2018-12-19 Schalke 04-Leverkusen,GER-BL1,18-19,68be633d
