id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
397ba086,Grejohn Kyei,95,FRA,FW,27-138,69,0,0,0,0,1,0,0,0,18,0,1,0,0.0,0.0,0.0,0,0,9,12,75.0,1,12,1,3,1,Clermont Foot,2022-12-28 Clermont Foot-Lille,FRA-L1,22-23,6a0bd1ac
af3ddb2e,Komnen Andrić,9,SRB,FW,27-180,21,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.1,2,0,5,8,62.5,1,7,0,0,0,Clermont Foot,2022-12-28 Clermont Foot-Lille,FRA-L1,22-23,6a0bd1ac
25749008,Elba Rashani,18,KVX,AM,29-233,87,0,0,0,0,2,0,0,0,32,0,0,0,0.3,0.3,0.2,2,0,14,20,70.0,2,21,3,1,0,Clermont Foot,2022-12-28 Clermont Foot-Lille,FRA-L1,22-23,6a0bd1ac
a1dbfcb1,Jodel Dossou,20,BEN,AM,30-286,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,2,3,0,1,0,Clermont Foot,2022-12-28 Clermont Foot-Lille,FRA-L1,22-23,6a0bd1ac
796b1c41,Saîf-Eddine Khaoui,10,TUN,AM,27-245,69,0,0,0,0,1,0,0,0,24,1,0,0,0.0,0.0,0.3,3,0,10,16,62.5,1,16,0,3,0,Clermont Foot,2022-12-28 Clermont Foot-Lille,FRA-L1,22-23,6a0bd1ac
f527a32c,Muhammed Cham,70,AUT,AM,22-093,21,0,0,0,0,2,0,0,0,16,1,0,0,0.3,0.3,0.0,2,0,9,12,75.0,0,13,0,0,0,Clermont Foot,2022-12-28 Clermont Foot-Lille,FRA-L1,22-23,6a0bd1ac
868eaba0,Johan Gastien,25,FRA,CM,34-337,81,0,0,0,0,0,0,1,0,57,2,3,2,0.0,0.0,0.0,0,0,32,43,74.4,3,38,1,2,0,Clermont Foot,2022-12-28 Clermont Foot-Lille,FRA-L1,22-23,6a0bd1ac
b8c1de25,Maxime Gonalons,12,FRA,CM,33-293,9,0,0,0,0,0,0,0,0,7,0,1,0,0.0,0.0,0.0,0,0,7,7,100.0,2,5,0,0,0,Clermont Foot,2022-12-28 Clermont Foot-Lille,FRA-L1,22-23,6a0bd1ac
caa7aaea,Yohann Magnin,7,FRA,CM,25-190,90,0,0,0,0,0,0,0,0,52,4,1,4,0.0,0.0,0.0,1,0,25,37,67.6,1,28,0,2,0,Clermont Foot,2022-12-28 Clermont Foot-Lille,FRA-L1,22-23,6a0bd1ac
