id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
5eae500a,Romelu Lukaku,9,BEL,FW,25-332,67,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,2,0,15,19,78.9,1,13,2,0,0,Manchester United,2019-04-10 Manchester Utd-Barcelona,UCL,18-19,6aa43ab6
8b788c01,Anthony Martial,11,FRA,FW,23-126,23,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,7,1,1,1,Manchester United,2019-04-10 Manchester Utd-Barcelona,UCL,18-19,6aa43ab6
a1d5bd30,Marcus Rashford,10,ENG,FW,21-161,84,0,0,0,0,4,0,0,0,32,0,1,1,0.2,0.2,0.1,2,0,15,19,78.9,2,16,0,2,1,Manchester United,2019-04-10 Manchester Utd-Barcelona,UCL,18-19,6aa43ab6
6639e500,Andreas Pereira,15,BRA,LB,23-099,6,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,6,7,85.7,0,6,0,0,0,Manchester United,2019-04-10 Manchester Utd-Barcelona,UCL,18-19,6aa43ab6
867239d3,Paul Pogba,6,FRA,"CM,LM",26-026,90,0,0,0,0,0,0,0,0,51,0,0,2,0.0,0.0,0.1,5,0,37,43,86.0,3,31,0,0,0,Manchester United,2019-04-10 Manchester Utd-Barcelona,UCL,18-19,6aa43ab6
b853e0ad,Fred,17,BRA,CM,26-036,90,0,0,0,0,3,0,0,0,88,2,0,3,0.1,0.1,0.0,1,0,64,74,86.5,10,51,0,1,0,Manchester United,2019-04-10 Manchester Utd-Barcelona,UCL,18-19,6aa43ab6
d93c2511,Scott McTominay,39,SCO,"CM,RM",22-123,90,0,0,0,0,0,0,0,0,42,1,2,2,0.0,0.0,0.0,3,0,26,32,81.3,5,24,0,5,4,Manchester United,2019-04-10 Manchester Utd-Barcelona,UCL,18-19,6aa43ab6
d9565625,Diogo Dalot,20,POR,WB,20-023,73,0,0,0,0,1,0,0,0,46,2,1,1,0.1,0.1,0.0,0,0,27,35,77.1,1,24,2,5,2,Manchester United,2019-04-10 Manchester Utd-Barcelona,UCL,18-19,6aa43ab6
810e3c74,Jesse Lingard,14,ENG,"AM,FW",26-116,17,0,0,0,0,0,0,1,0,3,0,0,1,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,Manchester United,2019-04-10 Manchester Utd-Barcelona,UCL,18-19,6aa43ab6
be927d03,Ashley Young,18,ENG,"WB,RB",33-275,90,0,0,0,0,1,0,0,0,79,3,1,0,0.0,0.0,0.0,0,0,41,67,61.2,4,41,5,1,0,Manchester United,2019-04-10 Manchester Utd-Barcelona,UCL,18-19,6aa43ab6
9c94165b,Luke Shaw,23,ENG,"CB,LB",23-272,90,0,0,0,0,0,0,1,0,48,4,0,1,0.0,0.0,0.0,0,0,38,42,90.5,1,21,4,1,1,Manchester United,2019-04-10 Manchester Utd-Barcelona,UCL,18-19,6aa43ab6
b6964eb6,Chris Smalling,12,ENG,CB,29-139,90,0,0,0,0,1,0,1,0,40,3,2,0,0.0,0.0,0.0,0,0,22,29,75.9,2,13,0,0,0,Manchester United,2019-04-10 Manchester Utd-Barcelona,UCL,18-19,6aa43ab6
f5deef4c,Victor Lindelöf,2,SWE,CB,24-267,90,0,0,0,0,0,0,0,0,46,0,2,1,0.0,0.0,0.0,0,0,33,39,84.6,1,28,1,0,0,Manchester United,2019-04-10 Manchester Utd-Barcelona,UCL,18-19,6aa43ab6
7ba6d84e,David de Gea,1,ESP,GK,28-154,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,21,23,91.3,0,11,0,0,0,Manchester United,2019-04-10 Manchester Utd-Barcelona,UCL,18-19,6aa43ab6
a6154613,Luis Suárez,9,URU,FW,32-076,90,0,0,0,0,3,0,0,0,56,1,0,0,0.9,0.9,0.1,1,0,34,38,89.5,3,28,1,4,0,Barcelona,2019-04-10 Manchester Utd-Barcelona,UCL,18-19,6aa43ab6
0ef89a37,Philippe Coutinho,7,BRA,LW,26-302,64,0,0,0,0,1,1,0,0,53,0,0,0,0.1,0.1,0.1,1,0,42,48,87.5,3,35,1,2,1,Barcelona,2019-04-10 Manchester Utd-Barcelona,UCL,18-19,6aa43ab6
67cdbc0e,Arturo Vidal,22,CHI,LM,31-323,26,0,0,0,0,0,0,1,0,36,0,0,0,0.0,0.0,0.0,0,0,33,35,94.3,4,15,0,0,0,Barcelona,2019-04-10 Manchester Utd-Barcelona,UCL,18-19,6aa43ab6
