id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8f3565b3,Ante Budimir,17,CRO,FW,29-162,12,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,1,4,25.0,0,1,0,0,0,Osasuna,2020-12-31 Osasuna-Alavés,ESP-LALIGA,20-21,6af627e0
a4995f48,Sergio Herrera,1,ESP,GK,27-209,78,0,0,0,0,0,0,1,0,32,0,0,0,0.0,0.0,0.0,0,0,13,29,44.8,0,12,0,0,0,Osasuna,2020-12-31 Osasuna-Alavés,ESP-LALIGA,20-21,6af627e0
6922f806,Jonathan Calleri,16,ARG,FW,27-099,45,0,0,0,0,0,0,1,0,17,0,0,1,0.0,0.0,0.0,1,0,4,10,40.0,0,7,0,1,0,Osasuna,2020-12-31 Osasuna-Alavés,ESP-LALIGA,20-21,6af627e0
82e9b89d,Enric Gallego,19,ESP,FW,34-110,45,0,1,0,0,0,0,0,0,19,2,0,1,0.0,0.0,0.1,1,1,7,13,53.8,1,10,1,1,0,Osasuna,2020-12-31 Osasuna-Alavés,ESP-LALIGA,20-21,6af627e0
5c96b017,Rubén García,14,ESP,LM,27-170,88,0,0,0,0,2,1,0,0,40,1,0,1,0.1,0.1,0.0,1,0,17,34,50.0,1,22,1,0,0,Osasuna,2020-12-31 Osasuna-Alavés,ESP-LALIGA,20-21,6af627e0
aad53e64,Kike Barja,11,ESP,LM,23-274,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,1,1,0,0,Osasuna,2020-12-31 Osasuna-Alavés,ESP-LALIGA,20-21,6af627e0
466824fb,Oier Sanjurjo,6,ESP,CM,34-220,90,0,0,0,0,1,1,1,0,36,1,5,1,0.0,0.0,0.0,5,1,13,24,54.2,1,8,0,0,0,Osasuna,2020-12-31 Osasuna-Alavés,ESP-LALIGA,20-21,6af627e0
9939e168,Jon Moncayola,27,ESP,CM,22-232,89,0,0,0,0,2,0,0,0,41,3,1,3,0.0,0.0,0.0,3,0,20,29,69.0,2,15,1,3,2,Osasuna,2020-12-31 Osasuna-Alavés,ESP-LALIGA,20-21,6af627e0
3672b352,Javi Martínez,28,ESP,CM,21-009,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Osasuna,2020-12-31 Osasuna-Alavés,ESP-LALIGA,20-21,6af627e0
d733aa38,Roberto Torres,10,ESP,RM,31-299,88,1,0,0,0,1,1,0,0,39,1,1,0,0.1,0.1,0.0,2,0,18,33,54.5,5,24,1,2,1,Osasuna,2020-12-31 Osasuna-Alavés,ESP-LALIGA,20-21,6af627e0
