id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
028e70b9,Joshua Zirkzee,9,NED,FW,22-257,90,0,1,0,0,4,0,0,0,61,0,0,0,0.3,0.3,0.3,6,1,35,44,79.5,5,34,1,5,2,Bologna,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
2d9d9e42,Kacper Urbanski,82,POL,LW,19-149,57,0,0,0,0,1,0,0,0,32,2,0,0,0.0,0.0,0.0,4,0,21,27,77.8,1,15,0,2,1,Bologna,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
ee251371,Alexis Saelemaekers,56,BEL,LW,24-221,33,1,0,0,0,4,1,0,0,30,0,0,1,0.3,0.3,0.0,8,2,22,25,88.0,3,20,1,3,2,Bologna,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
f97f9188,Giovanni Fabbian,80,ITA,"RW,RM",21-020,81,1,0,0,0,1,1,0,0,44,1,1,2,0.1,0.1,0.0,1,0,19,26,73.1,0,25,1,5,2,Bologna,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
ff579c7e,Nikola Moro,6,CRO,RM,25-328,9,0,0,0,0,0,0,0,0,8,0,1,1,0.0,0.0,0.0,0,0,4,6,66.7,0,5,0,0,0,Bologna,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
ee64a822,Lewis Ferguson,19,SCO,LM,24-163,90,1,0,0,0,2,1,0,0,85,0,1,0,0.1,0.1,0.1,6,1,64,74,86.5,11,59,4,3,1,Bologna,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
98d2c2c4,Remo Freuler,8,SUI,CM,31-294,90,0,0,0,0,0,0,0,0,80,2,1,0,0.0,0.0,0.0,1,1,66,72,91.7,7,42,1,0,0,Bologna,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
f9c927de,Michel Aebischer,20,SUI,RM,27-028,57,0,0,0,0,1,0,1,0,51,2,1,0,0.0,0.0,0.0,1,0,38,44,86.4,6,37,1,2,2,Bologna,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
e14ec482,Riccardo Orsolini,7,ITA,RW,27-010,33,0,0,0,0,3,0,0,0,29,1,0,0,0.2,0.2,0.0,0,0,15,22,68.2,2,19,1,2,0,Bologna,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
505486d6,Victor Bernth Kristiansen,15,DEN,LB,21-049,81,0,1,0,0,0,0,0,0,90,0,0,1,0.0,0.0,0.1,2,1,73,87,83.9,6,58,0,0,0,Bologna,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
5efc5389,Charalambos Lykogiannis,22,GRE,LB,30-104,9,0,0,0,0,1,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,2,0,0,0,Bologna,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
aded8e6f,Riccardo Calafiori,33,ITA,CB,21-260,90,0,0,0,0,2,0,0,0,129,1,2,3,0.1,0.1,0.0,3,0,105,118,89.0,9,83,0,2,2,Bologna,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
de13cee5,Sam Beukema,31,NED,CB,25-078,90,0,0,0,0,0,0,0,0,88,0,0,3,0.0,0.0,0.0,0,0,74,83,89.2,2,59,1,0,0,Bologna,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
7f609bfc,Stefan Posch,3,AUT,RB,26-265,90,0,0,0,0,0,0,0,0,104,6,1,1,0.0,0.0,0.0,1,0,71,86,82.6,4,58,2,0,0,Bologna,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
ab4449d6,Łukasz Skorupski,28,POL,GK,32-274,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,25,29,86.2,0,18,0,0,0,Bologna,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
08aa9cd1,Andrea Pinamonti,9,ITA,FW,24-260,80,0,0,0,0,0,0,0,0,36,0,0,1,0.0,0.0,0.0,0,0,13,25,52.0,1,17,0,0,0,Sassuolo,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
30297946,Samuele Mulattieri,8,ITA,FW,23-119,10,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,4,5,80.0,0,3,0,0,0,Sassuolo,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
2d22cea7,Armand Lauriente,45,FRA,LW,25-061,90,0,1,0,0,0,0,0,0,35,2,0,6,0.0,0.0,0.0,0,0,8,17,47.1,0,18,1,8,1,Sassuolo,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
72f87f25,Cristian Volpato,23,ITA,RW,20-080,58,1,0,0,0,2,1,0,0,30,1,0,1,0.1,0.1,0.3,5,0,11,20,55.0,2,16,4,5,3,Sassuolo,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
98a84572,Emil Ceide,15,NOR,RW,22-153,32,0,0,0,0,1,0,0,0,12,0,0,2,0.0,0.0,0.0,1,0,3,6,50.0,1,7,2,4,3,Sassuolo,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
f42d6c13,Nedim Bajrami,11,ALB,AM,24-340,67,0,0,0,0,1,0,0,0,24,0,0,0,0.2,0.2,0.0,2,1,8,16,50.0,1,14,3,1,0,Sassuolo,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
faed84db,Uroš Račić,6,SRB,DM,25-323,23,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,7,10,70.0,1,8,1,0,0,Sassuolo,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
1dc5a029,Luca Lipani,35,ITA,DM,18-261,58,0,0,0,0,1,0,0,0,31,1,1,1,0.0,0.0,0.0,0,0,20,24,83.3,2,12,0,0,0,Sassuolo,2024-02-03 Bologna-Sassuolo,ITA-SERIA_A,23-24,6b5e4d06
