id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
59e6e5bf,Dominic Calvert-Lewin,29,ENG,FW,21-291,90,0,0,0,0,1,0,0,0,36,1,0,2,0.0,0.0,0.0,1,0,14,23,60.9,1,23,1,4,2,Everton,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
fa031b34,Richarlison,30,BRA,"LW,LM",21-236,90,0,0,0,0,4,0,0,0,49,1,1,1,0.3,0.3,0.0,5,0,18,29,62.1,2,30,4,4,0,Everton,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
1ecb65be,Theo Walcott,11,ENG,RW,29-291,69,0,0,0,0,0,0,0,0,45,3,0,2,0.0,0.0,0.1,1,0,18,32,56.3,3,27,1,2,1,Everton,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
9a104dee,Cenk Tosun,14,TUR,FW,27-208,21,0,0,0,0,4,2,1,0,9,0,0,0,0.2,0.2,0.0,1,0,0,4,0.0,0,6,0,0,0,Everton,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
76dd1480,Gylfi Sigurðsson,10,ISL,"AM,CM,DM",29-115,90,0,0,0,0,3,0,0,0,52,1,1,1,0.2,0.2,0.1,4,0,40,47,85.1,9,32,4,1,0,Everton,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
72c812f3,Idrissa Gana Gueye,17,SEN,"DM,CM",29-097,90,0,0,0,0,0,0,0,0,104,2,5,1,0.0,0.0,0.0,1,0,71,96,74.0,11,62,6,0,0,Everton,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
1961b2aa,André Gomes,8,POR,DM,25-155,61,0,0,0,0,0,0,1,0,54,3,1,1,0.0,0.0,0.0,2,0,37,45,82.2,8,32,1,1,1,Everton,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
ab4b3e35,Bernard,20,BRA,"RM,AM,DM",26-115,29,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.1,2,0,10,17,58.8,1,16,2,3,2,Everton,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
1b84dbe1,Lucas Digne,12,FRA,LB,25-165,90,0,0,0,0,2,0,1,0,78,1,0,3,0.1,0.1,0.1,3,0,46,69,66.7,6,44,1,1,0,Everton,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
ce4246f5,Kurt Zouma,5,FRA,CB,24-066,90,0,0,0,0,2,0,0,0,81,0,2,1,0.1,0.1,0.1,2,0,63,72,87.5,3,47,2,1,0,Everton,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
c5b7c315,Michael Keane,4,ENG,CB,25-355,90,0,0,0,0,0,0,0,0,48,1,2,1,0.0,0.0,0.1,1,0,30,41,73.2,4,26,1,0,0,Everton,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
099e666f,Jonjoe Kenny,43,ENG,RB,21-292,90,0,0,0,0,1,0,0,0,105,4,0,0,0.0,0.0,0.1,4,0,57,89,64.0,7,47,6,1,0,Everton,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
4806ec67,Jordan Pickford,1,ENG,GK,24-300,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,1,0,24,32,75.0,0,19,0,0,0,Everton,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
45963054,Jamie Vardy,9,ENG,FW,31-355,89,1,0,0,0,2,1,0,0,26,0,0,0,0.4,0.4,0.0,0,0,11,17,64.7,2,16,4,1,0,Leicester City,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
4468ec10,Demarai Gray,7,JAM,FW,22-187,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Leicester City,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
75a72a99,Ricardo Pereira,14,POR,LW,25-087,90,0,1,0,0,2,0,0,0,63,4,2,6,0.1,0.1,0.3,3,1,25,37,67.6,6,41,3,12,7,Leicester City,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
dc3a9a0d,Rachid Ghezzal,31,ALG,RW,26-237,45,0,0,0,0,2,1,0,0,34,0,1,1,0.1,0.1,0.0,2,0,13,28,46.4,1,25,1,1,1,Leicester City,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
b827d5b3,Marc Albrighton,11,ENG,RW,29-044,45,0,0,0,0,0,0,0,0,23,1,1,0,0.0,0.0,0.0,0,0,10,17,58.8,2,14,4,0,0,Leicester City,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
6b47c5db,Wilfred Ndidi,25,NGA,LM,22-016,90,0,0,0,0,0,0,0,0,54,3,0,1,0.0,0.0,0.0,0,0,28,45,62.2,2,27,1,2,2,Leicester City,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
1598599e,Nampalys Mendy,24,SEN,CM,26-192,90,0,0,0,0,0,0,0,0,52,2,1,1,0.0,0.0,0.0,0,0,30,39,76.9,2,30,0,2,2,Leicester City,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
7d2d3329,Hamza Choudhury,38,ENG,RM,21-092,90,0,0,0,0,0,0,0,0,53,5,5,2,0.0,0.0,0.1,3,0,26,34,76.5,2,23,0,0,0,Leicester City,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
d2424d1b,Ben Chilwell,3,ENG,LB,22-011,90,0,0,0,0,1,1,0,0,91,5,0,3,0.1,0.1,0.1,3,0,39,70,55.7,2,45,3,3,3,Leicester City,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
d8931174,Harry Maguire,15,ENG,CB,25-302,90,0,0,0,0,0,0,0,0,48,1,1,4,0.0,0.0,0.1,2,0,24,34,70.6,2,18,1,1,1,Leicester City,2019-01-01 Everton-Leicester City,ENG-EPL,18-19,6cbc15a7
