id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
da76bab4,Valentín Castellanos,9,ARG,FW,24-137,75,1,0,0,0,3,2,0,0,25,0,0,0,0.6,0.6,0.1,3,1,7,18,38.9,3,10,1,2,1,Girona,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
220c11f1,Cristhian Stuani,7,URU,FW,36-128,15,1,0,0,0,1,1,0,0,5,0,0,0,0.1,0.1,0.0,0,0,2,2,100.0,0,5,0,0,0,Girona,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
e7f4603c,Borja García,24,ESP,FW,32-107,82,0,0,0,0,3,0,1,0,35,1,0,0,0.3,0.3,0.3,1,0,20,29,69.0,1,21,1,1,0,Girona,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
5d133e96,Ricard Artero,36,ESP,FW,20-012,8,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,5,7,71.4,0,4,0,1,1,Girona,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
65154df0,Rodrigo Riquelme,17,ESP,LM,22-321,75,1,1,0,0,1,1,0,0,48,3,0,1,0.3,0.3,1.2,4,1,24,32,75.0,5,35,7,7,3,Girona,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
ae48c5cb,Iván Martín,23,ESP,"RM,LM",24-003,15,1,1,0,0,2,1,0,0,17,0,0,0,0.4,0.4,0.1,1,1,11,13,84.6,1,13,0,0,0,Girona,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
a10361d2,Aleix García,14,ESP,CM,25-234,90,0,1,0,0,2,1,0,0,82,2,0,1,0.3,0.3,0.3,7,3,60,73,82.2,8,53,7,3,2,Girona,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
4b511457,Oriol Romeu,18,ESP,CM,31-146,90,0,0,0,0,0,0,0,0,58,1,0,1,0.0,0.0,0.0,0,0,41,51,80.4,3,37,0,1,1,Girona,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
f7e87032,Viktor Tsyhankov,8,UKR,RM,25-094,64,1,1,0,0,1,1,0,0,26,0,0,1,0.8,0.8,0.2,2,1,15,23,65.2,3,19,2,1,1,Girona,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
636eae97,Toni Villa,12,ESP,"LM,RM",28-041,26,0,1,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.1,2,2,9,12,75.0,0,10,3,2,1,Girona,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
9a76c2e9,Javi Hernández,16,ESP,LB,24-291,82,1,0,0,0,1,1,0,0,67,1,0,2,0.1,0.1,0.0,4,1,48,58,82.8,5,40,2,1,1,Girona,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
af34f10d,Alexander Callens,25,PER,LB,30-289,8,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,0,0,12,15,80.0,2,11,1,0,0,Girona,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
1633fc8a,Juanpe,15,ESP,CB,31-293,90,0,0,0,0,0,0,0,0,65,1,1,0,0.0,0.0,0.0,1,0,47,59,79.7,2,41,0,0,0,Girona,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
edc98fac,Santiago Bueno,22,URU,CB,24-100,90,0,0,0,0,0,0,0,0,44,1,0,2,0.0,0.0,0.0,0,0,27,35,77.1,3,25,0,0,0,Girona,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
c3e66ffe,Arnau Martinez,4,ESP,RB,19-298,90,0,1,0,0,0,0,0,0,61,3,0,0,0.0,0.0,0.3,3,2,37,42,88.1,3,33,2,3,1,Girona,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
63d17038,Paulo Gazzaniga,13,ARG,GK,31-046,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,29,38,76.3,0,24,0,0,0,Girona,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
eeba07f8,Luis Javier Suárez,16,COL,FW,25-077,90,0,0,0,0,8,1,1,0,45,1,1,0,0.7,0.7,0.0,1,0,22,30,73.3,0,22,2,3,2,Almería,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
db8f0eba,Adri Embarba,10,ESP,LW,30-286,45,0,0,0,0,1,0,0,0,21,0,1,2,0.0,0.0,0.0,0,0,5,14,35.7,1,11,0,1,0,Almería,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
47c609d5,El Bilal Touré,9,MLI,FW,21-137,45,1,0,0,0,2,1,0,0,11,0,0,0,0.8,0.8,0.2,3,1,5,7,71.4,1,8,1,1,1,Almería,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
35f6db55,Léo Baptistão,12,BRA,RW,30-175,45,0,0,0,0,0,0,0,0,14,0,1,1,0.0,0.0,0.0,0,0,6,10,60.0,0,8,1,0,0,Almería,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
39352da2,Arnau Puigmal,18,ESP,RM,22-038,45,0,0,0,0,2,1,0,0,26,2,1,1,0.1,0.1,0.1,4,0,10,15,66.7,2,15,5,3,1,Almería,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
76c2a023,Samu Costa,23,POR,LM,22-082,45,0,0,0,0,0,0,0,0,30,0,1,1,0.0,0.0,0.0,1,0,19,26,73.1,3,15,0,0,0,Almería,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
2475cf9b,Chumi,21,ESP,RB,23-352,45,0,0,0,0,0,0,0,0,26,1,1,1,0.0,0.0,0.0,2,0,19,23,82.6,1,13,2,2,1,Almería,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
60abea75,César de la Hoz,6,ESP,CM,30-324,90,0,0,0,0,1,0,0,0,60,4,0,1,0.1,0.1,0.0,2,0,43,50,86.0,2,32,1,0,0,Almería,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
a8981944,Lucas Robertone,5,ARG,"CM,RM",25-336,90,0,2,0,0,1,0,0,0,67,2,1,1,0.0,0.0,1.1,9,3,48,59,81.4,8,34,4,2,2,Almería,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
06efa9dc,Sergio Akieme,15,ESP,LB,25-063,79,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.1,2,0,34,40,85.0,2,24,2,0,0,Almería,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
ae852b7d,Álex Centelles,20,ESP,LB,25-101,11,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,3,0,0,0,Almería,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
075fe5a3,Srđan Babić,22,SRB,CB,26-301,90,0,0,0,0,0,0,0,0,67,1,2,1,0.0,0.0,0.0,1,0,53,58,91.4,3,40,0,0,0,Almería,2023-02-17 Girona-Almería,ESP-LALIGA,22-23,6dd225f0
