id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
3071a619,Nolan Roux,26,FRA,FW,30-170,90,1,0,0,0,3,2,0,0,42,1,1,1,0.8,0.8,0.1,1,0,19,28,67.9,0,25,0,3,2,Guingamp,2018-08-18 Guingamp-Paris S-G,FRA-L1,18-19,6f2eb060
6f8cd6d0,Marcus Thuram,11,FRA,"LW,LM",21-012,74,0,0,0,0,1,0,0,0,25,0,0,0,0.1,0.1,0.2,4,0,10,15,66.7,0,21,5,10,5,Guingamp,2018-08-18 Guingamp-Paris S-G,FRA-L1,18-19,6f2eb060
bb4a42be,Yannis Salibur,19,FRA,RM,27-206,16,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Guingamp,2018-08-18 Guingamp-Paris S-G,FRA-L1,18-19,6f2eb060
3010aefb,Marcus Coco,24,FRA,"RW,LM,RM",22-055,90,0,1,0,0,0,0,0,0,45,1,0,0,0.0,0.0,0.3,3,1,21,34,61.8,2,32,2,4,2,Guingamp,2018-08-18 Guingamp-Paris S-G,FRA-L1,18-19,6f2eb060
30395d3b,Nicolas Benezet,10,FRA,AM,27-175,65,0,0,0,0,1,0,0,0,43,1,1,2,0.1,0.1,0.5,5,0,21,32,65.6,2,29,2,3,1,Guingamp,2018-08-18 Guingamp-Paris S-G,FRA-L1,18-19,6f2eb060
1f8c7aa9,Ronny Rodelin,23,FRA,CM,28-273,25,0,0,0,0,0,0,0,0,9,0,1,1,0.0,0.0,0.0,0,0,6,7,85.7,1,5,0,1,0,Guingamp,2018-08-18 Guingamp-Paris S-G,FRA-L1,18-19,6f2eb060
6191093d,Ludovic Blas,7,FRA,"DM,CM",20-230,90,0,0,0,0,3,1,0,0,36,5,1,0,0.1,0.1,0.0,1,0,22,25,88.0,2,21,0,0,0,Guingamp,2018-08-18 Guingamp-Paris S-G,FRA-L1,18-19,6f2eb060
d2aa8ac0,Étienne Didot,22,FRA,DM,35-025,80,0,0,0,0,3,0,0,0,51,1,3,3,0.1,0.1,0.0,2,0,29,37,78.4,5,25,2,0,0,Guingamp,2018-08-18 Guingamp-Paris S-G,FRA-L1,18-19,6f2eb060
7768df30,Jérémy Sorbon,15,FRA,CB,35-013,10,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,1,0,0,0,Guingamp,2018-08-18 Guingamp-Paris S-G,FRA-L1,18-19,6f2eb060
