id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8f3565b3,Ante Budimir,22,CRO,FW,28-208,90,0,0,0,0,3,1,0,0,34,1,0,0,0.2,0.2,0.0,3,0,13,23,56.5,1,9,1,2,0,Mallorca,2020-02-15 Mallorca-Alavés,ESP-LALIGA,19-20,7053a5ed
70f8e0bd,Dani Rodríguez,14,ESP,"LW,AM",31-254,90,0,0,0,0,2,0,0,0,35,4,0,2,0.0,0.0,0.0,0,0,14,23,60.9,4,24,0,0,0,Mallorca,2020-02-15 Mallorca-Alavés,ESP-LALIGA,19-20,7053a5ed
71b47ab9,Cucho,29,COL,"RW,LW",20-301,90,1,0,0,0,3,2,0,0,49,3,0,2,0.9,0.9,0.0,4,1,20,33,60.6,1,32,3,3,1,Mallorca,2020-02-15 Mallorca-Alavés,ESP-LALIGA,19-20,7053a5ed
38126309,Aleix Febas,23,ESP,AM,24-013,51,0,0,0,0,1,1,0,0,23,1,1,0,0.0,0.0,0.0,0,0,12,17,70.6,2,16,0,0,0,Mallorca,2020-02-15 Mallorca-Alavés,ESP-LALIGA,19-20,7053a5ed
16aa3654,Takefusa Kubo,26,JPN,RW,18-256,39,0,0,0,0,1,1,0,0,17,0,0,0,0.1,0.1,0.1,3,0,9,12,75.0,5,11,1,2,1,Mallorca,2020-02-15 Mallorca-Alavés,ESP-LALIGA,19-20,7053a5ed
75bd85ea,Salva Sevilla,8,ESP,DM,35-334,90,0,0,0,1,1,0,0,0,53,1,2,0,0.8,0.0,0.3,9,0,39,46,84.8,5,21,1,1,0,Mallorca,2020-02-15 Mallorca-Alavés,ESP-LALIGA,19-20,7053a5ed
bfd381b3,Iddrisu Baba,12,GHA,DM,24-024,90,0,0,0,0,0,0,0,0,38,0,2,0,0.0,0.0,0.0,0,0,23,29,79.3,6,21,2,2,2,Mallorca,2020-02-15 Mallorca-Alavés,ESP-LALIGA,19-20,7053a5ed
073b1b37,Lumor Agbenyenu,3,GHA,LB,23-184,27,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,4,1,1,1,Mallorca,2020-02-15 Mallorca-Alavés,ESP-LALIGA,19-20,7053a5ed
114b510e,Leonardo Koutris,18,GRE,LB,24-207,63,0,0,0,0,0,0,0,0,54,1,1,0,0.0,0.0,0.1,4,0,34,45,75.6,3,16,0,0,0,Mallorca,2020-02-15 Mallorca-Alavés,ESP-LALIGA,19-20,7053a5ed
