id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
ea0ff634,Valère Germain,28,FRA,FW,27-307,74,0,0,0,0,2,1,0,0,21,0,0,0,0.2,0.2,0.0,1,0,13,17,76.5,2,11,0,0,0,Marseille,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
77f278a0,Clinton N'Jie,14,CMR,FW,24-187,16,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,2,4,50.0,0,6,0,2,0,Marseille,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
58ae47b2,Dimitri Payet,10,FRA,LW,30-326,68,0,1,0,0,0,0,0,0,64,2,0,2,0.0,0.0,0.7,5,1,42,55,76.4,6,46,1,0,0,Marseille,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
a08b974a,Lucas Ocampos,5,ARG,LW,23-222,22,0,0,0,0,1,0,1,0,13,1,0,0,0.1,0.1,0.0,0,0,5,7,71.4,0,9,1,2,0,Marseille,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
2b9fdeea,Florian Thauvin,26,FRA,RW,25-023,86,1,0,0,0,1,1,0,0,69,3,0,1,0.2,0.2,0.0,2,0,35,52,67.3,3,54,6,2,2,Marseille,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
20094685,Maxime Lopez,27,FRA,RW,20-076,4,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,2,0,6,8,75.0,0,5,0,0,0,Marseille,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
6e7f1353,Morgan Sanson,8,FRA,AM,23-184,90,0,0,0,0,3,2,0,0,67,5,2,3,0.5,0.5,0.1,3,0,38,51,74.5,2,50,3,3,2,Marseille,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
82671804,Luiz Gustavo,19,BRA,DM,30-210,90,0,0,0,0,2,1,0,0,76,6,2,3,0.1,0.1,0.0,0,0,61,63,96.8,8,59,0,0,0,Marseille,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
6bb2c084,Andre-Frank Zambo Anguissa,29,CMR,DM,22-094,90,0,0,0,0,1,1,1,0,108,9,2,3,0.1,0.1,0.0,4,0,80,90,88.9,6,75,0,4,2,Marseille,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
22721b88,Jordan Amavi,18,FRA,LB,23-346,90,0,0,0,0,1,1,0,0,55,1,4,0,0.0,0.0,0.0,2,1,33,45,73.3,2,35,4,2,1,Marseille,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
0eeafda5,Rolando,6,POR,CB,32-171,90,0,0,0,0,0,0,0,0,66,0,1,0,0.0,0.0,0.0,0,0,57,64,89.1,2,49,1,0,0,Marseille,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
8dbff17c,Adil Rami,23,FRA,CB,32-053,90,0,0,0,0,1,0,0,0,92,2,0,0,0.1,0.1,0.0,1,0,68,84,81.0,0,70,1,1,1,Marseille,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
d63e2912,Hiroki Sakai,2,JPN,RB,27-312,90,0,0,0,0,0,0,0,0,84,6,2,0,0.0,0.0,0.0,1,0,59,74,79.7,9,46,0,0,0,Marseille,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
76806215,Yohann Pelé,16,FRA,GK,35-106,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,16,24,66.7,0,17,0,0,0,Marseille,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
7cdda3bf,Gaëtan Laborde,24,FRA,FW,23-291,90,0,0,0,0,3,1,0,0,39,2,0,1,0.2,0.2,0.0,0,0,11,20,55.0,0,16,0,5,2,Bordeaux,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
b0547a87,Nicolas de Préville,12,FRA,LW,27-041,52,0,0,0,0,0,0,0,0,30,0,1,2,0.0,0.0,0.0,0,0,12,16,75.0,1,20,2,8,2,Bordeaux,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
81d3318f,François Kamano,11,GUI,LW,21-292,38,0,0,0,0,0,0,0,0,22,2,1,1,0.0,0.0,0.0,0,0,12,16,75.0,0,16,2,1,0,Bordeaux,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
6853490f,Malcom,7,BRA,RW,20-357,90,0,0,0,0,2,0,0,0,44,0,0,0,0.1,0.1,0.2,8,0,26,37,70.3,7,33,5,5,4,Bordeaux,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
5cec2c74,Soualiho Meïté,10,FRA,"LM,DM",23-338,90,0,0,0,0,0,0,0,0,38,0,3,0,0.0,0.0,0.0,0,0,26,33,78.8,1,32,1,0,0,Bordeaux,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
243f4a0b,Otávio,5,BRA,CM,23-290,68,0,0,0,0,0,0,0,0,31,4,3,2,0.0,0.0,0.0,0,0,16,20,80.0,2,11,0,0,0,Bordeaux,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
fd771f95,Martin Braithwaite,9,DEN,AM,26-258,22,0,0,0,0,0,0,1,0,12,1,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,7,0,1,0,Bordeaux,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
1b82f8df,Lukas Lerager,19,DEN,"RM,DM",24-221,90,0,0,0,0,0,0,1,0,53,4,3,1,0.0,0.0,0.0,1,0,35,42,83.3,5,30,0,3,2,Bordeaux,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
97fb4608,Théo Pellenard,21,FRA,LB,23-351,81,0,0,0,0,0,0,0,0,68,2,3,1,0.0,0.0,0.0,0,0,31,54,57.4,0,29,0,0,0,Bordeaux,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
15a21c79,Diego Contento,3,GER,LB,27-293,9,0,0,0,0,0,0,0,0,8,2,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,2,0,0,0,Bordeaux,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
29d8ad3f,Pablo,25,BRA,CB,26-242,90,0,0,0,0,0,0,0,0,52,1,2,1,0.0,0.0,0.0,0,0,27,36,75.0,2,17,0,0,0,Bordeaux,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
4d1666ff,Jules Koundé,31,FRA,CB,19-098,90,0,0,0,0,0,0,0,0,44,2,1,0,0.0,0.0,0.0,0,0,28,35,80.0,1,27,1,1,0,Bordeaux,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
fbbb9269,Youssouf Sabaly,20,SEN,RB,24-350,90,0,0,0,0,0,0,0,0,56,2,2,0,0.0,0.0,0.0,1,0,31,42,73.8,1,33,2,4,2,Bordeaux,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
2434f24a,Benoît Costil,1,FRA,GK,30-230,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,18,31,58.1,0,17,0,0,0,Bordeaux,2018-02-18 Marseille-Bordeaux,FRA-L1,17-18,714aa7ca
