id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
e897d8ba,Kiké,18,ESP,FW,31-302,76,1,0,0,0,3,2,0,0,30,0,0,0,0.7,0.7,0.2,2,1,13,19,68.4,0,23,0,2,1,Osasuna,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
253a06b9,Ezequiel Ávila,9,ARG,FW,27-229,14,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,3,3,100.0,1,1,0,1,1,Osasuna,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
5c96b017,Rubén García,14,ESP,LW,28-071,72,0,0,0,0,2,0,0,0,52,1,0,2,0.0,0.0,0.1,5,0,25,38,65.8,1,28,1,2,2,Osasuna,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
a83d8b0c,Javier Ontiveros,19,ESP,LW,24-014,18,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,0,0,8,11,72.7,0,9,1,1,1,Osasuna,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
d733aa38,Roberto Torres,10,ESP,RW,32-200,84,0,1,0,0,1,0,0,0,42,0,1,0,0.0,0.0,0.6,2,1,22,38,57.9,5,26,1,0,0,Osasuna,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
c7429db3,Robert Ibáñez,22,ESP,RW,28-185,6,0,0,0,0,0,0,0,0,9,1,0,1,0.0,0.0,0.0,0,0,2,3,66.7,2,2,0,0,0,Osasuna,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
4accb7e0,Darko Brašanac,8,SRB,LM,29-223,90,0,0,0,0,2,0,1,0,36,0,1,0,0.2,0.2,0.0,0,0,20,26,76.9,1,23,2,2,1,Osasuna,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
0e4fef6e,Lucas Torró,24,ESP,CM,27-066,84,0,0,0,0,0,0,0,0,48,0,2,1,0.0,0.0,0.0,2,0,32,40,80.0,4,26,0,1,1,Osasuna,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
981c1863,Barbero,20,ESP,CM,23-037,6,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,0,0,0,0,Osasuna,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
9939e168,Jon Moncayola,7,ESP,RM,23-133,76,0,0,0,0,1,1,0,0,49,1,0,0,0.0,0.0,0.0,1,0,38,46,82.6,6,24,2,1,1,Osasuna,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
466824fb,Oier Sanjurjo,6,ESP,RM,35-121,14,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,4,9,44.4,0,4,0,0,0,Osasuna,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
ffacd3d5,Manu Sánchez,39,ESP,LB,21-030,90,0,0,0,0,0,0,0,0,56,3,0,2,0.0,0.0,0.1,3,0,40,46,87.0,8,22,2,2,1,Osasuna,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
3e42f707,David García,5,ESP,CB,27-221,90,0,0,0,0,0,0,1,0,51,1,1,1,0.0,0.0,0.0,0,0,25,40,62.5,3,22,0,0,0,Osasuna,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
132ac341,Aridane Hernández,23,ESP,CB,32-184,90,0,0,0,0,0,0,0,0,37,0,3,1,0.0,0.0,0.0,0,0,21,27,77.8,3,15,0,0,0,Osasuna,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
3a9c4b7b,Nacho Vidal,2,ESP,RB,26-242,90,0,0,0,0,1,0,0,0,77,3,2,1,0.0,0.0,0.0,0,0,43,60,71.7,9,30,2,3,0,Osasuna,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
a4995f48,Sergio Herrera,1,ESP,GK,28-110,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,16,30,53.3,0,19,0,0,0,Osasuna,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
75645f0e,Borja Iglesias,9,ESP,FW,28-249,74,0,0,0,0,2,2,0,0,17,0,0,0,0.5,0.5,0.2,5,1,9,12,75.0,2,20,2,0,0,Real Betis,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
d87e2cae,Willian José,12,BRA,FW,29-304,16,1,0,0,0,2,1,0,0,14,0,0,0,0.6,0.6,0.0,2,1,4,8,50.0,0,8,0,0,0,Real Betis,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
a6de370d,Sergio Canales,10,ESP,"LW,AM",30-219,86,0,0,0,0,1,1,0,0,35,2,1,0,0.0,0.0,0.5,3,0,21,29,72.4,5,26,4,1,1,Real Betis,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
4c5b14d2,Joaquín,17,ESP,"RW,AM",40-064,4,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.1,2,0,3,5,60.0,0,4,2,0,0,Real Betis,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
a55d8df5,Aitor Ruibal,24,ESP,RW,25-185,74,0,0,0,0,0,0,0,0,34,2,0,1,0.0,0.0,0.0,3,0,12,22,54.5,1,22,3,3,1,Real Betis,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
84399660,Juanmi,7,ESP,LW,28-126,16,1,0,0,0,1,1,0,0,4,0,0,1,0.7,0.7,0.0,0,0,1,1,100.0,0,1,0,0,0,Real Betis,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
bece776f,Nabil Fekir,8,FRA,"AM,RW",28-067,89,0,0,0,0,3,2,0,0,52,1,0,0,0.2,0.2,0.1,6,1,29,42,69.0,3,32,3,5,5,Real Betis,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
dee86451,William Carvalho,14,POR,AM,29-169,1,0,1,0,0,1,0,0,0,5,0,0,0,0.1,0.1,0.5,1,1,4,4,100.0,2,3,2,0,0,Real Betis,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
ef322658,Andrés Guardado,18,MEX,DM,34-360,90,0,0,0,0,1,0,0,0,72,1,1,1,0.0,0.0,0.0,1,0,47,63,74.6,3,44,0,0,0,Real Betis,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
34e393f2,Guido Rodríguez,21,ARG,DM,27-164,90,0,0,0,0,2,1,0,0,57,1,1,3,0.1,0.1,0.1,3,0,35,43,81.4,4,25,0,0,0,Real Betis,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
16e9d0ea,Álex Moreno,15,ESP,LB,28-107,90,0,0,0,0,0,0,0,0,47,2,1,3,0.0,0.0,0.0,1,0,22,31,71.0,1,17,3,1,0,Real Betis,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
49d028db,Édgar González,3,ESP,CB,24-175,90,0,0,0,0,0,0,0,0,65,0,2,0,0.0,0.0,0.0,0,0,45,52,86.5,1,42,0,0,0,Real Betis,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
dea912dc,Kike Hermoso,37,ESP,CB,22-044,90,1,0,0,0,2,1,0,0,73,2,0,2,0.2,0.2,0.0,0,0,50,60,83.3,0,48,1,1,1,Real Betis,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
5cec2487,Martín Montoya,2,ESP,RB,30-162,90,0,1,0,0,1,0,0,0,60,1,0,1,0.0,0.0,0.7,1,0,34,48,70.8,4,31,2,0,0,Real Betis,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
10072610,Claudio Bravo,25,CHI,GK,38-163,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,28,40,70.0,0,28,0,0,0,Real Betis,2021-09-23 Osasuna-Betis,ESP-LALIGA,21-22,7282ccc0
