id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
7fcc71d8,Daniel Podence,10,POR,FW,26-059,78,0,0,0,0,3,0,0,0,37,2,0,0,0.1,0.1,0.2,2,0,20,29,69.0,3,24,2,2,0,Wolverhampton Wanderers,2021-12-19 Wolves-Chelsea,ENG-EPL,21-22,73d478fb
9a28eba4,Adama Traoré,37,ESP,FW,25-328,12,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,Wolverhampton Wanderers,2021-12-19 Wolves-Chelsea,ENG-EPL,21-22,73d478fb
b561db50,Raúl Jiménez,9,MEX,FW,30-228,88,0,0,0,0,0,0,0,0,41,1,1,2,0.0,0.0,0.0,1,0,22,28,78.6,1,21,0,3,1,Wolverhampton Wanderers,2021-12-19 Wolves-Chelsea,ENG-EPL,21-22,73d478fb
77e39b04,Francisco Trincão,11,POR,FW,21-355,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,Wolverhampton Wanderers,2021-12-19 Wolves-Chelsea,ENG-EPL,21-22,73d478fb
f5a00fa4,João Moutinho,28,POR,CM,35-102,90,0,0,0,0,0,0,0,0,67,1,1,3,0.0,0.0,0.0,2,0,39,52,75.0,5,27,2,0,0,Wolverhampton Wanderers,2021-12-19 Wolves-Chelsea,ENG-EPL,21-22,73d478fb
44bfb6c5,Rúben Neves,8,POR,CM,24-281,90,0,0,0,0,0,0,0,0,67,1,1,1,0.0,0.0,0.0,0,0,46,62,74.2,2,26,0,0,0,Wolverhampton Wanderers,2021-12-19 Wolves-Chelsea,ENG-EPL,21-22,73d478fb
5a7301ae,Leander Dendoncker,32,BEL,CM,26-248,90,0,0,0,0,1,1,0,0,44,4,0,6,0.2,0.2,0.0,0,0,24,29,82.8,4,14,0,1,0,Wolverhampton Wanderers,2021-12-19 Wolves-Chelsea,ENG-EPL,21-22,73d478fb
9ae9eaea,Fernando Marçal,5,BRA,WB,32-303,90,0,0,0,0,0,0,0,0,57,1,2,3,0.0,0.0,0.0,0,0,29,41,70.7,1,22,0,1,0,Wolverhampton Wanderers,2021-12-19 Wolves-Chelsea,ENG-EPL,21-22,73d478fb
9a71e978,Ki-Jana Hoever,2,NED,WB,19-335,90,0,0,0,0,0,0,0,0,59,3,3,2,0.0,0.0,0.0,0,0,31,47,66.0,0,19,2,2,2,Wolverhampton Wanderers,2021-12-19 Wolves-Chelsea,ENG-EPL,21-22,73d478fb
