id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
335039a2,Pere Milla,10,ESP,FW,28-030,90,0,0,0,0,0,0,0,0,30,1,0,1,0.0,0.0,0.1,1,0,14,18,77.8,2,11,1,0,0,Elche,2020-10-23 Elche-Valencia,ESP-LALIGA,20-21,7403c103
a1216563,Emiliano Rigoni,22,ARG,AM,27-262,62,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,16,20,80.0,2,11,0,2,1,Elche,2020-10-23 Elche-Valencia,ESP-LALIGA,20-21,7403c103
e6eadfb8,Youssouf Koné,18,MLI,AM,25-110,28,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,6,0,0,0,Elche,2020-10-23 Elche-Valencia,ESP-LALIGA,20-21,7403c103
8abefbcf,Jeison Lucumí,20,COL,AM,25-198,45,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.0,0,0,8,11,72.7,1,5,2,2,1,Elche,2020-10-23 Elche-Valencia,ESP-LALIGA,20-21,7403c103
004d185e,Tete Morente,11,ESP,AM,23-324,45,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,5,9,55.6,0,3,0,2,1,Elche,2020-10-23 Elche-Valencia,ESP-LALIGA,20-21,7403c103
0b2c8585,Raúl Guti,14,ESP,CM,23-298,89,0,0,0,0,0,0,1,0,64,3,5,3,0.0,0.0,0.0,0,0,45,52,86.5,2,22,0,2,1,Elche,2020-10-23 Elche-Valencia,ESP-LALIGA,20-21,7403c103
bdc14559,Omenuke Mfulu,6,COD,CM,26-217,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,Elche,2020-10-23 Elche-Valencia,ESP-LALIGA,20-21,7403c103
b14f755d,Iván Marcone,4,ARG,CM,30-142,90,0,0,0,0,1,0,0,0,65,5,0,2,0.1,0.1,0.0,1,0,46,56,82.1,5,29,0,1,1,Elche,2020-10-23 Elche-Valencia,ESP-LALIGA,20-21,7403c103
eb82b6f1,Fidel,16,ESP,WB,30-362,90,1,0,0,0,1,1,1,0,88,7,1,2,0.0,0.0,0.0,0,0,52,68,76.5,3,35,1,3,1,Elche,2020-10-23 Elche-Valencia,ESP-LALIGA,20-21,7403c103
5b28b2f6,Josan,17,ESP,WB,30-325,89,1,1,0,0,1,1,0,0,71,2,3,0,0.0,0.0,0.0,2,2,48,59,81.4,1,31,6,4,1,Elche,2020-10-23 Elche-Valencia,ESP-LALIGA,20-21,7403c103
dd672e1f,Dani Calvo,12,ESP,WB,26-205,1,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Elche,2020-10-23 Elche-Valencia,ESP-LALIGA,20-21,7403c103
ed3f5f4c,Josema,24,ESP,CB,24-139,90,0,0,0,0,0,0,0,0,62,2,1,0,0.0,0.0,0.0,0,0,43,56,76.8,6,32,1,0,0,Elche,2020-10-23 Elche-Valencia,ESP-LALIGA,20-21,7403c103
1c2c55fc,Gonzalo Verdú,5,ESP,CB,32-002,90,0,0,0,0,0,0,0,0,61,1,0,1,0.0,0.0,0.0,1,1,49,55,89.1,1,30,0,0,0,Elche,2020-10-23 Elche-Valencia,ESP-LALIGA,20-21,7403c103
487d9b09,Antonio Barragán,19,ESP,CB,33-133,90,0,0,0,0,0,0,1,0,71,1,4,0,0.0,0.0,0.0,1,1,55,62,88.7,3,24,2,0,0,Elche,2020-10-23 Elche-Valencia,ESP-LALIGA,20-21,7403c103
e4346678,Édgar Badía,13,ESP,GK,28-254,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,19,27,70.4,0,9,0,0,0,Elche,2020-10-23 Elche-Valencia,ESP-LALIGA,20-21,7403c103
42276181,Kévin Gameiro,9,FRA,FW,33-167,90,0,0,0,0,0,0,0,0,37,0,0,2,0.0,0.0,0.1,2,0,27,31,87.1,2,17,1,2,0,Valencia,2020-10-23 Elche-Valencia,ESP-LALIGA,20-21,7403c103
