id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
cc83b74d,Kasper Dolberg,9,DEN,FW,23-222,90,0,0,0,0,2,0,0,0,21,1,0,0,0.6,0.6,0.1,1,0,11,15,73.3,1,12,0,0,0,Nice,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
aad56ca3,Amine Gouiri,11,ALG,LM,21-089,80,0,0,0,0,0,0,0,0,41,1,1,0,0.0,0.0,0.0,2,0,27,35,77.1,3,36,3,3,1,Nice,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
8e697a8f,Dan Ndoye,14,SUI,LM,20-203,10,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,3,4,75.0,0,3,0,0,0,Nice,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
f9d5908e,Hicham Boudaoui,28,ALG,CM,21-235,90,0,0,0,0,1,1,1,0,46,0,0,1,0.1,0.1,0.0,1,0,28,38,73.7,1,28,2,1,0,Nice,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
741418c3,Alexis Claude-Maurice,10,FRA,CM,22-344,38,0,0,0,0,1,1,0,0,20,1,0,0,0.0,0.0,0.0,0,0,14,17,82.4,0,12,0,1,0,Nice,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
7d9397f8,Khéphren Thuram,19,FRA,CM,20-051,52,0,0,0,0,1,0,0,0,55,1,0,0,0.1,0.1,0.0,0,0,43,48,89.6,5,40,0,1,0,Nice,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
7c2965bb,Rony Lopes,22,POR,RM,25-139,73,0,0,0,0,0,0,0,0,31,3,0,2,0.0,0.0,0.2,3,0,19,24,79.2,1,20,0,0,0,Nice,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
c0f706f3,Malik Sellouki,33,FRA,RM,21-056,17,0,0,0,0,1,0,0,0,15,0,1,1,0.0,0.0,0.0,0,0,3,8,37.5,0,8,1,2,1,Nice,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
51b41c5c,Morgan Schneiderlin,6,FRA,DM,31-189,72,0,0,0,0,0,0,0,0,82,0,3,0,0.0,0.0,0.0,0,0,70,77,90.9,8,67,2,2,2,Nice,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
7ef972c3,Flavius Daniliuc,5,AUT,"CB,DM",20-019,18,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,1,0,26,28,92.9,3,25,1,0,0,Nice,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
19a12bed,Hassane Kamara,13,CIV,LB,27-072,90,0,0,0,0,0,0,0,0,86,4,1,1,0.0,0.0,0.0,1,0,68,81,84.0,9,64,7,0,0,Nice,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
972aeb2a,William Saliba,18,FRA,CB,20-053,90,0,0,0,0,0,0,1,0,126,2,0,1,0.0,0.0,0.0,1,0,113,120,94.2,16,108,2,0,0,Nice,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
88f130ed,Jean-Clair Todibo,25,FRA,"CB,DM",21-137,90,0,0,0,0,0,0,0,0,129,3,2,2,0.0,0.0,0.0,1,0,109,115,94.8,14,105,1,0,0,Nice,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
6a827d8e,Youcef Atal,20,ALG,RB,24-364,79,0,0,0,0,1,1,0,0,103,1,1,1,0.0,0.0,0.5,1,0,80,94,85.1,2,69,6,2,2,Nice,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
fc4cf6a7,Jordan Lotomba,23,SUI,RB,22-229,11,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,4,0,0,0,Nice,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
8a2248b4,Walter Benítez,40,ARG,GK,28-117,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,23,23,100.0,1,16,0,0,0,Nice,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
462475ed,Ludovic Ajorque,25,FRA,FW,27-080,90,2,0,0,0,3,2,0,0,41,0,1,0,1.2,1.2,0.1,2,0,19,29,65.5,4,20,1,1,0,Strasbourg,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
6605d143,Habib Diallo,28,SEN,FW,25-332,38,0,0,0,0,2,1,0,0,10,0,0,0,0.2,0.2,0.0,1,1,6,7,85.7,0,7,0,0,0,Strasbourg,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
10f0fdd3,Jean-Ricner Bellegarde,17,FRA,FW,22-323,52,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,1,0,6,8,75.0,2,12,1,4,0,Strasbourg,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
f7691f63,Dimitri Liénard,11,FRA,CM,33-092,90,0,0,0,0,2,0,0,0,46,2,1,2,0.1,0.1,0.1,4,0,24,35,68.6,1,20,3,1,1,Strasbourg,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
48b28bfd,Jean-Eudes Aholou,6,CIV,CM,27-057,76,0,0,0,0,0,0,0,0,28,1,3,0,0.0,0.0,0.0,2,0,18,23,78.3,5,13,1,0,0,Strasbourg,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
0f8418aa,Ibrahima Sissoko,27,MLI,CM,23-201,14,0,0,0,0,1,1,0,0,6,0,0,0,0.1,0.1,0.0,1,0,3,3,100.0,1,1,1,1,0,Strasbourg,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
c76b7567,Adrien Thomasson,26,FRA,CM,27-157,90,0,0,0,0,2,1,1,0,36,1,2,1,0.1,0.1,0.0,2,1,18,25,72.0,4,17,3,0,0,Strasbourg,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
0118c54c,Anthony Caci,19,FRA,LB,23-319,90,0,0,0,0,0,0,0,0,55,3,1,1,0.0,0.0,0.1,3,0,32,43,74.4,2,24,0,1,0,Strasbourg,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
43e7a164,Alexander Djiku,24,GHA,CB,26-280,90,0,0,0,0,1,0,0,0,41,2,2,1,0.3,0.3,0.0,0,0,26,32,81.3,0,20,0,0,0,Strasbourg,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
e6777e6b,Stefan Mitrović,13,SRB,CB,30-359,90,0,0,0,0,0,0,0,0,21,0,1,0,0.0,0.0,0.0,0,0,13,15,86.7,1,14,0,0,0,Strasbourg,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
a46472d0,Lamine Koné,5,CIV,CB,32-104,90,0,0,0,0,0,0,0,0,26,0,3,0,0.0,0.0,0.0,0,0,13,18,72.2,0,15,0,1,0,Strasbourg,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
5d8d7454,Frederic Guilbert,4,FRA,RB,26-143,90,0,1,0,0,0,0,0,0,37,2,4,0,0.0,0.0,0.5,2,1,18,27,66.7,0,18,3,3,1,Strasbourg,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
a4527d33,Eiji Kawashima,16,JPN,GK,38-057,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,16,24,66.7,0,14,0,0,0,Strasbourg,2021-05-16 Nice-Strasbourg,FRA-L1,20-21,75cbbe08
