id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
a1d5bd30,Marcus Rashford,10,ENG,FW,23-001,90,0,0,0,0,1,0,0,0,37,1,0,0,0.0,0.0,0.1,1,0,24,30,80.0,2,19,1,1,0,Manchester United,2020-11-01 Manchester Utd-Arsenal,ENG-EPL,20-21,75dd1359
58eee997,Mason Greenwood,11,ENG,FW,19-031,74,0,0,0,0,1,1,1,0,34,0,0,0,0.1,0.1,0.0,1,0,21,28,75.0,0,25,1,1,1,Manchester United,2020-11-01 Manchester Utd-Arsenal,ENG-EPL,20-21,75dd1359
527f063d,Edinson Cavani,7,URU,FW,33-261,16,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,1,1,0,0,Manchester United,2020-11-01 Manchester Utd-Arsenal,ENG-EPL,20-21,75dd1359
507c7bdf,Bruno Fernandes,18,POR,AM,26-054,74,0,0,0,0,1,0,0,0,50,2,0,0,0.0,0.0,0.0,1,0,30,45,66.7,2,22,2,1,0,Manchester United,2020-11-01 Manchester Utd-Arsenal,ENG-EPL,20-21,75dd1359
50dc94ce,Donny van de Beek,34,NED,AM,23-197,16,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.0,1,0,10,12,83.3,0,6,0,1,0,Manchester United,2020-11-01 Manchester Utd-Arsenal,ENG-EPL,20-21,75dd1359
867239d3,Paul Pogba,6,FRA,LM,27-231,90,0,0,0,0,0,0,0,0,53,1,1,2,0.0,0.0,0.0,4,0,35,42,83.3,2,30,1,3,1,Manchester United,2020-11-01 Manchester Utd-Arsenal,ENG-EPL,20-21,75dd1359
d93c2511,Scott McTominay,39,SCO,RM,23-329,90,0,0,0,0,0,0,0,0,58,1,2,1,0.0,0.0,0.0,1,0,39,47,83.0,4,33,3,1,0,Manchester United,2020-11-01 Manchester Utd-Arsenal,ENG-EPL,20-21,75dd1359
b853e0ad,Fred,17,BRA,DM,27-241,61,0,0,0,0,0,0,1,0,60,2,0,0,0.0,0.0,0.0,0,0,45,54,83.3,0,39,0,0,0,Manchester United,2020-11-01 Manchester Utd-Arsenal,ENG-EPL,20-21,75dd1359
eb7822d7,Nemanja Matić,31,SRB,DM,32-092,29,0,0,0,0,1,1,0,0,37,1,0,0,0.0,0.0,0.0,1,0,29,32,90.6,3,25,1,2,0,Manchester United,2020-11-01 Manchester Utd-Arsenal,ENG-EPL,20-21,75dd1359
