id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8f898ba8,Guido Carrillo,7,ARG,FW,30-362,59,0,0,0,0,1,0,0,0,21,1,0,0,0.1,0.1,0.0,1,0,12,15,80.0,0,9,0,0,0,Elche,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
ccbbe661,Ezequiel Ponce,18,ARG,FW,25-054,31,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,1,0,6,7,85.7,1,5,2,1,1,Elche,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
881ef58c,Javier Pastore,15,ARG,AM,32-336,68,0,0,0,0,2,1,0,0,36,1,0,1,0.1,0.1,0.3,4,0,26,30,86.7,7,20,2,2,2,Elche,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
237a3851,Kike Pérez,24,ESP,AM,25-097,22,2,0,0,0,3,2,0,0,13,0,0,0,0.7,0.7,0.0,1,0,6,9,66.7,0,8,1,0,0,Elche,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
335039a2,Pere Milla,10,ESP,AM,29-241,59,0,0,0,0,1,0,0,0,36,1,0,0,0.1,0.1,0.0,2,0,24,28,85.7,4,22,1,1,1,Elche,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
eb82b6f1,Fidel,16,ESP,AM,32-207,31,0,1,0,0,1,0,0,0,34,0,0,0,0.0,0.0,0.6,3,1,27,32,84.4,6,25,4,0,0,Elche,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
ac454a4f,Gerard Gumbau,2,ESP,CM,27-155,69,0,0,0,0,2,1,1,0,59,1,2,1,0.3,0.3,0.5,3,0,41,54,75.9,7,29,0,0,0,Elche,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
0b2c8585,Raúl Guti,8,ESP,CM,25-143,21,0,0,0,0,0,0,0,0,35,2,0,0,0.0,0.0,0.0,2,2,27,31,87.1,4,20,0,0,0,Elche,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
11fd2b75,Omar Mascarell,21,EQG,CM,29-109,90,0,0,0,0,1,1,0,0,76,4,1,0,0.0,0.0,0.0,2,0,63,69,91.3,7,49,2,1,1,Elche,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
4cee5954,Lucas Olaza,12,URU,WB,27-305,90,1,0,0,0,2,1,0,0,64,1,1,0,0.7,0.7,0.1,5,1,49,57,86.0,8,25,1,1,1,Elche,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
004d185e,Tete Morente,11,ESP,WB,25-169,76,0,0,0,0,1,1,0,0,42,0,0,1,0.0,0.0,0.0,2,0,26,37,70.3,3,31,4,0,0,Elche,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
5b28b2f6,Josan,17,ESP,WB,32-170,14,0,1,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.2,1,1,5,7,71.4,0,6,0,0,0,Elche,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
697295b1,Pedro Bigas,6,ESP,CB,31-249,90,0,0,0,0,2,1,1,0,63,2,2,0,0.0,0.0,0.1,2,0,51,55,92.7,6,38,2,1,0,Elche,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
37f827ec,Enzo Roco,3,CHI,CB,29-279,90,0,0,0,0,0,0,0,0,64,1,1,0,0.0,0.0,0.1,2,0,45,55,81.8,2,30,0,1,1,Elche,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
5e95c000,John Donald,26,ESP,CB,21-265,90,0,0,0,0,2,1,0,0,53,3,1,1,0.5,0.5,0.1,2,0,38,42,90.5,5,27,1,1,1,Elche,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
58bc7d18,Kiko Casilla,1,ESP,GK,35-232,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,25,29,86.2,0,20,0,0,0,Elche,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
64e8ed6d,Borja Mayoral,25,ESP,FW,25-047,73,0,0,0,0,0,0,0,0,24,0,0,1,0.0,0.0,0.4,2,1,11,17,64.7,0,14,2,2,1,Getafe,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
00b28772,Nemanja Maksimović,20,SRB,CM,27-116,17,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,1,2,0,0,0,Getafe,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
f8eca1b6,Enes Ünal,10,TUR,FW,25-012,90,1,0,0,0,2,1,0,0,19,0,0,0,0.9,0.9,0.0,1,0,9,11,81.8,1,9,0,1,0,Getafe,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
19709006,Óscar Rodríguez Arnaiz,24,ESP,CM,23-328,74,0,0,0,0,1,0,0,0,56,2,1,0,0.0,0.0,0.0,1,0,43,50,86.0,3,30,2,3,1,Getafe,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
833fb62e,Sandro Ramírez,12,ESP,FW,26-317,16,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,4,0,1,0,Getafe,2022-05-22 Elche-Getafe,ESP-LALIGA,21-22,77a53d40
