id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
0d7b6576,Elye Wahi,21,FRA,FW,19-315,90,0,0,0,0,5,4,0,0,38,0,0,1,1.1,1.1,0.0,2,0,12,21,57.1,1,24,1,3,1,Montpellier,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
30144daa,Stephy Mavididi,10,ENG,FW,24-166,76,0,0,0,0,2,1,0,0,22,0,0,1,0.1,0.1,0.1,4,0,11,16,68.8,1,20,0,4,3,Montpellier,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
ea0ff634,Valère Germain,9,FRA,"FW,AM",32-210,14,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,6,9,66.7,1,7,0,0,0,Montpellier,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
6bde367b,Téji Savanier,11,FRA,CM,30-326,64,0,0,0,0,3,0,0,0,59,0,0,1,0.2,0.2,0.0,2,0,31,51,60.8,8,38,1,4,1,Montpellier,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
7b9a9e25,Arnaud Nordin,7,FRA,"AM,FW,CM",24-149,26,0,0,0,0,1,0,0,0,8,0,1,0,0.1,0.1,0.5,1,0,4,7,57.1,1,5,0,0,0,Montpellier,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
375622c5,Jordan Ferri,12,FRA,"CM,RM",30-246,90,0,0,0,0,1,0,0,0,78,1,0,1,0.0,0.0,0.4,7,1,48,69,69.6,6,58,1,0,0,Montpellier,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
fcc84a07,Léo Leroy,18,FRA,CM,22-272,88,0,0,0,0,1,1,1,0,39,6,1,3,0.0,0.0,0.0,0,0,21,28,75.0,5,24,0,1,1,Montpellier,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
faf00ab8,Khalil Fayad,22,FRA,DM,18-157,2,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,1,1,2,3,66.7,0,2,0,0,0,Montpellier,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
8f325097,Nicolas Cozza,31,FRA,"LB,CB",23-309,90,0,0,0,0,1,1,0,0,54,1,1,0,0.0,0.0,0.3,4,0,30,43,69.8,5,29,1,2,2,Montpellier,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
1a066e69,Maxime Estève,14,FRA,CB,20-171,88,0,0,0,0,0,0,0,0,47,4,5,5,0.0,0.0,0.1,2,0,21,29,72.4,3,22,1,1,1,Montpellier,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
e4448c8c,Sacha Delaye,19,FRA,LM,20-204,2,1,0,0,0,1,1,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,Montpellier,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
f323d995,Christopher Jullien,6,FRA,CB,29-236,90,0,0,0,0,1,0,0,0,38,3,2,3,0.2,0.2,0.0,0,0,20,23,87.0,2,17,0,0,0,Montpellier,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
4e0afc5d,Arnaud Souquet,2,FRA,CB,30-274,65,0,0,0,0,0,0,1,0,35,3,2,4,0.0,0.0,0.0,0,0,20,26,76.9,3,17,1,0,0,Montpellier,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
e54a9890,Faitout Maouassa,27,FRA,"WB,LB",24-130,25,0,0,0,0,0,0,0,0,26,0,2,0,0.0,0.0,0.0,1,0,11,23,47.8,0,14,1,1,0,Montpellier,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
6388e356,Falaye Sacko,77,MLI,"RB,WB",27-196,90,0,0,0,0,0,0,0,0,51,2,0,2,0.0,0.0,0.1,3,0,25,41,61.0,1,38,1,3,0,Montpellier,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
c631f952,Jonas Omlin,1,SUI,GK,28-307,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,17,31,54.8,0,21,0,0,0,Montpellier,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
61b77d0a,Noah Holm,7,NOR,FW,21-174,57,0,0,0,0,0,0,0,0,29,1,0,0,0.0,0.0,0.3,3,0,13,19,68.4,2,23,0,2,0,Reims,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
31822f8c,Folarin Balogun,29,USA,FW,21-133,33,0,0,0,0,1,0,0,0,10,0,0,0,0.2,0.2,0.0,1,0,2,6,33.3,0,7,2,0,0,Reims,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
095e4199,Arber Zeneli,10,KVX,LW,27-261,76,0,0,0,0,4,1,0,0,40,0,0,0,0.2,0.2,0.5,6,0,24,31,77.4,3,24,3,2,0,Reims,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
0b2c9aec,Mitchell van Bergen,19,NED,LW,23-078,14,0,1,0,0,1,0,0,0,13,0,0,0,0.0,0.0,0.6,1,1,6,11,54.5,0,13,4,1,0,Reims,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
dbd3a428,Junya Ito,39,JPN,RW,29-249,90,0,0,0,0,3,1,0,0,42,0,1,0,0.4,0.4,0.1,7,1,24,36,66.7,6,38,6,4,3,Reims,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
9226aa22,Kamory Doumbia,3,MLI,AM,19-268,57,0,0,0,0,2,0,0,0,29,1,2,2,0.2,0.2,0.1,3,0,18,20,90.0,1,22,1,3,3,Reims,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
2acf0cd7,Marshall Munetsi,15,ZIM,AM,26-144,33,1,0,0,0,1,1,0,0,18,0,0,0,0.6,0.6,0.2,2,0,9,16,56.3,1,11,1,0,0,Reims,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
928a4a61,Jens Cajuste,8,SWE,DM,23-095,90,0,0,0,0,1,0,1,0,50,2,2,1,0.0,0.0,0.1,4,0,30,35,85.7,6,35,3,2,0,Reims,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
a17a94d6,Azor Matusiwa,21,NED,DM,24-199,90,0,0,0,0,0,0,0,0,69,5,7,0,0.0,0.0,0.0,0,0,36,49,73.5,4,36,0,1,0,Reims,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
5fdcb075,Thibault De Smet,25,BEL,LB,24-161,82,0,0,0,0,0,0,0,0,64,4,0,2,0.0,0.0,0.0,0,0,37,53,69.8,1,38,3,0,0,Reims,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
40221fa7,Bradley Locko,28,FRA,LB,20-191,8,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,3,1,0,0,Reims,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
32c2d95f,Yunis Abdelhamid,5,MAR,CB,35-046,90,0,0,0,0,1,0,0,0,53,1,4,3,0.3,0.3,0.0,0,0,30,42,71.4,1,27,0,0,0,Reims,2022-11-13 Montpellier-Reims,FRA-L1,22-23,7927c5f9
