id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
a755db8c,Rodrigo Muniz,19,BRA,FW,22-289,90,1,0,0,0,8,2,0,0,21,0,0,0,0.6,0.6,0.5,2,0,5,7,71.4,2,11,0,1,1,Fulham,2024-02-17 Fulham-Aston Villa,ENG-EPL,23-24,796ff9f0
8b9ebd03,Willian,20,BRA,LW,35-192,45,0,0,0,0,0,0,0,0,23,1,0,1,0.0,0.0,0.0,2,0,18,20,90.0,2,13,1,0,0,Fulham,2024-02-17 Fulham-Aston Villa,ENG-EPL,23-24,796ff9f0
6ca5ec4b,Alex Iwobi,22,NGA,LW,27-290,45,0,0,0,0,1,1,0,0,22,0,0,1,0.3,0.3,0.0,2,0,12,17,70.6,3,19,1,2,0,Fulham,2024-02-17 Fulham-Aston Villa,ENG-EPL,23-24,796ff9f0
0f7533cd,Bobby Reid,14,JAM,RW,31-015,63,0,0,0,0,1,0,0,0,21,0,0,1,0.1,0.1,0.0,0,0,8,13,61.5,0,14,1,1,0,Fulham,2024-02-17 Fulham-Aston Villa,ENG-EPL,23-24,796ff9f0
c6dc9ecd,Harry Wilson,8,WAL,RW,26-332,27,0,0,0,0,1,0,1,0,18,0,0,0,0.0,0.0,0.5,4,0,12,15,80.0,2,13,1,0,0,Fulham,2024-02-17 Fulham-Aston Villa,ENG-EPL,23-24,796ff9f0
6639e500,Andreas Pereira,18,BRA,AM,28-047,74,0,0,0,0,1,0,0,0,38,0,0,1,0.0,0.0,0.3,4,0,21,36,58.3,5,21,2,0,0,Fulham,2024-02-17 Fulham-Aston Villa,ENG-EPL,23-24,796ff9f0
9a28eba4,Adama Traoré,11,ESP,AM,28-023,16,0,0,0,0,1,1,1,0,5,0,0,0,0.5,0.5,0.0,0,0,2,3,66.7,1,5,1,1,1,Fulham,2024-02-17 Fulham-Aston Villa,ENG-EPL,23-24,796ff9f0
a8748947,Tom Cairney,10,SCO,DM,33-028,90,0,0,0,0,0,0,0,0,67,0,1,1,0.0,0.0,0.0,4,1,53,62,85.5,8,41,1,3,3,Fulham,2024-02-17 Fulham-Aston Villa,ENG-EPL,23-24,796ff9f0
a78ff07f,João Palhinha,26,POR,DM,28-223,88,0,0,0,0,1,0,1,0,60,4,1,2,0.0,0.0,0.1,2,0,42,44,95.5,2,25,0,2,0,Fulham,2024-02-17 Fulham-Aston Villa,ENG-EPL,23-24,796ff9f0
