id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
f36c432f,Stevan Jovetić,19,MNE,FW,33-199,90,0,0,0,0,5,0,0,0,41,1,1,0,0.5,0.5,0.0,2,0,15,29,51.7,1,25,1,7,2,Hertha BSC,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
f972644c,Marco Richter,23,GER,LW,25-177,63,0,1,0,0,3,0,0,0,38,0,1,0,0.0,0.0,0.5,6,1,20,30,66.7,3,24,1,3,3,Hertha BSC,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
e7f3e8a7,Chidera Ejuke,40,NGA,LW,25-138,27,0,0,0,0,2,0,0,0,15,0,1,0,0.0,0.0,0.1,3,0,3,10,30.0,1,11,1,5,4,Hertha BSC,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
0c61c77c,Dodi Lukebakio,14,BEL,RW,25-238,90,0,0,0,0,2,1,0,0,42,0,0,0,0.3,0.3,0.2,5,1,21,30,70.0,5,28,6,4,3,Hertha BSC,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
f4ec4fd0,Kevin-Prince Boateng,27,GHA,LM,36-075,63,0,0,0,0,0,0,0,0,41,1,1,3,0.0,0.0,0.0,1,0,23,31,74.2,2,24,0,0,0,Hertha BSC,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
635f2732,Jean-Paul Boëtius,10,NED,LM,29-059,27,0,0,0,0,0,0,0,0,22,1,0,2,0.0,0.0,0.0,0,0,11,16,68.8,6,7,1,1,1,Hertha BSC,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
71ec39ef,Lucas Tousart,29,FRA,CM,26-021,90,1,0,0,0,2,2,0,0,36,2,1,0,0.3,0.3,0.0,1,0,9,20,45.0,1,15,1,1,0,Hertha BSC,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
b3325a30,Suat Serdar,8,GER,RM,26-039,85,0,0,0,0,0,0,0,0,26,1,1,0,0.0,0.0,0.2,2,0,16,22,72.7,2,16,2,3,3,Hertha BSC,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
d6862409,Florian Niederlechner,7,GER,RM,32-208,5,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0,Hertha BSC,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
88d4144a,Maximilian Mittelstädt,17,GER,LB,26-063,85,0,0,0,0,0,0,1,0,39,2,1,0,0.0,0.0,0.0,2,0,25,32,78.1,3,27,6,0,0,Hertha BSC,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
f7aa75bd,Marvin Plattenhardt,21,GER,LB,31-114,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0,Hertha BSC,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
41bff4fa,Márton Dárdai,31,HUN,CB,21-097,90,0,0,0,0,0,0,0,0,36,1,0,2,0.0,0.0,0.0,0,0,21,29,72.4,0,16,0,0,0,Hertha BSC,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
ea42c03f,Agustín Rogel,3,URU,CB,25-215,90,0,0,0,0,0,0,0,0,56,0,0,0,0.0,0.0,0.0,1,0,19,38,50.0,0,19,0,0,0,Hertha BSC,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
099e666f,Jonjoe Kenny,16,ENG,RB,26-066,90,0,0,0,0,0,0,0,0,69,5,0,3,0.0,0.0,0.1,3,0,38,53,71.7,6,26,2,1,0,Hertha BSC,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
af104654,Oliver Christensen,1,DEN,GK,24-059,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,15,32,46.9,0,20,0,0,0,Hertha BSC,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
877bc844,Philipp Hofmann,33,GER,FW,30-051,90,0,0,0,0,2,0,0,0,44,0,0,0,0.1,0.1,0.2,3,0,16,33,48.5,4,20,0,1,0,Bochum,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
0a3f6cde,Christopher Antwi-Adjei,22,GHA,LW,29-102,90,0,0,0,0,2,0,0,0,58,0,1,3,0.0,0.0,0.1,3,0,20,42,47.6,4,24,3,5,1,Bochum,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
13ddc856,Takuma Asano,11,JPN,RW,28-191,80,0,0,0,0,3,2,0,0,24,1,0,0,0.3,0.3,0.1,5,0,9,11,81.8,0,13,0,1,0,Bochum,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
29f7cfd9,Simon Zoller,9,GER,RW,31-328,10,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,1,0,0,0,Bochum,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
76fa965f,Philipp Förster,10,GER,LM,28-105,69,0,0,0,0,2,0,0,0,31,1,1,0,0.1,0.1,0.0,3,0,18,24,75.0,3,19,1,1,0,Bochum,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
2979c05a,Gerrit Holtmann,17,PHI,LM,28-056,21,0,0,0,0,1,0,0,0,5,0,0,0,0.1,0.1,0.0,0,0,1,3,33.3,0,5,0,0,0,Bochum,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
07c7eb0c,Anthony Losilla,8,FRA,CM,37-071,90,0,0,0,0,0,0,1,0,39,1,2,1,0.0,0.0,0.0,2,1,21,31,67.7,2,14,0,0,0,Bochum,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
e5649a78,Kevin Stöger,7,AUT,RM,29-266,90,0,1,0,0,2,0,0,0,67,5,2,0,0.0,0.0,0.4,5,1,36,51,70.6,9,32,1,2,0,Bochum,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
699fb8db,Dominique Heintz,30,GER,LB,29-278,73,0,0,0,0,1,0,0,0,42,1,0,0,0.1,0.1,0.0,2,0,28,39,71.8,5,21,0,0,0,Bochum,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
bbd79358,Moritz Broschinski,29,GER,LB,22-239,17,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,3,5,60.0,1,3,0,0,0,Bochum,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
a396fb61,Erhan Mašović,4,SRB,CB,24-179,80,0,0,0,0,1,1,0,0,32,2,0,0,0.0,0.0,0.0,0,0,16,23,69.6,1,18,0,0,0,Bochum,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
f6bdc830,Keven Schlotterbeck,31,GER,CB,26-022,10,1,0,0,0,2,1,0,0,10,0,0,0,0.2,0.2,0.0,0,0,2,5,40.0,0,5,0,0,0,Bochum,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
86c75897,Ivan Ordets,20,UKR,CB,30-316,90,0,0,0,0,0,0,0,0,30,1,4,1,0.0,0.0,0.3,2,0,14,23,60.9,2,12,0,1,1,Bochum,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
689c9cf4,Saidy Janko,23,GAM,RB,27-210,90,0,0,0,0,0,0,0,0,32,1,0,3,0.0,0.0,0.0,0,0,15,24,62.5,0,9,0,0,0,Bochum,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
9f941969,Manuel Riemann,1,GER,GK,34-253,90,0,0,0,0,0,0,0,0,60,0,0,0,0.0,0.0,0.0,0,0,35,58,60.3,1,33,0,0,0,Bochum,2023-05-20 Hertha BSC-Bochum,GER-BL1,22-23,7cf736d6
