id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
6605d143,Habib Diallo,20,SEN,FW,24-229,90,1,1,0,0,4,3,0,0,41,0,1,2,0.1,0.1,0.1,5,2,10,18,55.6,1,22,2,2,0,Metz,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
46faabfa,Ibrahima Niane,7,SEN,LW,20-328,80,0,0,0,0,2,1,0,0,35,0,0,1,0.1,0.1,0.0,1,0,18,23,78.3,1,18,1,6,3,Metz,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
8332db56,Thomas Delaine,17,FRA,LW,27-315,10,0,0,0,0,0,0,0,0,6,0,1,2,0.0,0.0,0.0,0,0,1,1,100.0,0,4,0,0,0,Metz,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
75a63397,Opa Nguette,11,SEN,RW,25-209,71,2,1,0,0,2,2,0,0,27,4,1,1,0.5,0.5,0.1,2,1,14,15,93.3,1,19,2,3,1,Metz,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
2945f4b7,Thierry Ambrose,9,GLP,RW,22-311,19,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,2,4,50.0,0,5,0,2,1,Metz,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
f86ca403,Vincent Pajot,14,FRA,LM,29-167,87,0,1,0,0,0,0,0,0,60,3,2,2,0.0,0.0,0.6,2,0,39,47,83.0,4,28,3,2,0,Metz,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
d8992b84,Victorien Angban,5,CIV,LM,23-126,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,3,1,0,0,Metz,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
e50623a0,Kévin N'Doram,4,FRA,CM,24-011,90,0,0,0,0,0,0,0,0,67,3,2,1,0.0,0.0,0.0,0,0,50,58,86.2,3,39,1,0,0,Metz,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
e768de1f,Habib Maïga,19,CIV,RM,24-032,90,0,0,0,0,2,0,0,0,55,1,2,0,0.1,0.1,0.0,1,0,39,45,86.7,6,33,2,3,3,Metz,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
cc41f558,Matthieu Udol,3,FRA,LB,23-319,90,0,0,0,0,0,0,0,0,75,3,3,1,0.0,0.0,0.0,2,2,41,58,70.7,2,31,2,1,0,Metz,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
861227d2,John Boye,21,GHA,CB,32-285,90,0,0,0,0,0,0,0,0,48,1,2,2,0.0,0.0,0.0,0,0,30,38,78.9,1,27,0,0,0,Metz,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
edd81e2a,Dylan Bronn,2,TUN,CB,24-228,90,0,0,0,0,0,0,0,0,48,3,0,1,0.0,0.0,0.0,0,0,33,37,89.2,2,30,0,1,0,Metz,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
3c6bbbab,Fabien Centonze,18,FRA,RB,24-017,90,0,0,0,0,0,0,0,0,61,2,5,0,0.0,0.0,0.1,2,0,35,46,76.1,3,21,2,3,2,Metz,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
ae7d0ecd,Alexandre Oukidja,16,ALG,GK,31-198,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,1,1,17,36,47.2,0,18,0,0,0,Metz,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
469d3d84,Charles Abi,31,FRA,FW,19-296,45,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,3,0,0,0,Saint-Étienne,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
0b4d8274,Romain Hamouma,21,FRA,"FW,AM",32-310,45,1,0,0,0,2,2,1,0,22,0,0,2,0.6,0.6,0.1,3,1,9,13,69.2,2,14,2,4,2,Saint-Étienne,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
0b0cbe5b,Denis Bouanga,20,GAB,"LW,AM,WB",25-083,90,0,0,0,0,3,3,0,0,47,3,1,0,0.6,0.6,0.0,2,0,13,22,59.1,1,32,2,5,3,Saint-Étienne,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
db7849ca,Franck Honorat,14,FRA,"RW,AM,WB",23-175,90,0,0,0,0,0,0,0,0,65,6,0,0,0.0,0.0,0.1,3,0,34,54,63.0,5,36,3,1,1,Saint-Étienne,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
2677a1de,Wahbi Khazri,10,TUN,"AM,FW",28-359,90,0,0,0,0,10,3,0,0,59,4,0,0,0.8,0.8,0.0,7,0,21,35,60.0,4,26,2,2,0,Saint-Étienne,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
d4133fa1,Yann M'Vila,6,FRA,"DM,CM",29-218,90,0,1,0,0,1,0,0,0,86,1,3,1,0.3,0.3,0.4,2,1,62,78,79.5,13,47,1,1,1,Saint-Étienne,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
ad7b19ef,Yohan Cabaye,29,FRA,DM,34-019,73,0,0,0,0,0,0,1,0,57,3,0,0,0.0,0.0,0.0,4,0,41,52,78.8,7,30,0,0,0,Saint-Étienne,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
e2f9bb5f,Zaydou Youssouf,28,FRA,CM,20-206,17,0,0,0,0,0,0,0,0,17,2,0,0,0.0,0.0,0.0,0,0,12,15,80.0,0,11,0,0,0,Saint-Étienne,2020-02-02 Metz-Saint-Étienne,FRA-L1,19-20,7d4b9547
