id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
f9e7c4ac,Alfreð Finnbogason,27,ISL,FW,28-220,90,3,0,1,1,4,2,0,0,38,2,0,1,1.9,1.1,0.0,0,0,11,19,57.9,0,26,3,4,0,Augsburg,2017-09-09 Augsburg-Köln,GER-BL1,17-18,7e929ab2
c6637acf,Caiuby,30,BRA,LW,29-057,90,0,0,0,0,0,0,0,0,44,3,2,2,0.0,0.0,0.0,3,0,22,30,73.3,2,15,1,0,0,Augsburg,2017-09-09 Augsburg-Köln,GER-BL1,17-18,7e929ab2
11dbba47,Marcel Heller,7,GER,RW,31-209,88,0,0,0,0,0,0,0,0,31,3,0,3,0.0,0.0,0.4,3,1,9,21,42.9,2,13,6,2,0,Augsburg,2017-09-09 Augsburg-Köln,GER-BL1,17-18,7e929ab2
df8e7b62,Erik Thommy,26,GER,RW,23-020,2,0,0,0,0,0,0,0,0,2,0,1,0,0.0,0.0,0.0,1,0,1,2,50.0,0,0,0,0,0,Augsburg,2017-09-09 Augsburg-Köln,GER-BL1,17-18,7e929ab2
8e235926,Michael Gregoritsch,11,AUT,AM,23-144,65,0,0,0,0,1,1,0,0,32,0,0,3,0.0,0.0,0.0,3,2,15,25,60.0,7,13,2,0,0,Augsburg,2017-09-09 Augsburg-Köln,GER-BL1,17-18,7e929ab2
229cd98a,Sergio Córdova,21,VEN,AM,20-031,25,0,0,0,0,1,0,0,0,8,1,0,1,0.1,0.1,0.0,1,1,2,4,50.0,0,6,1,0,0,Augsburg,2017-09-09 Augsburg-Köln,GER-BL1,17-18,7e929ab2
f261abcb,Daniel Baier,10,GER,DM,33-114,90,0,0,0,0,0,0,0,0,44,2,2,0,0.0,0.0,0.1,1,0,23,36,63.9,5,15,2,1,0,Augsburg,2017-09-09 Augsburg-Köln,GER-BL1,17-18,7e929ab2
59e4b92e,Rani Khedira,8,GER,DM,23-225,70,0,0,0,0,0,0,0,0,35,5,3,1,0.0,0.0,0.0,0,0,12,26,46.2,1,8,0,0,0,Augsburg,2017-09-09 Augsburg-Köln,GER-BL1,17-18,7e929ab2
e7d22eae,Jan Morávek,14,CZE,DM,27-312,20,0,0,0,0,0,0,0,0,10,1,1,1,0.0,0.0,0.0,1,0,5,7,71.4,1,3,0,0,0,Augsburg,2017-09-09 Augsburg-Köln,GER-BL1,17-18,7e929ab2
826e8b63,Philipp Max,31,GER,LB,23-344,90,0,1,0,0,0,0,0,0,50,2,2,0,0.0,0.0,0.6,4,1,26,40,65.0,0,12,3,0,0,Augsburg,2017-09-09 Augsburg-Köln,GER-BL1,17-18,7e929ab2
080440a4,Martin Hinteregger,36,AUT,CB,25-002,90,0,0,0,0,3,0,0,0,26,2,1,2,0.3,0.3,0.0,0,0,11,15,73.3,1,9,1,0,0,Augsburg,2017-09-09 Augsburg-Köln,GER-BL1,17-18,7e929ab2
1025db8e,Jeffrey Gouweleeuw,6,NED,CB,26-061,90,0,0,0,0,0,0,0,0,41,3,1,2,0.0,0.0,0.0,0,0,15,20,75.0,2,9,1,0,0,Augsburg,2017-09-09 Augsburg-Köln,GER-BL1,17-18,7e929ab2
49d53c68,Daniel Opare,4,GHA,RB,26-326,90,0,0,0,0,0,0,0,0,48,3,3,2,0.0,0.0,0.0,0,0,18,33,54.5,1,10,0,2,0,Augsburg,2017-09-09 Augsburg-Köln,GER-BL1,17-18,7e929ab2
2e7ff968,Marwin Hitz,35,SUI,GK,29-356,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,18,35,51.4,0,15,0,0,0,Augsburg,2017-09-09 Augsburg-Köln,GER-BL1,17-18,7e929ab2
9f381d8b,Jhon Córdoba,15,COL,FW,24-121,90,0,0,0,0,2,1,0,0,42,1,0,0,0.1,0.1,0.1,3,0,22,29,75.9,1,31,3,2,2,Köln,2017-09-09 Augsburg-Köln,GER-BL1,17-18,7e929ab2
f69fba57,Yuya Osako,13,JPN,FW,27-114,90,0,0,0,0,1,0,0,0,46,1,1,0,0.0,0.0,0.0,3,0,30,38,78.9,6,28,0,2,0,Köln,2017-09-09 Augsburg-Köln,GER-BL1,17-18,7e929ab2
dc62fbee,Leonardo Bittencourt,21,GER,LM,23-264,90,0,0,0,0,3,1,0,0,58,4,2,2,0.1,0.1,0.0,2,0,26,39,66.7,3,32,0,5,1,Köln,2017-09-09 Augsburg-Köln,GER-BL1,17-18,7e929ab2
4114f306,Marco Höger,6,GER,CM,27-358,90,0,0,0,0,0,0,0,0,108,0,1,3,0.0,0.0,0.2,6,0,88,96,91.7,22,46,1,3,1,Köln,2017-09-09 Augsburg-Köln,GER-BL1,17-18,7e929ab2
