id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
d3de9af0,Duván Zapata,91,COL,FW,27-315,90,1,1,0,0,1,1,0,0,26,0,1,1,0.3,0.3,0.6,2,1,11,18,61.1,1,23,3,1,0,Atalanta,2019-02-10 Atalanta-SPAL,ITA-SERIA_A,18-19,7f78bd98
68252d6d,Josip Iličić,72,SVN,FW,31-012,90,1,0,0,0,3,1,0,0,62,0,0,0,0.6,0.6,0.1,4,1,37,52,71.2,7,55,5,4,3,Atalanta,2019-02-10 Atalanta-SPAL,ITA-SERIA_A,18-19,7f78bd98
6e4df551,Papu Gómez,10,ARG,AM,30-360,89,0,0,0,0,5,2,0,0,83,1,0,1,0.8,0.8,0.1,7,0,52,71,73.2,11,62,11,4,3,Atalanta,2019-02-10 Atalanta-SPAL,ITA-SERIA_A,18-19,7f78bd98
780e3631,Matteo Pessina,22,ITA,AM,21-295,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0,Atalanta,2019-02-10 Atalanta-SPAL,ITA-SERIA_A,18-19,7f78bd98
98d2c2c4,Remo Freuler,11,SUI,CM,26-301,77,0,0,0,0,2,0,0,0,68,3,2,4,0.1,0.1,0.1,2,0,41,48,85.4,7,41,2,1,0,Atalanta,2019-02-10 Atalanta-SPAL,ITA-SERIA_A,18-19,7f78bd98
e599253a,Mario Pašalić,88,CRO,CM,24-001,13,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,12,13,92.3,1,11,0,0,0,Atalanta,2019-02-10 Atalanta-SPAL,ITA-SERIA_A,18-19,7f78bd98
2a1beb34,Marten de Roon,15,NED,CM,27-318,90,0,0,0,0,0,0,0,0,75,1,0,0,0.0,0.0,0.0,1,0,63,71,88.7,8,55,2,0,0,Atalanta,2019-02-10 Atalanta-SPAL,ITA-SERIA_A,18-19,7f78bd98
197640fd,Timothy Castagne,21,BEL,WB,23-067,69,0,0,0,0,0,0,0,0,43,0,1,0,0.0,0.0,0.0,3,1,36,40,90.0,2,28,4,0,0,Atalanta,2019-02-10 Atalanta-SPAL,ITA-SERIA_A,18-19,7f78bd98
2d970560,Robin Gosens,8,GER,WB,24-220,21,0,0,0,0,0,0,0,0,27,2,0,1,0.0,0.0,0.0,0,0,14,23,60.9,1,14,1,0,0,Atalanta,2019-02-10 Atalanta-SPAL,ITA-SERIA_A,18-19,7f78bd98
3b333ac3,Hans Hateboer,33,NED,WB,25-032,90,0,1,0,0,0,0,1,0,67,0,0,0,0.0,0.0,0.3,2,1,51,60,85.0,5,48,1,1,0,Atalanta,2019-02-10 Atalanta-SPAL,ITA-SERIA_A,18-19,7f78bd98
5aa53281,Gianluca Mancini,23,ITA,CB,22-299,90,0,0,0,0,1,0,0,0,72,3,2,1,0.0,0.0,0.0,0,0,47,60,78.3,6,39,4,1,1,Atalanta,2019-02-10 Atalanta-SPAL,ITA-SERIA_A,18-19,7f78bd98
