id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
b70afb45,Thijs Dallinga,9,NED,FW,23-139,90,0,0,0,0,5,2,0,0,29,1,0,0,0.4,0.4,0.0,1,1,14,18,77.8,0,21,2,1,0,Toulouse,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
42fdb11d,Frank Magri,19,CMR,"LW,AM",24-107,90,1,0,0,0,5,1,0,0,36,2,0,1,0.5,0.5,0.0,1,0,14,20,70.0,3,24,3,4,1,Toulouse,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
10cff752,Aron Dønnum,15,NOR,RW,25-244,87,0,0,0,0,4,2,1,0,54,1,0,1,0.3,0.3,0.2,5,0,29,37,78.4,2,42,4,5,1,Toulouse,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
69e930e4,Mamady Bangré,21,BFA,RW,22-188,3,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,6,1,1,0,Toulouse,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
ed55b838,Gelabert,11,ESP,AM,23-050,66,0,1,0,0,0,0,0,0,46,1,0,1,0.0,0.0,0.2,4,1,30,37,81.1,5,39,2,2,1,Toulouse,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
abddf25d,Ibrahim Cissoko,10,NED,LW,20-269,24,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.1,4,0,9,12,75.0,0,12,5,6,2,Toulouse,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
a08985b8,Stijn Spierings,4,NED,DM,27-283,90,0,0,0,0,2,0,0,0,97,2,1,0,0.1,0.1,0.2,4,0,76,88,86.4,15,73,3,1,1,Toulouse,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
f86fe8c1,Cristian Cásseres Jr.,24,VEN,DM,23-334,77,0,0,0,0,1,0,0,0,58,2,1,1,0.0,0.0,0.1,6,0,45,52,86.5,4,39,2,0,0,Toulouse,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
d7547531,Naatan Skyttä,22,FIN,DM,21-227,13,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,8,10,80.0,1,10,0,0,0,Toulouse,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
39b326ed,Gabriel Suazo,17,CHI,LB,26-133,90,0,0,0,0,2,0,0,0,91,2,2,0,0.1,0.1,0.2,6,0,61,82,74.4,10,64,5,3,2,Toulouse,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
3f319bb9,Rasmus Nicolaisen,2,DEN,CB,26-279,90,0,0,0,0,1,0,0,0,75,1,2,4,0.0,0.0,0.1,0,0,52,62,83.9,6,46,1,0,0,Toulouse,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
bfb2056e,Logan Costa,6,CPV,CB,22-263,90,0,0,0,0,0,0,1,0,91,0,1,1,0.0,0.0,0.0,0,0,70,83,84.3,6,62,1,1,1,Toulouse,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
2c70d915,Christian Mawissa,13,FRA,RB,18-246,66,0,0,0,0,0,0,0,0,47,1,2,1,0.0,0.0,0.0,2,0,28,33,84.8,2,27,2,1,1,Toulouse,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
a426a912,Waren Kamanzi,12,NOR,RB,23-039,24,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,2,0,23,25,92.0,3,19,3,2,0,Toulouse,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
6b91b999,Guillaume Restes,50,FRA,GK,18-284,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,16,26,61.5,0,17,0,0,0,Toulouse,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
942b4f90,Wissam Ben Yedder,10,FRA,FW,33-130,88,2,0,1,1,1,1,0,0,41,0,1,0,1.0,0.2,0.2,3,0,19,32,59.4,7,34,3,1,1,Monaco,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
5b479568,Myron Boadu,9,NED,FW,22-340,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,1,1,100.0,0,3,0,0,0,Monaco,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
31822f8c,Folarin Balogun,29,USA,FW,22-170,55,0,0,0,0,1,1,0,0,24,0,0,0,0.2,0.2,0.1,4,1,16,19,84.2,0,22,2,1,0,Monaco,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
37143438,Edan Diop,37,FRA,CM,19-114,35,0,0,0,0,0,0,1,0,10,1,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,9,1,1,1,Monaco,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
3708e9fa,Aleksandr Golovin,17,RUS,CM,27-204,50,0,0,0,0,4,1,0,1,40,1,1,0,0.2,0.2,0.0,1,0,25,31,80.6,6,28,0,2,0,Monaco,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
822d51d7,Youssouf Fofana,19,FRA,CM,24-344,90,0,0,0,0,0,0,0,0,60,0,0,2,0.0,0.0,0.0,3,1,47,58,81.0,5,40,1,0,0,Monaco,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
f833a830,Takumi Minamino,18,JPN,CM,28-338,73,0,0,0,0,1,0,0,0,48,2,0,1,0.1,0.1,0.0,4,1,31,41,75.6,3,33,1,0,0,Monaco,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
8104e41e,Krépin Diatta,27,SEN,CM,24-298,17,0,0,0,0,2,0,0,0,11,1,0,0,0.2,0.2,0.0,0,0,3,7,42.9,0,5,2,1,1,Monaco,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
a0415710,Ismail Jakobs,14,SEN,WB,24-125,90,0,0,0,0,1,0,0,0,64,2,0,0,0.1,0.1,0.1,4,1,35,55,63.6,3,38,3,2,2,Monaco,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
ee45fd85,Vanderson,2,BRA,WB,22-182,90,0,0,0,0,1,0,0,0,67,5,3,0,0.1,0.1,0.1,4,0,40,51,78.4,4,43,1,5,2,Monaco,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
0b33f6ad,Mohammed Salisu,22,GHA,CB,24-247,90,0,0,0,0,0,0,1,0,76,2,1,4,0.0,0.0,0.0,0,0,47,57,82.5,8,49,0,0,0,Monaco,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
d9764034,Guillermo Maripán,3,CHI,CB,29-228,90,0,0,0,0,0,0,0,0,53,0,0,1,0.0,0.0,0.0,0,0,36,43,83.7,1,33,0,0,0,Monaco,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
dfc5d4fa,Soungoutou Magassa,88,FRA,CB,20-073,90,0,0,0,0,0,0,1,0,62,3,1,3,0.0,0.0,0.0,0,0,41,51,80.4,4,42,0,1,0,Monaco,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
ff74841d,Philipp Köhn,16,SUI,GK,25-262,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,16,33,48.5,0,24,0,0,0,Monaco,2023-12-20 Toulouse-Monaco,FRA-L1,23-24,81c83fe9
