id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
e067808c,Alexandre Mendy,9,GNB,FW,24-340,75,0,0,0,0,1,0,0,0,15,1,0,0,0.0,0.0,0.0,2,0,7,11,63.6,1,4,1,1,0,Guingamp,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
3071a619,Nolan Roux,26,FRA,FW,30-359,15,0,0,0,0,1,0,0,0,3,0,0,0,0.1,0.1,0.0,0,0,0,1,0.0,0,2,0,0,0,Guingamp,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
6f8cd6d0,Marcus Thuram,11,FRA,LM,21-201,66,0,0,0,0,0,0,0,0,40,1,0,1,0.0,0.0,0.0,3,0,24,32,75.0,3,25,6,4,4,Guingamp,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
3010aefb,Marcus Coco,24,FRA,RM,22-244,24,0,1,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.3,1,1,12,15,80.0,1,15,3,1,1,Guingamp,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
885b7aa7,Didier Ibrahim Ndong,21,GAB,CM,24-251,45,0,0,0,0,1,0,1,0,35,0,1,0,0.0,0.0,0.0,2,0,26,33,78.8,3,25,1,0,0,Guingamp,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
6191093d,Ludovic Blas,7,FRA,CM,21-054,45,0,0,0,0,1,1,0,0,47,4,0,0,0.0,0.0,0.0,1,0,35,41,85.4,6,31,4,1,1,Guingamp,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
44f8c299,Lucas Deaux,8,FRA,CM,30-059,90,1,0,0,0,1,1,1,0,45,4,0,1,0.3,0.3,0.0,0,0,21,37,56.8,4,23,1,1,1,Guingamp,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
30395d3b,Nicolas Benezet,10,FRA,"RM,LM",27-364,90,0,0,0,0,1,1,0,0,65,2,1,0,0.1,0.1,0.0,1,1,38,55,69.1,5,36,2,2,2,Guingamp,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
b6dac747,Lebogang Phiri,6,RSA,DM,24-106,90,0,0,0,0,0,0,0,0,96,3,1,2,0.0,0.0,0.0,1,0,81,87,93.1,13,54,1,2,0,Guingamp,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
276cce2e,Pedro Rebocho,5,POR,LB,24-031,90,0,0,0,0,1,0,0,0,96,1,2,1,0.0,0.0,0.0,2,0,64,84,76.2,7,46,3,0,0,Guingamp,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
7768df30,Jérémy Sorbon,15,FRA,CB,35-202,90,0,0,0,0,0,0,0,0,55,1,1,2,0.0,0.0,0.0,0,0,38,46,82.6,3,33,0,1,1,Guingamp,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
167d5018,Félix Eboa Eboa,20,CMR,CB,21-310,90,0,0,0,0,0,0,0,0,55,0,0,1,0.0,0.0,0.0,0,0,43,48,89.6,3,30,1,1,1,Guingamp,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
bfcef334,Cheick Traoré,25,MLI,RB,23-329,90,0,0,0,0,1,0,0,0,52,4,0,2,0.0,0.0,0.1,2,0,30,42,71.4,3,19,3,0,0,Guingamp,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
5ee6e943,Marc-Aurèle Caillard,16,FRA,GK,24-287,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,14,23,60.9,0,8,0,0,0,Guingamp,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
5046b7d4,Stéphane Bahoken,19,CMR,FW,26-271,71,0,0,0,0,1,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,10,15,66.7,1,13,1,1,0,Angers,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
c76577a0,Cristian López,9,ESP,FW,29-302,19,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0,Angers,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
a0f9b535,Flavien Tait,20,FRA,LW,26-021,90,0,0,0,0,3,1,0,0,71,0,1,0,0.2,0.2,0.1,4,0,48,60,80.0,9,43,5,2,1,Angers,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
4b96c347,Angelo Fulgini,10,FRA,RW,22-187,65,0,0,0,0,0,0,0,0,56,3,1,1,0.0,0.0,0.1,5,0,37,46,80.4,3,31,0,1,1,Angers,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
d504b3e1,Jeff Reine-Adélaïde,22,FRA,RW,21-037,25,0,0,0,0,1,0,0,0,18,0,0,1,0.1,0.1,0.0,0,0,10,11,90.9,1,14,1,2,1,Angers,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
c26a3918,Vincent Manceau,29,FRA,LM,29-228,90,0,0,0,0,1,0,0,0,70,2,2,2,0.0,0.0,0.0,1,0,52,55,94.5,4,36,3,2,1,Angers,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
5e22e2a4,Baptiste Santamaria,18,FRA,CM,23-351,90,0,0,0,0,1,0,0,0,72,2,1,1,0.0,0.0,0.1,2,0,53,64,82.8,10,36,2,0,0,Angers,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
f1b2365a,Cheikh N'Doye,17,SEN,CM,32-331,90,0,0,0,0,1,0,0,0,61,2,3,1,0.0,0.0,0.0,0,0,40,48,83.3,4,24,0,0,0,Angers,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
7fecbcdb,Abdoulaye Bamba,25,CIV,RM,28-304,90,0,0,0,0,0,0,1,0,63,2,2,2,0.0,0.0,0.0,1,0,36,51,70.6,0,23,3,1,0,Angers,2019-02-23 Guingamp-Angers,FRA-L1,18-19,81fd87e9
