id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
2042d931,Salomon Kalou,8,CIV,FW,33-195,80,0,1,0,0,0,0,0,0,33,0,0,1,0.0,0.0,0.7,3,1,14,23,60.9,2,22,1,1,1,Hertha BSC,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
92948149,Lukas Klünter,13,GER,FW,22-266,10,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Hertha BSC,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
1238a3f9,Davie Selke,27,GER,FW,24-027,90,1,0,0,0,3,2,0,0,31,1,0,0,0.8,0.8,0.1,3,0,13,21,61.9,0,19,1,1,1,Hertha BSC,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
79ca3e23,Ondrej Duda,10,SVK,AM,24-073,89,0,0,0,0,4,0,0,0,62,1,0,1,0.2,0.2,0.2,7,1,35,49,71.4,3,42,2,8,7,Hertha BSC,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
3eb0f2df,Vladimír Darida,6,CZE,AM,28-192,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Hertha BSC,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
a63a995f,Fabian Lustenberger,28,SUI,"CM,CB",30-290,90,0,0,0,0,0,0,0,0,42,3,1,2,0.0,0.0,0.0,0,0,23,31,74.2,1,22,0,0,0,Hertha BSC,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
8b8e759d,Marko Grujić,15,SRB,CM,22-309,90,0,0,0,0,2,0,0,0,44,0,1,1,0.1,0.1,0.0,1,0,25,35,71.4,4,26,2,1,1,Hertha BSC,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
88d4144a,Maximilian Mittelstädt,17,GER,WB,21-335,90,0,0,0,0,0,0,0,0,72,5,4,3,0.0,0.0,0.0,1,0,28,51,54.9,1,37,2,3,2,Hertha BSC,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
016ff750,Valentino Lazaro,20,AUT,WB,22-329,90,0,0,0,0,0,0,1,0,54,4,2,2,0.0,0.0,0.1,3,0,32,39,82.1,5,25,1,1,0,Hertha BSC,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
f86cabbd,Jordan Torunarigha,25,GER,CB,21-193,56,0,0,0,0,0,0,0,0,40,3,0,2,0.0,0.0,0.0,0,0,24,28,85.7,4,22,0,1,0,Hertha BSC,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
ecab64a0,Per Ciljan Skjelbred,3,NOR,"CM,CB",31-245,34,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,6,10,60.0,1,9,0,2,1,Hertha BSC,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
3376a776,Karim Rekik,4,NED,CB,24-076,90,0,0,0,0,1,0,1,0,57,4,3,2,0.1,0.1,0.0,0,0,37,43,86.0,3,36,0,0,0,Hertha BSC,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
aad48be9,Niklas Stark,5,GER,CB,23-308,90,0,0,0,0,1,0,0,0,53,0,3,5,0.1,0.1,0.0,2,0,25,35,71.4,3,29,0,0,0,Hertha BSC,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
27d2618c,Rune Jarstein,22,NOR,GK,34-140,90,0,0,0,0,0,0,0,0,34,0,1,0,0.0,0.0,0.0,0,0,21,32,65.6,0,26,0,0,0,Hertha BSC,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
6c6a3300,Milot Rashica,11,KVX,"FW,RW",22-233,74,0,0,0,0,4,1,0,0,39,2,0,1,0.1,0.1,0.0,0,0,13,26,50.0,0,22,4,0,0,Werder Bremen,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
a5ce09f2,Kevin Möhwald,6,GER,RM,25-228,16,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,13,15,86.7,2,10,0,0,0,Werder Bremen,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
d571df78,Johannes Eggestein,24,GER,FW,20-284,60,0,0,0,0,0,0,0,0,28,0,0,1,0.0,0.0,0.0,1,0,17,20,85.0,1,17,1,4,2,Werder Bremen,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
54b6ee79,Claudio Pizarro,4,PER,FW,40-136,30,1,0,0,0,1,1,0,0,25,1,0,0,0.2,0.2,0.0,1,1,17,21,81.0,1,23,1,3,2,Werder Bremen,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
f9446dcd,Max Kruse,10,GER,"AM,LW",30-334,90,0,0,0,0,1,0,0,0,74,0,0,1,0.0,0.0,0.0,2,0,53,67,79.1,7,41,0,1,1,Werder Bremen,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
15fd5593,Davy Klaassen,30,NED,"CM,LM",25-360,90,0,0,0,0,0,0,1,0,38,1,0,0,0.0,0.0,0.0,2,0,20,30,66.7,4,18,0,0,0,Werder Bremen,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
beb882a8,Maximilian Eggestein,35,GER,"CM,RM",22-070,90,0,0,0,0,0,0,0,0,63,3,0,3,0.0,0.0,0.1,1,0,40,52,76.9,7,38,2,0,0,Werder Bremen,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
9fec8860,Ludwig Augustinsson,5,SWE,"WB,LB",24-301,90,0,0,0,0,0,0,0,0,92,2,0,0,0.0,0.0,0.0,4,0,63,86,73.3,6,48,3,2,1,Werder Bremen,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
3f65898c,Theodor Gebre Selassie,23,CZE,"WB,RB",32-054,90,0,0,0,0,0,0,0,0,88,3,2,2,0.0,0.0,0.0,2,0,63,74,85.1,4,42,0,3,0,Werder Bremen,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
00844823,Niklas Moisander,18,FIN,CB,33-140,90,0,0,0,0,0,0,0,0,89,0,3,1,0.0,0.0,0.0,0,0,71,79,89.9,9,55,2,0,0,Werder Bremen,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
3f7cd8f1,Philipp Bargfrede,44,GER,"CB,CM",29-350,74,0,0,0,0,1,0,1,0,73,3,2,3,0.0,0.0,0.0,0,0,40,54,74.1,5,36,2,1,0,Werder Bremen,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
a8d4428b,Josh Sargent,19,USA,RW,18-361,16,0,0,0,0,1,0,0,0,9,0,0,0,0.2,0.2,0.0,1,1,4,6,66.7,0,5,0,0,0,Werder Bremen,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
74d70fb5,Sebastian Langkamp,15,GER,CB,31-032,90,0,0,0,0,0,0,1,0,62,1,1,1,0.0,0.0,0.2,2,0,45,55,81.8,1,30,0,0,0,Werder Bremen,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
0a1cb833,Jiří Pavlenka,1,CZE,GK,26-308,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,32,39,82.1,0,18,0,0,0,Werder Bremen,2019-02-16 Hertha BSC-Werder Bremen,GER-BL1,18-19,8238f9ce
