id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
43a166b4,Divock Origi,27,BEL,FW,25-221,60,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.0,0,0,9,12,75.0,1,14,0,3,0,Liverpool,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
178ae8f8,Diogo Jota,20,POR,"RW,LW",23-357,30,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,10,14,71.4,1,14,1,1,0,Liverpool,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
c691bfe2,Sadio Mané,10,SEN,"LW,RW",28-229,90,0,0,0,0,0,0,0,0,40,2,0,3,0.0,0.0,0.0,0,0,16,25,64.0,1,28,0,4,1,Liverpool,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
e342ad68,Mohamed Salah,11,EGY,RW,28-163,60,0,0,0,0,1,0,0,0,26,0,0,0,0.1,0.1,0.0,1,0,15,21,71.4,2,17,3,3,3,Liverpool,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
4c370d81,Roberto Firmino,9,BRA,"FW,LM",29-054,30,0,0,0,0,0,0,0,0,18,1,1,0,0.0,0.0,0.0,0,0,12,14,85.7,1,14,1,1,1,Liverpool,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
2f90f6b8,James Milner,7,ENG,"LM,CM",34-326,90,0,0,0,0,1,0,0,0,81,2,0,2,0.0,0.0,0.0,1,0,56,70,80.0,4,49,2,1,1,Liverpool,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
eb58eef0,Georginio Wijnaldum,5,NED,CM,30-014,60,0,0,0,0,0,0,0,0,40,2,0,0,0.0,0.0,0.0,0,0,34,36,94.4,1,28,2,0,0,Liverpool,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
7f3b388c,Fabinho,3,BRA,"CM,CB",27-033,30,0,0,0,0,0,0,0,0,39,2,0,0,0.0,0.0,0.0,0,0,33,37,89.2,0,30,0,0,0,Liverpool,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
4fb9c88f,Curtis Jones,17,ENG,RM,19-300,90,0,0,0,0,0,0,0,0,83,4,1,0,0.0,0.0,0.0,2,0,65,69,94.2,7,59,3,0,0,Liverpool,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
f315ca93,Kostas Tsimikas,21,GRE,LB,24-197,60,0,0,0,0,0,0,1,0,49,1,1,0,0.0,0.0,0.0,0,0,33,45,73.3,3,35,8,1,1,Liverpool,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
2e4f5f03,Andrew Robertson,26,SCO,LB,26-259,30,0,0,0,0,0,0,0,0,44,0,0,1,0.0,0.0,0.1,2,0,33,43,76.7,1,32,5,0,0,Liverpool,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
012c975a,Rhys Williams,46,ENG,CB,19-296,90,0,0,0,0,0,0,0,0,84,0,3,0,0.0,0.0,0.0,0,0,72,78,92.3,1,64,0,0,0,Liverpool,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
b217ef29,Joël Matip,32,CMR,CB,29-109,84,0,0,0,0,1,0,0,0,87,2,0,0,0.1,0.1,0.0,1,0,69,79,87.3,7,69,1,0,0,Liverpool,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
f833a830,Takumi Minamino,18,JPN,FW,25-314,6,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,1,3,0,0,0,Liverpool,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
dd323728,Neco Williams,76,WAL,RB,19-226,90,0,0,0,0,1,0,0,0,105,2,5,1,0.0,0.0,0.0,1,0,68,90,75.6,11,72,0,2,1,Liverpool,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
7a2e46a8,Alisson,1,BRA,GK,28-054,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,36,39,92.3,0,22,0,0,0,Liverpool,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
6e4df551,Papu Gómez,10,ARG,FW,32-284,90,0,1,0,0,2,1,0,0,70,0,0,1,0.1,0.1,0.5,3,2,51,64,79.7,8,49,4,0,0,Atalanta,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
68252d6d,Josip Iličić,72,SVN,FW,32-301,69,1,0,0,0,3,1,0,0,57,1,1,0,0.6,0.6,0.0,0,0,35,43,81.4,8,40,2,2,1,Atalanta,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
d3de9af0,Duván Zapata,91,COL,FW,29-238,21,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,0,0,6,8,75.0,0,10,0,3,2,Atalanta,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
780e3631,Matteo Pessina,32,ITA,AM,23-218,84,0,0,0,0,0,0,0,0,48,3,2,3,0.0,0.0,0.1,2,1,27,33,81.8,2,23,1,1,0,Atalanta,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
a9aa0d1d,Aleksei Miranchuk,59,RUS,AM,25-039,6,0,0,0,0,0,0,0,0,7,0,2,0,0.0,0.0,0.0,0,0,4,4,100.0,1,4,1,1,1,Atalanta,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
98d2c2c4,Remo Freuler,11,SUI,CM,28-224,90,0,0,0,0,0,0,0,0,86,3,2,1,0.0,0.0,0.0,2,0,62,72,86.1,4,41,4,1,1,Atalanta,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
2a1beb34,Marten de Roon,15,NED,CM,29-241,90,0,0,0,0,0,0,1,0,66,5,3,1,0.0,0.0,0.0,0,0,45,58,77.6,4,33,0,0,0,Atalanta,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
2d970560,Robin Gosens,8,GER,WB,26-143,74,1,0,0,0,2,2,0,0,66,4,0,1,0.5,0.5,0.0,2,0,41,54,75.9,5,32,2,2,1,Atalanta,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
608f2092,Johan Mojica,26,COL,WB,28-096,16,0,0,0,0,0,0,0,0,12,0,1,0,0.0,0.0,0.0,0,0,10,11,90.9,1,4,1,0,0,Atalanta,2020-11-25 Liverpool-Atalanta,UCL,20-21,827bc8a4
